column_match_pair_a,Metadata_CellLine_pair_a,Metadata_Dosage_pair_a,row_match,pairwise_correlation,column_match_pair_b,Metadata_CellLine_pair_b,Metadata_Dosage_pair_b
1,WT,0.0,0,0.7765468182314058,0,WT,0.0
2,WT,0.0,0,0.6402807220512929,0,WT,0.0
3,CloneA,0.0,0,0.4178926599286592,0,WT,0.0
4,CloneA,0.0,0,0.3241471448932751,0,WT,0.0
5,CloneA,0.0,0,-0.06407829379800614,0,WT,0.0
6,CloneE,0.0,0,-0.02609031888253688,0,WT,0.0
7,CloneE,0.0,0,-0.1881542143834234,0,WT,0.0
8,CloneE,0.0,0,-0.1846345475777075,0,WT,0.0
9,WT,0.7,0,0.7531532291816083,0,WT,0.0
10,WT,0.7,0,0.601322179664091,0,WT,0.0
11,WT,0.7,0,0.25536188788245334,0,WT,0.0
12,CloneA,0.7,0,0.5092365949446173,0,WT,0.0
13,CloneA,0.7,0,0.5009989037727169,0,WT,0.0
14,CloneE,0.7,0,-0.0556527553631114,0,WT,0.0
15,CloneE,0.7,0,0.2838217488979374,0,WT,0.0
16,CloneE,0.7,0,-0.18614814365137058,0,WT,0.0
17,WT,7.0,0,0.04659242336193796,0,WT,0.0
18,WT,7.0,0,-0.09552594689010405,0,WT,0.0
19,WT,7.0,0,-0.026173887353498727,0,WT,0.0
20,CloneA,7.0,0,-0.25444807174773515,0,WT,0.0
21,CloneA,7.0,0,-0.27246764737579054,0,WT,0.0
22,CloneA,7.0,0,-0.42215566173067026,0,WT,0.0
23,CloneE,7.0,0,-0.3029851317123004,0,WT,0.0
24,CloneE,7.0,0,-0.2777307748927174,0,WT,0.0
25,CloneE,7.0,0,-0.20396242371175466,0,WT,0.0
26,WT,70.0,0,-0.11821866658690867,0,WT,0.0
27,WT,70.0,0,0.02277549492902543,0,WT,0.0
28,WT,70.0,0,-0.16366709298518867,0,WT,0.0
29,CloneA,70.0,0,-0.30545435589615566,0,WT,0.0
30,CloneA,70.0,0,-0.11175545012794817,0,WT,0.0
31,CloneA,70.0,0,-0.2636222115231858,0,WT,0.0
32,CloneE,70.0,0,-0.07532831786296013,0,WT,0.0
33,CloneE,70.0,0,-0.10896078606485211,0,WT,0.0
34,CloneE,70.0,0,-0.18044603330549924,0,WT,0.0
35,CloneA,0.7,0,-0.4047723467942401,0,WT,0.0
2,WT,0.0,1,0.637573350771763,1,WT,0.0
3,CloneA,0.0,1,0.3085629610313922,1,WT,0.0
4,CloneA,0.0,1,0.30741081116119984,1,WT,0.0
5,CloneA,0.0,1,-0.03105704126856276,1,WT,0.0
6,CloneE,0.0,1,-0.015812009305777804,1,WT,0.0
7,CloneE,0.0,1,-0.2399232997896059,1,WT,0.0
8,CloneE,0.0,1,-0.17784333898834517,1,WT,0.0
9,WT,0.7,1,0.6468416024335476,1,WT,0.0
10,WT,0.7,1,0.7231880228985351,1,WT,0.0
11,WT,0.7,1,0.30114825164389675,1,WT,0.0
12,CloneA,0.7,1,0.5797248788110315,1,WT,0.0
13,CloneA,0.7,1,0.38709263812198913,1,WT,0.0
14,CloneE,0.7,1,-0.03260675426908047,1,WT,0.0
15,CloneE,0.7,1,0.28023426594295764,1,WT,0.0
16,CloneE,0.7,1,-0.19116700829235878,1,WT,0.0
17,WT,7.0,1,0.1720738774584183,1,WT,0.0
18,WT,7.0,1,-0.017457275722890877,1,WT,0.0
19,WT,7.0,1,0.1002115215425044,1,WT,0.0
20,CloneA,7.0,1,-0.19559781268524934,1,WT,0.0
21,CloneA,7.0,1,-0.21687865184058808,1,WT,0.0
22,CloneA,7.0,1,-0.3633917411630204,1,WT,0.0
23,CloneE,7.0,1,-0.37788948128148,1,WT,0.0
24,CloneE,7.0,1,-0.3406564721354745,1,WT,0.0
25,CloneE,7.0,1,-0.3065730106354271,1,WT,0.0
26,WT,70.0,1,-0.023830651908544345,1,WT,0.0
27,WT,70.0,1,0.15363912510654784,1,WT,0.0
28,WT,70.0,1,-0.17663090516269703,1,WT,0.0
29,CloneA,70.0,1,-0.4257806454197843,1,WT,0.0
30,CloneA,70.0,1,-0.21214801668891714,1,WT,0.0
31,CloneA,70.0,1,-0.44363266645447885,1,WT,0.0
32,CloneE,70.0,1,-0.30442408604931487,1,WT,0.0
33,CloneE,70.0,1,-0.28573230351360607,1,WT,0.0
34,CloneE,70.0,1,-0.34553146064903667,1,WT,0.0
35,CloneA,0.7,1,-0.5224469246877085,1,WT,0.0
3,CloneA,0.0,2,0.5498336190068261,2,WT,0.0
4,CloneA,0.0,2,0.1396323893735786,2,WT,0.0
