Metadata_clone	0.1% DMSO	2.1 nM bortezomib	21 nM bortezomib	210 nM bortezomib	Untreated
BZ001	21	0	21	0	3
BZ002	0	0	0	0	3
BZ003	0	0	0	0	3
BZ004	0	0	0	0	3
BZ005	0	0	0	0	3
BZ006	0	0	0	0	3
BZ007	0	0	0	0	3
BZ008	21	0	21	0	3
BZ009	0	0	0	0	3
BZ010	0	0	0	0	3
BZ011	0	0	0	0	3
BZ012	0	0	0	0	3
BZ013	0	0	0	0	3
BZ014	0	0	0	0	3
BZ015	0	0	0	0	3
BZ016	0	0	0	0	3
BZ017	21	0	21	0	3
BZ018	21	0	21	0	3
CloneA	29	29	29	29	0
CloneE	29	29	29	29	0
WT001	0	0	0	0	3
WT002	21	0	21	0	3
WT003	0	0	0	0	3
WT004	0	0	0	0	3
WT005	0	0	0	0	3
WT006	0	0	0	0	3
WT007	0	0	0	0	3
WT008	21	0	21	0	3
WT009	21	0	21	0	3
WT010	0	0	0	0	3
WT011	21	0	21	0	3
WT012	0	0	0	0	3
WT013	0	0	0	0	3
WT014	0	0	0	0	3
WT015	0	0	0	0	3
WT_parental	92	29	50	29	6
