Metadata_Plate	Metadata_Well	cell_count	Metadata_plate_map_name	Metadata_date	Metadata_clone_number	Metadata_celltype_shorthand_from_plate_graph	Metadata_treatment	Metadata_treatment_shorthand_from_plate_graph	Metadata_treatment_time	Metadata_cell_density	Metadata_time_to_adhere
220055	B02	2048	220055	20210312	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220055	B03	1663	220055	20210312	Clone A	2	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220055	B04	4868	220055	20210312	Clone E 	3	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220055	B05	1665	220055	20210312	WT clone 01	4	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220055	B06	2973	220055	20210312	WT clone 02	5	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220055	B07	2145	220055	20210312	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220055	B08	1524	220055	20210312	Clone A	2	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220055	B09	5120	220055	20210312	Clone E 	3	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220055	B10	1993	220055	20210312	WT clone 01	4	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220055	B11	2658	220055	20210312	WT clone 02	5	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220055	C02	2806	220055	20210312	BZ002	10	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220055	C03	2471	220055	20210312	BZ001	9	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220055	C04	1170	220055	20210312	WT clone 05	8	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220055	C05	3457	220055	20210312	WT clone 04	7	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220055	C06	903	220055	20210312	WT clone 03	6	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220055	C07	3010	220055	20210312	BZ002	10	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220055	C08	2550	220055	20210312	BZ001	9	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220055	C09	1326	220055	20210312	WT clone 05	8	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220055	C10	3252	220055	20210312	WT clone 04	7	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220055	C11	1349	220055	20210312	WT clone 03	6	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220055	D02	1121	220055	20210312	BZ003	11	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220055	D03	980	220055	20210312	BZ004	12	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220055	D04	1146	220055	20210312	BZ005	13	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220055	D05	1321	220055	20210312	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220055	D06	1451	220055	20210312	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220055	D07	1361	220055	20210312	BZ003	11	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220055	D08	955	220055	20210312	BZ004	12	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220055	D09	1462	220055	20210312	BZ005	13	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220055	D10	1739	220055	20210312	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220055	D11	1186	220055	20210312	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220055	E02	2498	220055	20210312	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220055	E03	1466	220055	20210312	Clone A	2	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220055	E04	4457	220055	20210312	Clone E 	3	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220055	E05	1442	220055	20210312	WT clone 01	4	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220055	E06	2052	220055	20210312	WT clone 02	5	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220055	E07	1884	220055	20210312	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220055	E08	1093	220055	20210312	Clone A	2	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
