Metadata_Plate	Metadata_Well	cell_count	Metadata_plate_map_name	Metadata_clone_number	Metadata_plate_ID	Metadata_plate_filename	Metadata_treatment	Metadata_treatment_time	Metadata_cell_density
218362	B02	2561	218362	WT parental	218362	20200629-20200626-WTpAE-Lo	0.1% DMSO	13 hr	5x10^3 cells/well
218362	B03	2541	218362	WT parental	218362	20200629-20200626-WTpAE-Lo	2.1 nM bortezomib	13 hr	5x10^3 cells/well
218362	B04	1655	218362	WT parental	218362	20200629-20200626-WTpAE-Lo	21 nM bortezomib	13 hr	5x10^3 cells/well
218362	B05	1261	218362	WT parental	218362	20200629-20200626-WTpAE-Lo	210 nM bortezomib	13 hr	5x10^3 cells/well
218362	B06	3323	218362	WT parental	218362	20200629-20200626-WTpAE-Lo	0.1% DMSO	13 hr	5x10^3 cells/well
218362	B07	1690	218362	WT parental	218362	20200629-20200626-WTpAE-Lo	21 nM bortezomib	13 hr	5x10^3 cells/well
218362	B08	2968	218362	WT parental	218362	20200629-20200626-WTpAE-Lo	0.1% DMSO	13 hr	5x10^3 cells/well
218362	B09	2644	218362	WT parental	218362	20200629-20200626-WTpAE-Lo	2.1 nM bortezomib	13 hr	5x10^3 cells/well
218362	B10	1941	218362	WT parental	218362	20200629-20200626-WTpAE-Lo	21 nM bortezomib	13 hr	5x10^3 cells/well
218362	B11	949	218362	WT parental	218362	20200629-20200626-WTpAE-Lo	210 nM bortezomib	13 hr	5x10^3 cells/well
218362	C02	2690	218362	Clone A	218362	20200629-20200626-WTpAE-Lo	0.1% DMSO	13 hr	5x10^3 cells/well
218362	C03	3477	218362	Clone A	218362	20200629-20200626-WTpAE-Lo	2.1 nM bortezomib	13 hr	5x10^3 cells/well
218362	C04	2313	218362	Clone A	218362	20200629-20200626-WTpAE-Lo	21 nM bortezomib	13 hr	5x10^3 cells/well
218362	C05	1906	218362	Clone A	218362	20200629-20200626-WTpAE-Lo	210 nM bortezomib	13 hr	5x10^3 cells/well
218362	C06	4543	218362	Clone A	218362	20200629-20200626-WTpAE-Lo	0.1% DMSO	13 hr	5x10^3 cells/well
218362	C07	2782	218362	Clone A	218362	20200629-20200626-WTpAE-Lo	21 nM bortezomib	13 hr	5x10^3 cells/well
218362	C08	4151	218362	Clone A	218362	20200629-20200626-WTpAE-Lo	0.1% DMSO	13 hr	5x10^3 cells/well
218362	C09	3823	218362	Clone A	218362	20200629-20200626-WTpAE-Lo	2.1 nM bortezomib	13 hr	5x10^3 cells/well
218362	C10	2982	218362	Clone A	218362	20200629-20200626-WTpAE-Lo	21 nM bortezomib	13 hr	5x10^3 cells/well
218362	C11	1756	218362	Clone A	218362	20200629-20200626-WTpAE-Lo	210 nM bortezomib	13 hr	5x10^3 cells/well
218362	D02	2729	218362	Clone E	218362	20200629-20200626-WTpAE-Lo	0.1% DMSO	13 hr	5x10^3 cells/well
218362	D03	3346	218362	Clone E	218362	20200629-20200626-WTpAE-Lo	2.1 nM bortezomib	13 hr	5x10^3 cells/well
218362	D04	2224	218362	Clone E	218362	20200629-20200626-WTpAE-Lo	21 nM bortezomib	13 hr	5x10^3 cells/well
218362	D05	1605	218362	Clone E	218362	20200629-20200626-WTpAE-Lo	210 nM bortezomib	13 hr	5x10^3 cells/well
218362	D06	3211	218362	Clone E	218362	20200629-20200626-WTpAE-Lo	0.1% DMSO	13 hr	5x10^3 cells/well
218362	D07	2359	218362	Clone E	218362	20200629-20200626-WTpAE-Lo	21 nM bortezomib	13 hr	5x10^3 cells/well
218362	D08	3142	218362	Clone E	218362	20200629-20200626-WTpAE-Lo	0.1% DMSO	13 hr	5x10^3 cells/well
218362	D09	3397	218362	Clone E	218362	20200629-20200626-WTpAE-Lo	2.1 nM bortezomib	13 hr	5x10^3 cells/well
218362	D10	2835	218362	Clone E	218362	20200629-20200626-WTpAE-Lo	21 nM bortezomib	13 hr	5x10^3 cells/well
218362	D11	1688	218362	Clone E	218362	20200629-20200626-WTpAE-Lo	210 nM bortezomib	13 hr	5x10^3 cells/well
218362	E02	2554	218362	WT parental	218362	20200629-20200626-WTpAE-Lo	0.1% DMSO	13 hr	5x10^3 cells/well
218362	E03	2411	218362	WT parental	218362	20200629-20200626-WTpAE-Lo	2.1 nM bortezomib	13 hr	5x10^3 cells/well
218362	E04	1394	218362	WT parental	218362	20200629-20200626-WTpAE-Lo	21 nM bortezomib	13 hr	5x10^3 cells/well
218362	E05	1146	218362	WT parental	218362	20200629-20200626-WTpAE-Lo	210 nM bortezomib	13 hr	5x10^3 cells/well
218362	E06	2810	218362	WT parental	218362	20200629-20200626-WTpAE-Lo	2.1 nM bortezomib	13 hr	5x10^3 cells/well
218362	E07	1030	218362	WT parental	218362	20200629-20200626-WTpAE-Lo	210 nM bortezomib	13 hr	5x10^3 cells/well
218362	E08	3070	218362	WT parental	218362	20200629-20200626-WTpAE-Lo	0.1% DMSO	13 hr	5x10^3 cells/well
218362	E09	2519	218362	WT parental	218362	20200629-20200626-WTpAE-Lo	2.1 nM bortezomib	13 hr	5x10^3 cells/well
218362	E10	1730	218362	WT parental	218362	20200629-20200626-WTpAE-Lo	21 nM bortezomib	13 hr	5x10^3 cells/well
218362	E11	1140	218362	WT parental	218362	20200629-20200626-WTpAE-Lo	210 nM bortezomib	13 hr	5x10^3 cells/well
218362	F02	2571	218362	Clone A	218362	20200629-20200626-WTpAE-Lo	0.1% DMSO	13 hr	5x10^3 cells/well
218362	F03	2334	218362	Clone A	218362	20200629-20200626-WTpAE-Lo	2.1 nM bortezomib	13 hr	5x10^3 cells/well
218362	F04	2079	218362	Clone A	218362	20200629-20200626-WTpAE-Lo	21 nM bortezomib	13 hr	5x10^3 cells/well
218362	F05	1716	218362	Clone A	218362	20200629-20200626-WTpAE-Lo	210 nM bortezomib	13 hr	5x10^3 cells/well
218362	F06	3012	218362	Clone A	218362	20200629-20200626-WTpAE-Lo	2.1 nM bortezomib	13 hr	5x10^3 cells/well
218362	F07	1826	218362	Clone A	218362	20200629-20200626-WTpAE-Lo	210 nM bortezomib	13 hr	5x10^3 cells/well
218362	F08	3290	218362	Clone A	218362	20200629-20200626-WTpAE-Lo	0.1% DMSO	13 hr	5x10^3 cells/well
218362	F09	3106	218362	Clone A	218362	20200629-20200626-WTpAE-Lo	2.1 nM bortezomib	13 hr	5x10^3 cells/well
218362	F10	2054	218362	Clone A	218362	20200629-20200626-WTpAE-Lo	21 nM bortezomib	13 hr	5x10^3 cells/well
218362	F11	1745	218362	Clone A	218362	20200629-20200626-WTpAE-Lo	210 nM bortezomib	13 hr	5x10^3 cells/well
218362	G02	2015	218362	Clone E	218362	20200629-20200626-WTpAE-Lo	0.1% DMSO	13 hr	5x10^3 cells/well
218362	G03	2155	218362	Clone E	218362	20200629-20200626-WTpAE-Lo	2.1 nM bortezomib	13 hr	5x10^3 cells/well
218362	G04	1587	218362	Clone E	218362	20200629-20200626-WTpAE-Lo	21 nM bortezomib	13 hr	5x10^3 cells/well
218362	G05	1247	218362	Clone E	218362	20200629-20200626-WTpAE-Lo	210 nM bortezomib	13 hr	5x10^3 cells/well
218362	G06	2131	218362	Clone E	218362	20200629-20200626-WTpAE-Lo	2.1 nM bortezomib	13 hr	5x10^3 cells/well
218362	G07	1450	218362	Clone E	218362	20200629-20200626-WTpAE-Lo	210 nM bortezomib	13 hr	5x10^3 cells/well
218362	G08	2619	218362	Clone E	218362	20200629-20200626-WTpAE-Lo	0.1% DMSO	13 hr	5x10^3 cells/well
218362	G09	2782	218362	Clone E	218362	20200629-20200626-WTpAE-Lo	2.1 nM bortezomib	13 hr	5x10^3 cells/well
218362	G10	1605	218362	Clone E	218362	20200629-20200626-WTpAE-Lo	21 nM bortezomib	13 hr	5x10^3 cells/well
218362	G11	1062	218362	Clone E	218362	20200629-20200626-WTpAE-Lo	210 nM bortezomib	13 hr	5x10^3 cells/well
