Metadata_Plate	Metadata_Well	cell_count	Metadata_plate_map_name	Metadata_clone_number	Metadata_plate_ID	Metadata_plate_filename	Metadata_treatment
217755	B02	19370	217755	BZ017	217755	20191119-TH-WTMUT-4h	DMSO
217755	B03	27645	217755	WT002	217755	20191119-TH-WTMUT-4h	DMSO
217755	B04	19532	217755	WT008	217755	20191119-TH-WTMUT-4h	DMSO
217755	B05	19870	217755	WT009	217755	20191119-TH-WTMUT-4h	DMSO
217755	B06	14879	217755	BZ018	217755	20191119-TH-WTMUT-4h	DMSO
217755	B07	21567	217755	WT011	217755	20191119-TH-WTMUT-4h	DMSO
217755	B08	22309	217755	BZ001	217755	20191119-TH-WTMUT-4h	DMSO
217755	B09	19951	217755	BZ008	217755	20191119-TH-WTMUT-4h	DMSO
217755	B10	20607	217755	WT_parental	217755	20191119-TH-WTMUT-4h	DMSO
217755	B11	17982	217755	WT_parental	217755	20191119-TH-WTMUT-4h	DMSO
217755	C02	24288	217755	BZ017	217755	20191119-TH-WTMUT-4h	DMSO
217755	C03	22261	217755	BZ008	217755	20191119-TH-WTMUT-4h	DMSO
217755	C04	26032	217755	BZ001	217755	20191119-TH-WTMUT-4h	DMSO
217755	C05	25312	217755	WT011	217755	20191119-TH-WTMUT-4h	DMSO
217755	C06	17691	217755	BZ018	217755	20191119-TH-WTMUT-4h	DMSO
217755	C07	19441	217755	WT009	217755	20191119-TH-WTMUT-4h	DMSO
217755	C08	19759	217755	WT008	217755	20191119-TH-WTMUT-4h	DMSO
217755	C09	28412	217755	WT002	217755	20191119-TH-WTMUT-4h	DMSO
217755	C10	24911	217755	WT_parental	217755	20191119-TH-WTMUT-4h	DMSO
217755	C11	19651	217755	WT_parental	217755	20191119-TH-WTMUT-4h	DMSO
217755	D02	24169	217755	BZ017	217755	20191119-TH-WTMUT-4h	DMSO
217755	D03	27880	217755	WT002	217755	20191119-TH-WTMUT-4h	DMSO
217755	D04	18320	217755	WT008	217755	20191119-TH-WTMUT-4h	DMSO
217755	D05	20810	217755	WT009	217755	20191119-TH-WTMUT-4h	DMSO
217755	D06	17079	217755	BZ018	217755	20191119-TH-WTMUT-4h	DMSO
217755	D07	25869	217755	WT011	217755	20191119-TH-WTMUT-4h	DMSO
217755	D08	26228	217755	BZ001	217755	20191119-TH-WTMUT-4h	DMSO
217755	D09	21298	217755	BZ008	217755	20191119-TH-WTMUT-4h	DMSO
217755	D10	24135	217755	WT_parental	217755	20191119-TH-WTMUT-4h	DMSO
217755	D11	19454	217755	WT_parental	217755	20191119-TH-WTMUT-4h	DMSO
217755	E02	20738	217755	WT_parental	217755	20191119-TH-WTMUT-4h	DMSO
217755	E03	24455	217755	BZ017	217755	20191119-TH-WTMUT-4h	bortezomib
217755	E04	26705	217755	WT002	217755	20191119-TH-WTMUT-4h	bortezomib
217755	E05	19249	217755	WT008	217755	20191119-TH-WTMUT-4h	bortezomib
217755	E06	19471	217755	WT009	217755	20191119-TH-WTMUT-4h	bortezomib
217755	E07	19264	217755	BZ018	217755	20191119-TH-WTMUT-4h	bortezomib
217755	E08	21842	217755	WT011	217755	20191119-TH-WTMUT-4h	bortezomib
217755	E09	25407	217755	BZ001	217755	20191119-TH-WTMUT-4h	bortezomib
217755	E10	21620	217755	BZ008	217755	20191119-TH-WTMUT-4h	bortezomib
217755	E11	19375	217755	WT_parental	217755	20191119-TH-WTMUT-4h	bortezomib
217755	F02	20168	217755	WT_parental	217755	20191119-TH-WTMUT-4h	DMSO
217755	F03	23882	217755	BZ017	217755	20191119-TH-WTMUT-4h	bortezomib
217755	F04	22979	217755	BZ008	217755	20191119-TH-WTMUT-4h	bortezomib
217755	F05	26482	217755	BZ001	217755	20191119-TH-WTMUT-4h	bortezomib
217755	F06	23080	217755	WT011	217755	20191119-TH-WTMUT-4h	bortezomib
217755	F07	18785	217755	BZ018	217755	20191119-TH-WTMUT-4h	bortezomib
217755	F08	20121	217755	WT009	217755	20191119-TH-WTMUT-4h	bortezomib
217755	F09	18631	217755	WT008	217755	20191119-TH-WTMUT-4h	bortezomib
217755	F10	26518	217755	WT002	217755	20191119-TH-WTMUT-4h	bortezomib
217755	F11	18638	217755	WT_parental	217755	20191119-TH-WTMUT-4h	bortezomib
217755	G02	18804	217755	WT_parental	217755	20191119-TH-WTMUT-4h	DMSO
217755	G03	20945	217755	BZ017	217755	20191119-TH-WTMUT-4h	bortezomib
217755	G04	27902	217755	WT002	217755	20191119-TH-WTMUT-4h	bortezomib
217755	G05	21255	217755	WT008	217755	20191119-TH-WTMUT-4h	bortezomib
217755	G06	21989	217755	WT009	217755	20191119-TH-WTMUT-4h	bortezomib
217755	G07	16189	217755	BZ018	217755	20191119-TH-WTMUT-4h	bortezomib
217755	G08	23764	217755	WT011	217755	20191119-TH-WTMUT-4h	bortezomib
217755	G09	26657	217755	BZ001	217755	20191119-TH-WTMUT-4h	bortezomib
217755	G10	21655	217755	BZ008	217755	20191119-TH-WTMUT-4h	bortezomib
217755	G11	16271	217755	WT_parental	217755	20191119-TH-WTMUT-4h	bortezomib
