Metadata_Plate	Metadata_Well	cell_count	Metadata_plate_map_name	Metadata_date	Metadata_clone_number	Metadata_celltype_shorthand_from_plate_graph	Metadata_treatment	Metadata_treatment_shorthand_from_plate_graph	Metadata_treatment_time	Metadata_cell_density	Metadata_time_to_adhere
221057	B02	4574	221057	20210728	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	B03	3444	221057	20210728	Clone A	2	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	B04	3725	221057	20210728	Clone E 	3	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	B05	1814	221057	20210728	WT clone 10	4	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	B06	5481	221057	20210728	WT clone 12	5	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	B07	3692	221057	20210728	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	B08	2971	221057	20210728	Clone A	2	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	B09	4027	221057	20210728	Clone E 	3	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	B10	1925	221057	20210728	WT clone 10	4	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	B11	3910	221057	20210728	WT clone 12	5	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	C02	2230	221057	20210728	BZ007	10	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	C03	3910	221057	20210728	BZ006	9	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	C04	3026	221057	20210728	WT clone 15	8	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	C05	3129	221057	20210728	WT clone 14	7	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	C06	4511	221057	20210728	WT clone 13	6	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	C07	2482	221057	20210728	BZ007	10	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	C08	3153	221057	20210728	BZ006	9	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	C09	4373	221057	20210728	WT clone 15	8	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	C10	4396	221057	20210728	WT clone 14	7	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	C11	3549	221057	20210728	WT clone 13	6	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	D02	1824	221057	20210728	BZ008	11	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	D03	1470	221057	20210728	BZ009	12	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	D04	2093	221057	20210728	BZ010	13	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	D05	5808	221057	20210728	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	D06	6187	221057	20210728	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	D07	3219	221057	20210728	BZ008	11	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	D08	1254	221057	20210728	BZ009	12	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	D09	2076	221057	20210728	BZ010	13	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	D10	5939	221057	20210728	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	D11	6404	221057	20210728	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	E02	3957	221057	20210728	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	E03	3222	221057	20210728	Clone A	2	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	E04	3327	221057	20210728	Clone E 	3	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	E05	1586	221057	20210728	WT clone 10	4	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	E06	3901	221057	20210728	WT clone 12	5	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	E07	4749	221057	20210728	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	E08	2907	221057	20210728	Clone A	2	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	E09	4079	221057	20210728	Clone E 	3	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	E10	1676	221057	20210728	WT clone 10	4	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	E11	3814	221057	20210728	WT clone 12	5	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	F02	2696	221057	20210728	BZ007	10	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	F03	4077	221057	20210728	BZ006	9	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	F04	4480	221057	20210728	WT clone 15	8	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	F05	4305	221057	20210728	WT clone 14	7	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	F06	4171	221057	20210728	WT clone 13	6	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	F07	2201	221057	20210728	BZ007	10	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	F08	3961	221057	20210728	BZ006	9	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	F09	3983	221057	20210728	WT clone 15	8	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	F10	3820	221057	20210728	WT clone 14	7	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	F11	5270	221057	20210728	WT clone 13	6	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	G02	2035	221057	20210728	BZ008	11	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	G03	1065	221057	20210728	BZ009	12	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	G04	2222	221057	20210728	BZ010	13	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
221057	G05	5109	221057	20210728	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
