Metadata_Plate	Metadata_Well	cell_count	Metadata_plate_map_name	Metadata_date	Metadata_clone_number	Metadata_celltype_shorthand_from_plate_graph	Metadata_treatment	Metadata_treatment_shorthand_from_plate_graph	Metadata_treatment_time	Metadata_cell_density	Metadata_time_to_adhere
219956	B02	1640	219956	20210225	WT parental	1	0.1% DMSO	1	4 hr	2.5x10^3 cells/well	48 hr
219956	B03	720	219956	20210225	Clone A	2	0.1% DMSO	1	4 hr	2.5x10^3 cells/well	48 hr
219956	B04	597	219956	20210225	Clone E 	3	0.1% DMSO	1	4 hr	2.5x10^3 cells/well	48 hr
219956	B05	765	219956	20210225	WT clone 01	4	0.1% DMSO	1	4 hr	2.5x10^3 cells/well	48 hr
219956	B06	750	219956	20210225	WT clone 02	5	0.1% DMSO	1	4 hr	2.5x10^3 cells/well	48 hr
219956	B07	1200	219956	20210225	WT parental	1	0.1% DMSO	1	4 hr	2.5x10^3 cells/well	48 hr
219956	B08	681	219956	20210225	Clone A	2	0.1% DMSO	1	4 hr	2.5x10^3 cells/well	48 hr
219956	B09	625	219956	20210225	Clone E 	3	0.1% DMSO	1	4 hr	2.5x10^3 cells/well	48 hr
219956	B10	740	219956	20210225	WT clone 01	4	0.1% DMSO	1	4 hr	2.5x10^3 cells/well	48 hr
219956	B11	972	219956	20210225	WT clone 02	5	0.1% DMSO	1	4 hr	2.5x10^3 cells/well	48 hr
219956	C02	862	219956	20210225	BZ002	10	0.1% DMSO	1	4 hr	2.5x10^3 cells/well	48 hr
219956	C03	1040	219956	20210225	BZ001	9	0.1% DMSO	1	4 hr	2.5x10^3 cells/well	48 hr
219956	C04	690	219956	20210225	WT clone 05	8	0.1% DMSO	1	4 hr	2.5x10^3 cells/well	48 hr
219956	C05	697	219956	20210225	WT clone 04	7	0.1% DMSO	1	4 hr	2.5x10^3 cells/well	48 hr
219956	C06	918	219956	20210225	WT clone 03	6	0.1% DMSO	1	4 hr	2.5x10^3 cells/well	48 hr
219956	C07	716	219956	20210225	BZ002	10	0.1% DMSO	1	4 hr	2.5x10^3 cells/well	48 hr
219956	C08	930	219956	20210225	BZ001	9	0.1% DMSO	1	4 hr	2.5x10^3 cells/well	48 hr
219956	C09	566	219956	20210225	WT clone 05	8	0.1% DMSO	1	4 hr	2.5x10^3 cells/well	48 hr
219956	C10	641	219956	20210225	WT clone 04	7	0.1% DMSO	1	4 hr	2.5x10^3 cells/well	48 hr
219956	C11	818	219956	20210225	WT clone 03	6	0.1% DMSO	1	4 hr	2.5x10^3 cells/well	48 hr
219956	D02	823	219956	20210225	BZ003	11	0.1% DMSO	1	4 hr	2.5x10^3 cells/well	48 hr
219956	D03	835	219956	20210225	BZ004	12	0.1% DMSO	1	4 hr	2.5x10^3 cells/well	48 hr
219956	D04	646	219956	20210225	BZ005	13	0.1% DMSO	1	4 hr	2.5x10^3 cells/well	48 hr
219956	D05	1102	219956	20210225	WT parental	1	0.1% DMSO	1	4 hr	2.5x10^3 cells/well	48 hr
219956	D06	901	219956	20210225	WT parental	1	0.1% DMSO	1	4 hr	2.5x10^3 cells/well	48 hr
219956	D07	662	219956	20210225	BZ003	11	0.1% DMSO	1	4 hr	2.5x10^3 cells/well	48 hr
