Metadata_Plate	Metadata_Well	cell_count	Metadata_plate_map_name	Metadata_date	Metadata_clone_number	Metadata_celltype_shorthand_from_plate_graph	Metadata_treatment	Metadata_treatment_shorthand_from_plate_graph	Metadata_treatment_time	Metadata_cell_density	Metadata_time_to_adhere
221064	B02	2148	221064	20210728	WT parental	1	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	B03	1152	221064	20210728	Clone A	2	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	B04	1964	221064	20210728	Clone E 	3	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	B05	855	221064	20210728	WT clone 10	4	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	B06	2984	221064	20210728	WT clone 12	5	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	B07	1534	221064	20210728	WT parental	1	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	B08	1277	221064	20210728	Clone A	2	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	B09	2214	221064	20210728	Clone E 	3	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	B10	872	221064	20210728	WT clone 10	4	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	B11	2496	221064	20210728	WT clone 12	5	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	C02	1421	221064	20210728	BZ007	10	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	C03	1780	221064	20210728	BZ006	9	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	C04	2357	221064	20210728	WT clone 15	8	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	C05	1689	221064	20210728	WT clone 14	7	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	C06	1523	221064	20210728	WT clone 13	6	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	C07	1350	221064	20210728	BZ007	10	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	C08	2200	221064	20210728	BZ006	9	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	C09	2036	221064	20210728	WT clone 15	8	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	C10	1592	221064	20210728	WT clone 14	7	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	C11	2237	221064	20210728	WT clone 13	6	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	D02	1445	221064	20210728	BZ008	11	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	D03	760	221064	20210728	BZ009	12	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	D04	1301	221064	20210728	BZ010	13	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	D05	2300	221064	20210728	WT parental	1	0.1% DMSO	1	4 hr	2.5x10^3 cells/well	48 hr
221064	D06	2100	221064	20210728	WT parental	1	0.1% DMSO	1	4 hr	2.5x10^3 cells/well	48 hr
221064	D07	1373	221064	20210728	BZ008	11	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	D08	730	221064	20210728	BZ009	12	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	D09	1187	221064	20210728	BZ010	13	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	D10	3311	221064	20210728	WT parental	1	0.1% DMSO	1	4 hr	2.5x10^3 cells/well	48 hr
221064	D11	2349	221064	20210728	WT parental	1	0.1% DMSO	1	4 hr	2.5x10^3 cells/well	48 hr
221064	E02	2703	221064	20210728	WT parental	1	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	E03	1452	221064	20210728	Clone A	2	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	E04	1929	221064	20210728	Clone E 	3	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	E05	699	221064	20210728	WT clone 10	4	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	E06	2390	221064	20210728	WT clone 12	5	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	E07	2076	221064	20210728	WT parental	1	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	E08	1675	221064	20210728	Clone A	2	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	E09	1888	221064	20210728	Clone E 	3	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	E10	939	221064	20210728	WT clone 10	4	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	E11	2950	221064	20210728	WT clone 12	5	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	F02	1143	221064	20210728	BZ007	10	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	F03	2104	221064	20210728	BZ006	9	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	F04	2161	221064	20210728	WT clone 15	8	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	F05	2047	221064	20210728	WT clone 14	7	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	F06	2681	221064	20210728	WT clone 13	6	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	F07	1216	221064	20210728	BZ007	10	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	F08	1652	221064	20210728	BZ006	9	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	F09	1727	221064	20210728	WT clone 15	8	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	F10	1804	221064	20210728	WT clone 14	7	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
221064	F11	1329	221064	20210728	WT clone 13	6	7 nM bortezomib	2	4 hr	2.5x10^3 cells/well	48 hr
