Metadata_Plate	Metadata_Well	cell_count	Metadata_plate_map_name	Metadata_clone_number	Metadata_plate_ID	Metadata_treatment
WTmut04hWed	B02	32181	WTmut04hWed	BZ017	217744	DMSO
WTmut04hWed	B03	27825	WTmut04hWed	WT002	217744	DMSO
WTmut04hWed	B04	34500	WTmut04hWed	WT008	217744	DMSO
WTmut04hWed	B05	36870	WTmut04hWed	WT009	217744	DMSO
WTmut04hWed	B06	28164	WTmut04hWed	BZ018	217744	DMSO
WTmut04hWed	B07	30324	WTmut04hWed	WT011	217744	DMSO
WTmut04hWed	B08	33954	WTmut04hWed	BZ001	217744	DMSO
WTmut04hWed	B09	38228	WTmut04hWed	BZ008	217744	DMSO
WTmut04hWed	B10	28249	WTmut04hWed	WT_parental	217744	DMSO
WTmut04hWed	B11	22840	WTmut04hWed	WT_parental	217744	DMSO
WTmut04hWed	C02	34300	WTmut04hWed	BZ017	217744	DMSO
WTmut04hWed	C03	39110	WTmut04hWed	BZ008	217744	DMSO
WTmut04hWed	C04	40664	WTmut04hWed	BZ001	217744	DMSO
WTmut04hWed	C05	36384	WTmut04hWed	WT011	217744	DMSO
WTmut04hWed	C06	38039	WTmut04hWed	BZ018	217744	DMSO
WTmut04hWed	C07	39356	WTmut04hWed	WT009	217744	DMSO
WTmut04hWed	C08	37624	WTmut04hWed	WT008	217744	DMSO
WTmut04hWed	C09	32606	WTmut04hWed	WT002	217744	DMSO
WTmut04hWed	C10	31939	WTmut04hWed	WT_parental	217744	DMSO
WTmut04hWed	C11	23990	WTmut04hWed	WT_parental	217744	DMSO
WTmut04hWed	D02	33902	WTmut04hWed	BZ017	217744	DMSO
WTmut04hWed	D03	33010	WTmut04hWed	WT002	217744	DMSO
WTmut04hWed	D04	38700	WTmut04hWed	WT008	217744	DMSO
WTmut04hWed	D05	38382	WTmut04hWed	WT009	217744	DMSO
WTmut04hWed	D06	40265	WTmut04hWed	BZ018	217744	DMSO
WTmut04hWed	D07	37379	WTmut04hWed	WT011	217744	DMSO
WTmut04hWed	D08	41578	WTmut04hWed	BZ001	217744	DMSO
WTmut04hWed	D09	41480	WTmut04hWed	BZ008	217744	DMSO
WTmut04hWed	D10	34243	WTmut04hWed	WT_parental	217744	DMSO
WTmut04hWed	D11	23539	WTmut04hWed	WT_parental	217744	DMSO
WTmut04hWed	E02	23732	WTmut04hWed	WT_parental	217744	DMSO
WTmut04hWed	E03	35112	WTmut04hWed	BZ017	217744	bortezomib
WTmut04hWed	E04	28274	WTmut04hWed	WT002	217744	bortezomib
WTmut04hWed	E05	34773	WTmut04hWed	WT008	217744	bortezomib
WTmut04hWed	E06	34267	WTmut04hWed	WT009	217744	bortezomib
WTmut04hWed	E07	36937	WTmut04hWed	BZ018	217744	bortezomib
WTmut04hWed	E08	34358	WTmut04hWed	WT011	217744	bortezomib
WTmut04hWed	E09	37278	WTmut04hWed	BZ001	217744	bortezomib
WTmut04hWed	E10	39590	WTmut04hWed	BZ008	217744	bortezomib
WTmut04hWed	E11	24637	WTmut04hWed	WT_parental	217744	bortezomib
WTmut04hWed	F02	25043	WTmut04hWed	WT_parental	217744	DMSO
WTmut04hWed	F03	34665	WTmut04hWed	BZ017	217744	bortezomib
WTmut04hWed	F04	40140	WTmut04hWed	BZ008	217744	bortezomib
WTmut04hWed	F05	36894	WTmut04hWed	BZ001	217744	bortezomib
WTmut04hWed	F06	34487	WTmut04hWed	WT011	217744	bortezomib
WTmut04hWed	F07	36201	WTmut04hWed	BZ018	217744	bortezomib
WTmut04hWed	F08	33419	WTmut04hWed	WT009	217744	bortezomib
WTmut04hWed	F09	33325	WTmut04hWed	WT008	217744	bortezomib
WTmut04hWed	F10	25066	WTmut04hWed	WT002	217744	bortezomib
WTmut04hWed	F11	22546	WTmut04hWed	WT_parental	217744	bortezomib
WTmut04hWed	G02	24190	WTmut04hWed	WT_parental	217744	DMSO
WTmut04hWed	G03	31419	WTmut04hWed	BZ017	217744	bortezomib
WTmut04hWed	G04	26698	WTmut04hWed	WT002	217744	bortezomib
WTmut04hWed	G05	32773	WTmut04hWed	WT008	217744	bortezomib
WTmut04hWed	G06	33172	WTmut04hWed	WT009	217744	bortezomib
WTmut04hWed	G07	32197	WTmut04hWed	BZ018	217744	bortezomib
WTmut04hWed	G08	34131	WTmut04hWed	WT011	217744	bortezomib
WTmut04hWed	G09	35489	WTmut04hWed	BZ001	217744	bortezomib
WTmut04hWed	G10	38170	WTmut04hWed	BZ008	217744	bortezomib
WTmut04hWed	G11	22077	WTmut04hWed	WT_parental	217744	bortezomib
