Metadata_Plate	Metadata_Well	cell_count	Metadata_plate_map_name	Metadata_date	Metadata_clone_number	Metadata_celltype_shorthand_from_plate_graph	Metadata_treatment	Metadata_treatment_shorthand_from_plate_graph	Metadata_treatment_time	Metadata_cell_density	Metadata_time_to_adhere
219973	B02	3767	219973	20210226	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	B03	1998	219973	20210226	Clone A	2	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	B04	1892	219973	20210226	Clone E 	3	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	B05	3392	219973	20210226	WT clone 01	4	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	B06	3203	219973	20210226	WT clone 02	5	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	B07	3832	219973	20210226	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	B08	2500	219973	20210226	Clone A	2	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	B09	2272	219973	20210226	Clone E 	3	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	B10	2550	219973	20210226	WT clone 01	4	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	B11	2919	219973	20210226	WT clone 02	5	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	C02	1761	219973	20210226	BZ002	10	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	C03	2478	219973	20210226	BZ001	9	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	C04	1372	219973	20210226	WT clone 05	8	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	C05	1908	219973	20210226	WT clone 04	7	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	C06	2509	219973	20210226	WT clone 03	6	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	C07	1751	219973	20210226	BZ002	10	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	C08	1704	219973	20210226	BZ001	9	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	C09	1515	219973	20210226	WT clone 05	8	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	C10	1792	219973	20210226	WT clone 04	7	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	C11	2092	219973	20210226	WT clone 03	6	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	D02	2002	219973	20210226	BZ003	11	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	D03	1629	219973	20210226	BZ004	12	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	D04	1245	219973	20210226	BZ005	13	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	D05	3875	219973	20210226	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	D06	3116	219973	20210226	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	D07	1678	219973	20210226	BZ003	11	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	D08	1655	219973	20210226	BZ004	12	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	D09	869	219973	20210226	BZ005	13	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	D10	4184	219973	20210226	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	D11	3453	219973	20210226	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	E02	3975	219973	20210226	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	E03	2013	219973	20210226	Clone A	2	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	E04	2107	219973	20210226	Clone E 	3	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	E05	2597	219973	20210226	WT clone 01	4	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	E06	3048	219973	20210226	WT clone 02	5	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	E07	2848	219973	20210226	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	E08	1801	219973	20210226	Clone A	2	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	E09	2364	219973	20210226	Clone E 	3	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	E10	2738	219973	20210226	WT clone 01	4	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	E11	3084	219973	20210226	WT clone 02	5	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	F02	2019	219973	20210226	BZ002	10	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	F03	2326	219973	20210226	BZ001	9	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	F04	1093	219973	20210226	WT clone 05	8	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	F05	1439	219973	20210226	WT clone 04	7	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	F06	2785	219973	20210226	WT clone 03	6	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	F07	1331	219973	20210226	BZ002	10	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	F08	1957	219973	20210226	BZ001	9	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	F09	1095	219973	20210226	WT clone 05	8	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	F10	1279	219973	20210226	WT clone 04	7	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	F11	2476	219973	20210226	WT clone 03	6	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	G02	1576	219973	20210226	BZ003	11	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	G03	2145	219973	20210226	BZ004	12	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	G04	1333	219973	20210226	BZ005	13	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	G05	3853	219973	20210226	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	G06	3229	219973	20210226	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	G07	1779	219973	20210226	BZ003	11	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	G08	1772	219973	20210226	BZ004	12	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	G09	1072	219973	20210226	BZ005	13	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	G10	4454	219973	20210226	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
219973	G11	2625	219973	20210226	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
