Metadata_Plate	Metadata_Well	cell_count	Metadata_plate_map_name	Metadata_date	Metadata_clone_number	Metadata_celltype_shorthand_from_plate_graph	Metadata_treatment	Metadata_treatment_shorthand_from_plate_graph	Metadata_treatment_time	Metadata_cell_density	Metadata_time_to_adhere
218697	B02	14436	218697	20200818	WT parental	1	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	B03	11617	218697	20200818	WT clone 04	2	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	B04	6514	218697	20200818	WT clone 05	3	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	B05	7946	218697	20200818	WT clone 06	4	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	B06	5884	218697	20200818	WT clone 07	5	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	B07	4656	218697	20200818	CB5038 clone 13	6	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	B08	6999	218697	20200818	CB5038 clone 14	7	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	B09	5909	218697	20200818	CB5038 clone 15	8	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	B10	6792	218697	20200818	CB5038 clone 16	9	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	B11	5923	218697	20200818	CB5038 clone 17	10	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	C02	13627	218697	20200818	WT parental	1	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	C03	10777	218697	20200818	WT clone 04	2	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	C04	6741	218697	20200818	WT clone 05	3	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	C05	9556	218697	20200818	WT clone 06	4	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	C06	7236	218697	20200818	WT clone 07	5	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	C07	5563	218697	20200818	CB5038 clone 13	6	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	C08	7647	218697	20200818	CB5038 clone 14	7	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	C09	7322	218697	20200818	CB5038 clone 15	8	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	C10	7413	218697	20200818	CB5038 clone 16	9	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	C11	6011	218697	20200818	CB5038 clone 17	10	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	D02	12346	218697	20200818	WT parental	1	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	D03	10381	218697	20200818	WT clone 04	2	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	D04	6011	218697	20200818	WT clone 05	3	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	D05	7114	218697	20200818	WT clone 06	4	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	D06	6036	218697	20200818	WT clone 07	5	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	D07	5975	218697	20200818	CB5038 clone 13	6	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	D08	5493	218697	20200818	CB5038 clone 14	7	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	D09	6473	218697	20200818	CB5038 clone 15	8	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	D10	6265	218697	20200818	CB5038 clone 16	9	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	D11	5410	218697	20200818	CB5038 clone 17	10	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	E02	4966	218697	20200818	CB5038 clone 13	6	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	E03	6296	218697	20200818	CB5038 clone 14	7	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	E04	6482	218697	20200818	CB5038 clone 15	8	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	E05	7283	218697	20200818	CB5038 clone 16	9	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	E06	7544	218697	20200818	CB5038 clone 17	10	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	E07	12431	218697	20200818	WT parental	1	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	E08	10724	218697	20200818	WT clone 04	2	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	E09	6120	218697	20200818	WT clone 05	3	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	E10	7268	218697	20200818	WT clone 06	4	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	E11	5383	218697	20200818	WT clone 07	5	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	F02	5117	218697	20200818	CB5038 clone 13	6	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	F03	7781	218697	20200818	CB5038 clone 14	7	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
218697	F04	7689	218697	20200818	CB5038 clone 15	8	700 nM CB-5083	2	4 hr	5x10^3 cells/well	48 hr
