Metadata_Plate	Metadata_Well	cell_count	Metadata_plate_map_name	Metadata_clone_number
WTClones	B02	22129	WTClones	WT001
WTClones	B03	21002	WTClones	WT001
WTClones	B04	22375	WTClones	WT001
WTClones	B05	14484	WTClones	WT002
WTClones	B06	13674	WTClones	WT002
WTClones	B07	12986	WTClones	WT002
WTClones	B08	11186	WTClones	WT003
WTClones	B09	14005	WTClones	WT003
WTClones	B10	12191	WTClones	WT003
WTClones	B11	34060	WTClones	WT_parental
WTClones	C02	20095	WTClones	WT004
WTClones	C03	19893	WTClones	WT004
WTClones	C04	18725	WTClones	WT004
WTClones	C05	14712	WTClones	WT005
WTClones	C06	13008	WTClones	WT005
WTClones	C07	14022	WTClones	WT005
WTClones	C08	14299	WTClones	WT006
WTClones	C09	14662	WTClones	WT006
WTClones	C10	14610	WTClones	WT006
WTClones	C11	31807	WTClones	WT_parental
WTClones	D02	15468	WTClones	WT007
WTClones	D03	15306	WTClones	WT007
WTClones	D04	13884	WTClones	WT007
WTClones	D05	16394	WTClones	WT008
WTClones	D06	16665	WTClones	WT008
WTClones	D07	15560	WTClones	WT008
WTClones	D08	13733	WTClones	WT009
WTClones	D09	14043	WTClones	WT009
WTClones	D10	12359	WTClones	WT009
WTClones	D11	26728	WTClones	WT_parental
WTClones	E02	13928	WTClones	WT010
WTClones	E03	15035	WTClones	WT010
WTClones	E04	15242	WTClones	WT010
WTClones	E05	15034	WTClones	WT011
WTClones	E06	16806	WTClones	WT011
WTClones	E07	15380	WTClones	WT011
WTClones	E08	15498	WTClones	WT012
WTClones	E09	14612	WTClones	WT012
WTClones	E10	9494	WTClones	WT012
WTClones	F02	13119	WTClones	WT013
WTClones	F03	16492	WTClones	WT013
WTClones	F04	15180	WTClones	WT013
WTClones	F05	26641	WTClones	WT014
WTClones	F06	31966	WTClones	WT014
WTClones	F07	33226	WTClones	WT014
WTClones	F08	14404	WTClones	WT015
WTClones	F09	13705	WTClones	WT015
WTClones	F10	12347	WTClones	WT015
