Metadata_Plate	Metadata_Well	Metadata_Site	cell_count	Metadata_plate_map_name	Metadata_clone_number	Metadata_plate_ID	Metadata_treatment
WTmut04hTh	B02	1	1742	WTmut04hTh	BZ017	217748	DMSO
WTmut04hTh	B02	2	2036	WTmut04hTh	BZ017	217748	DMSO
WTmut04hTh	B02	3	2483	WTmut04hTh	BZ017	217748	DMSO
WTmut04hTh	B02	4	1631	WTmut04hTh	BZ017	217748	DMSO
WTmut04hTh	B02	5	1915	WTmut04hTh	BZ017	217748	DMSO
WTmut04hTh	B02	6	1909	WTmut04hTh	BZ017	217748	DMSO
WTmut04hTh	B02	7	2110	WTmut04hTh	BZ017	217748	DMSO
WTmut04hTh	B02	8	1745	WTmut04hTh	BZ017	217748	DMSO
WTmut04hTh	B02	9	1583	WTmut04hTh	BZ017	217748	DMSO
WTmut04hTh	B02	10	1606	WTmut04hTh	BZ017	217748	DMSO
WTmut04hTh	B02	11	1483	WTmut04hTh	BZ017	217748	DMSO
WTmut04hTh	B02	12	1813	WTmut04hTh	BZ017	217748	DMSO
WTmut04hTh	B02	13	1266	WTmut04hTh	BZ017	217748	DMSO
WTmut04hTh	B02	14	1321	WTmut04hTh	BZ017	217748	DMSO
WTmut04hTh	B02	15	2404	WTmut04hTh	BZ017	217748	DMSO
WTmut04hTh	B02	16	1288	WTmut04hTh	BZ017	217748	DMSO
WTmut04hTh	B02	17	845	WTmut04hTh	BZ017	217748	DMSO
WTmut04hTh	B03	1	2248	WTmut04hTh	WT002	217748	DMSO
WTmut04hTh	B03	2	2102	WTmut04hTh	WT002	217748	DMSO
WTmut04hTh	B03	3	2262	WTmut04hTh	WT002	217748	DMSO
WTmut04hTh	B03	4	2188	WTmut04hTh	WT002	217748	DMSO
WTmut04hTh	B03	5	2145	WTmut04hTh	WT002	217748	DMSO
WTmut04hTh	B03	6	2184	WTmut04hTh	WT002	217748	DMSO
WTmut04hTh	B03	7	2109	WTmut04hTh	WT002	217748	DMSO
WTmut04hTh	B03	8	2168	WTmut04hTh	WT002	217748	DMSO
WTmut04hTh	B03	9	2208	WTmut04hTh	WT002	217748	DMSO
WTmut04hTh	B03	10	2223	WTmut04hTh	WT002	217748	DMSO
WTmut04hTh	B03	11	2109	WTmut04hTh	WT002	217748	DMSO
WTmut04hTh	B03	12	2030	WTmut04hTh	WT002	217748	DMSO
WTmut04hTh	B03	13	2077	WTmut04hTh	WT002	217748	DMSO
WTmut04hTh	B03	14	2173	WTmut04hTh	WT002	217748	DMSO
WTmut04hTh	B03	15	1623	WTmut04hTh	WT002	217748	DMSO
WTmut04hTh	B03	16	1609	WTmut04hTh	WT002	217748	DMSO
WTmut04hTh	B03	17	1825	WTmut04hTh	WT002	217748	DMSO
WTmut04hTh	B04	1	1984	WTmut04hTh	WT008	217748	DMSO
WTmut04hTh	B04	2	2159	WTmut04hTh	WT008	217748	DMSO
WTmut04hTh	B04	3	2288	WTmut04hTh	WT008	217748	DMSO
WTmut04hTh	B04	4	2127	WTmut04hTh	WT008	217748	DMSO
WTmut04hTh	B04	5	2093	WTmut04hTh	WT008	217748	DMSO
WTmut04hTh	B04	6	2156	WTmut04hTh	WT008	217748	DMSO
WTmut04hTh	B04	7	2167	WTmut04hTh	WT008	217748	DMSO
WTmut04hTh	B04	8	2185	WTmut04hTh	WT008	217748	DMSO
WTmut04hTh	B04	9	2112	WTmut04hTh	WT008	217748	DMSO
WTmut04hTh	B04	10	2040	WTmut04hTh	WT008	217748	DMSO
