Metadata_Plate	Metadata_Well	cell_count	Metadata_plate_map_name	Metadata_CellLine	Metadata_Dosage
HCT116bortezomib	B03	7166	PlateMap_HCT116bortezomib	WT	0.0
HCT116bortezomib	B04	6718	PlateMap_HCT116bortezomib	WT	0.0
HCT116bortezomib	B05	6421	PlateMap_HCT116bortezomib	WT	0.0
HCT116bortezomib	B06	6384	PlateMap_HCT116bortezomib	CloneA	0.0
HCT116bortezomib	B07	6586	PlateMap_HCT116bortezomib	CloneA	0.0
HCT116bortezomib	B08	6118	PlateMap_HCT116bortezomib	CloneA	0.0
HCT116bortezomib	B09	5293	PlateMap_HCT116bortezomib	CloneE	0.0
HCT116bortezomib	B10	4455	PlateMap_HCT116bortezomib	CloneE	0.0
HCT116bortezomib	B11	4846	PlateMap_HCT116bortezomib	CloneE	0.0
HCT116bortezomib	C03	7331	PlateMap_HCT116bortezomib	WT	0.7
HCT116bortezomib	C04	6347	PlateMap_HCT116bortezomib	WT	0.7
HCT116bortezomib	C05	5965	PlateMap_HCT116bortezomib	WT	0.7
HCT116bortezomib	C06	6871	PlateMap_HCT116bortezomib	CloneA	0.7
HCT116bortezomib	C07	6390	PlateMap_HCT116bortezomib	CloneA	0.7
HCT116bortezomib	C09	5211	PlateMap_HCT116bortezomib	CloneE	0.7
HCT116bortezomib	C10	6174	PlateMap_HCT116bortezomib	CloneE	0.7
HCT116bortezomib	C11	5066	PlateMap_HCT116bortezomib	CloneE	0.7
HCT116bortezomib	D03	4564	PlateMap_HCT116bortezomib	WT	7.0
HCT116bortezomib	D04	3996	PlateMap_HCT116bortezomib	WT	7.0
HCT116bortezomib	D05	4084	PlateMap_HCT116bortezomib	WT	7.0
HCT116bortezomib	D06	4734	PlateMap_HCT116bortezomib	CloneA	7.0
HCT116bortezomib	D07	5075	PlateMap_HCT116bortezomib	CloneA	7.0
HCT116bortezomib	D08	4294	PlateMap_HCT116bortezomib	CloneA	7.0
HCT116bortezomib	D09	3740	PlateMap_HCT116bortezomib	CloneE	7.0
HCT116bortezomib	D10	3473	PlateMap_HCT116bortezomib	CloneE	7.0
HCT116bortezomib	D11	3359	PlateMap_HCT116bortezomib	CloneE	7.0
HCT116bortezomib	E03	3707	PlateMap_HCT116bortezomib	WT	70.0
HCT116bortezomib	E04	4370	PlateMap_HCT116bortezomib	WT	70.0
HCT116bortezomib	E05	3527	PlateMap_HCT116bortezomib	WT	70.0
HCT116bortezomib	E06	3451	PlateMap_HCT116bortezomib	CloneA	70.0
HCT116bortezomib	E07	3529	PlateMap_HCT116bortezomib	CloneA	70.0
HCT116bortezomib	E08	3638	PlateMap_HCT116bortezomib	CloneA	70.0
HCT116bortezomib	E09	2619	PlateMap_HCT116bortezomib	CloneE	70.0
HCT116bortezomib	E10	2522	PlateMap_HCT116bortezomib	CloneE	70.0
HCT116bortezomib	E11	2074	PlateMap_HCT116bortezomib	CloneE	70.0
HCT116bortezomib	F08	4068	PlateMap_HCT116bortezomib	CloneA	0.7
