Metadata_Plate	Metadata_Well	Metadata_Site	cell_count	Metadata_plate_map_name	Metadata_clone_number
MutClones	B02	1	454	MutClones	BZ001
MutClones	B02	2	1185	MutClones	BZ001
MutClones	B02	3	807	MutClones	BZ001
MutClones	B02	4	557	MutClones	BZ001
MutClones	B02	5	726	MutClones	BZ001
MutClones	B02	6	630	MutClones	BZ001
MutClones	B02	7	357	MutClones	BZ001
MutClones	B02	8	546	MutClones	BZ001
MutClones	B02	9	407	MutClones	BZ001
MutClones	B02	10	566	MutClones	BZ001
MutClones	B02	11	559	MutClones	BZ001
MutClones	B02	12	502	MutClones	BZ001
MutClones	B02	13	385	MutClones	BZ001
MutClones	B02	14	606	MutClones	BZ001
MutClones	B02	15	617	MutClones	BZ001
MutClones	B02	16	299	MutClones	BZ001
MutClones	B03	1	1842	MutClones	BZ002
MutClones	B03	2	1744	MutClones	BZ002
MutClones	B03	3	1990	MutClones	BZ002
MutClones	B03	4	1346	MutClones	BZ002
MutClones	B03	5	1239	MutClones	BZ002
MutClones	B03	6	1923	MutClones	BZ002
MutClones	B03	7	1859	MutClones	BZ002
MutClones	B03	8	1402	MutClones	BZ002
MutClones	B03	9	1949	MutClones	BZ002
MutClones	B03	10	1921	MutClones	BZ002
MutClones	B03	11	1485	MutClones	BZ002
MutClones	B03	12	1300	MutClones	BZ002
MutClones	B03	13	1965	MutClones	BZ002
MutClones	B03	14	1959	MutClones	BZ002
MutClones	B03	15	1299	MutClones	BZ002
MutClones	B03	16	2320	MutClones	BZ002
MutClones	B04	1	385	MutClones	BZ003
MutClones	B04	2	504	MutClones	BZ003
MutClones	B04	3	526	MutClones	BZ003
MutClones	B04	4	725	MutClones	BZ003
MutClones	B04	5	488	MutClones	BZ003
MutClones	B04	6	489	MutClones	BZ003
MutClones	B04	7	573	MutClones	BZ003
MutClones	B04	8	476	MutClones	BZ003
MutClones	B04	9	410	MutClones	BZ003
MutClones	B04	10	525	MutClones	BZ003
MutClones	B04	11	572	MutClones	BZ003
