Metadata_Plate	Metadata_Well	Metadata_Site	cell_count	Metadata_plate_map_name	Metadata_clone_number	Metadata_plate_ID	Metadata_plate_filename	Metadata_treatment
217766	B02	1	1683	217766	BZ017	217766	20191122-20191119-HiDensity	DMSO
217766	B02	2	1741	217766	BZ017	217766	20191122-20191119-HiDensity	DMSO
217766	B02	3	1908	217766	BZ017	217766	20191122-20191119-HiDensity	DMSO
217766	B02	4	1377	217766	BZ017	217766	20191122-20191119-HiDensity	DMSO
217766	B02	5	1572	217766	BZ017	217766	20191122-20191119-HiDensity	DMSO
217766	B02	6	1601	217766	BZ017	217766	20191122-20191119-HiDensity	DMSO
217766	B02	7	1665	217766	BZ017	217766	20191122-20191119-HiDensity	DMSO
217766	B02	8	1265	217766	BZ017	217766	20191122-20191119-HiDensity	DMSO
217766	B02	9	1083	217766	BZ017	217766	20191122-20191119-HiDensity	DMSO
217766	B02	10	1214	217766	BZ017	217766	20191122-20191119-HiDensity	DMSO
217766	B02	11	1248	217766	BZ017	217766	20191122-20191119-HiDensity	DMSO
217766	B02	12	1319	217766	BZ017	217766	20191122-20191119-HiDensity	DMSO
217766	B02	13	1134	217766	BZ017	217766	20191122-20191119-HiDensity	DMSO
217766	B02	14	1207	217766	BZ017	217766	20191122-20191119-HiDensity	DMSO
217766	B02	15	1868	217766	BZ017	217766	20191122-20191119-HiDensity	DMSO
217766	B02	16	961	217766	BZ017	217766	20191122-20191119-HiDensity	DMSO
217766	B02	17	804	217766	BZ017	217766	20191122-20191119-HiDensity	DMSO
217766	B03	1	2164	217766	WT002	217766	20191122-20191119-HiDensity	DMSO
217766	B03	2	1695	217766	WT002	217766	20191122-20191119-HiDensity	DMSO
217766	B03	3	1718	217766	WT002	217766	20191122-20191119-HiDensity	DMSO
217766	B03	4	1800	217766	WT002	217766	20191122-20191119-HiDensity	DMSO
217766	B03	5	1659	217766	WT002	217766	20191122-20191119-HiDensity	DMSO
217766	B03	6	1753	217766	WT002	217766	20191122-20191119-HiDensity	DMSO
217766	B03	7	2082	217766	WT002	217766	20191122-20191119-HiDensity	DMSO
217766	B03	8	1806	217766	WT002	217766	20191122-20191119-HiDensity	DMSO
217766	B03	9	1341	217766	WT002	217766	20191122-20191119-HiDensity	DMSO
217766	B03	10	1647	217766	WT002	217766	20191122-20191119-HiDensity	DMSO
217766	B03	11	1870	217766	WT002	217766	20191122-20191119-HiDensity	DMSO
217766	B03	12	1614	217766	WT002	217766	20191122-20191119-HiDensity	DMSO
217766	B03	13	1377	217766	WT002	217766	20191122-20191119-HiDensity	DMSO
217766	B03	14	1391	217766	WT002	217766	20191122-20191119-HiDensity	DMSO
217766	B03	15	1445	217766	WT002	217766	20191122-20191119-HiDensity	DMSO
217766	B03	16	1193	217766	WT002	217766	20191122-20191119-HiDensity	DMSO
217766	B03	17	638	217766	WT002	217766	20191122-20191119-HiDensity	DMSO
217766	B04	1	2041	217766	WT008	217766	20191122-20191119-HiDensity	DMSO
217766	B04	2	1677	217766	WT008	217766	20191122-20191119-HiDensity	DMSO
217766	B04	3	1934	217766	WT008	217766	20191122-20191119-HiDensity	DMSO
217766	B04	4	1622	217766	WT008	217766	20191122-20191119-HiDensity	DMSO
217766	B04	5	1525	217766	WT008	217766	20191122-20191119-HiDensity	DMSO
217766	B04	6	1642	217766	WT008	217766	20191122-20191119-HiDensity	DMSO
217766	B04	7	1725	217766	WT008	217766	20191122-20191119-HiDensity	DMSO
217766	B04	8	1561	217766	WT008	217766	20191122-20191119-HiDensity	DMSO
217766	B04	9	1339	217766	WT008	217766	20191122-20191119-HiDensity	DMSO
217766	B04	10	1348	217766	WT008	217766	20191122-20191119-HiDensity	DMSO
217766	B04	11	1419	217766	WT008	217766	20191122-20191119-HiDensity	DMSO
217766	B04	12	1400	217766	WT008	217766	20191122-20191119-HiDensity	DMSO
217766	B04	13	1166	217766	WT008	217766	20191122-20191119-HiDensity	DMSO
217766	B04	14	1135	217766	WT008	217766	20191122-20191119-HiDensity	DMSO
217766	B04	15	1154	217766	WT008	217766	20191122-20191119-HiDensity	DMSO
217766	B04	16	750	217766	WT008	217766	20191122-20191119-HiDensity	DMSO
217766	B04	17	846	217766	WT008	217766	20191122-20191119-HiDensity	DMSO
217766	B05	1	1944	217766	WT009	217766	20191122-20191119-HiDensity	DMSO
217766	B05	2	1342	217766	WT009	217766	20191122-20191119-HiDensity	DMSO
217766	B05	3	1645	217766	WT009	217766	20191122-20191119-HiDensity	DMSO
217766	B05	4	1459	217766	WT009	217766	20191122-20191119-HiDensity	DMSO
217766	B05	5	1267	217766	WT009	217766	20191122-20191119-HiDensity	DMSO
217766	B05	6	1364	217766	WT009	217766	20191122-20191119-HiDensity	DMSO
217766	B05	7	1415	217766	WT009	217766	20191122-20191119-HiDensity	DMSO
217766	B05	8	1417	217766	WT009	217766	20191122-20191119-HiDensity	DMSO
217766	B05	9	1194	217766	WT009	217766	20191122-20191119-HiDensity	DMSO
217766	B05	10	1046	217766	WT009	217766	20191122-20191119-HiDensity	DMSO
217766	B05	11	1040	217766	WT009	217766	20191122-20191119-HiDensity	DMSO
217766	B05	12	1178	217766	WT009	217766	20191122-20191119-HiDensity	DMSO
217766	B05	13	1101	217766	WT009	217766	20191122-20191119-HiDensity	DMSO
217766	B05	14	908	217766	WT009	217766	20191122-20191119-HiDensity	DMSO
217766	B05	15	845	217766	WT009	217766	20191122-20191119-HiDensity	DMSO
217766	B05	16	844	217766	WT009	217766	20191122-20191119-HiDensity	DMSO
217766	B05	17	687	217766	WT009	217766	20191122-20191119-HiDensity	DMSO
217766	B06	1	1026	217766	BZ018	217766	20191122-20191119-HiDensity	DMSO
217766	B06	2	884	217766	BZ018	217766	20191122-20191119-HiDensity	DMSO
217766	B06	3	1121	217766	BZ018	217766	20191122-20191119-HiDensity	DMSO
217766	B06	4	760	217766	BZ018	217766	20191122-20191119-HiDensity	DMSO
217766	B06	5	573	217766	BZ018	217766	20191122-20191119-HiDensity	DMSO
217766	B06	6	654	217766	BZ018	217766	20191122-20191119-HiDensity	DMSO
217766	B06	7	718	217766	BZ018	217766	20191122-20191119-HiDensity	DMSO
217766	B06	8	649	217766	BZ018	217766	20191122-20191119-HiDensity	DMSO
217766	B06	9	718	217766	BZ018	217766	20191122-20191119-HiDensity	DMSO
217766	B06	10	611	217766	BZ018	217766	20191122-20191119-HiDensity	DMSO
217766	B06	11	787	217766	BZ018	217766	20191122-20191119-HiDensity	DMSO
217766	B06	12	642	217766	BZ018	217766	20191122-20191119-HiDensity	DMSO
217766	B06	13	626	217766	BZ018	217766	20191122-20191119-HiDensity	DMSO
217766	B06	14	591	217766	BZ018	217766	20191122-20191119-HiDensity	DMSO
217766	B06	15	580	217766	BZ018	217766	20191122-20191119-HiDensity	DMSO
217766	B06	16	448	217766	BZ018	217766	20191122-20191119-HiDensity	DMSO
217766	B06	17	413	217766	BZ018	217766	20191122-20191119-HiDensity	DMSO
217766	B07	1	1711	217766	WT_parental	217766	20191122-20191119-HiDensity	DMSO
217766	B07	2	1134	217766	WT_parental	217766	20191122-20191119-HiDensity	DMSO
217766	B07	3	1331	217766	WT_parental	217766	20191122-20191119-HiDensity	DMSO
217766	B07	4	1334	217766	WT_parental	217766	20191122-20191119-HiDensity	DMSO
217766	B07	5	1071	217766	WT_parental	217766	20191122-20191119-HiDensity	DMSO
217766	B07	6	1113	217766	WT_parental	217766	20191122-20191119-HiDensity	DMSO
217766	B07	7	1254	217766	WT_parental	217766	20191122-20191119-HiDensity	DMSO
217766	B07	8	1457	217766	WT_parental	217766	20191122-20191119-HiDensity	DMSO
