Metadata_Plate	Metadata_Well	Metadata_Site	cell_count	Metadata_plate_map_name	Metadata_clone_number	Metadata_plate_ID	Metadata_plate_filename	Metadata_treatment
217762	B09	1	1247	217762	BZ008	217762	20191120-20191115-LoDensity	DMSO
217762	B09	2	530	217762	BZ008	217762	20191120-20191115-LoDensity	DMSO
217762	B09	3	685	217762	BZ008	217762	20191120-20191115-LoDensity	DMSO
217762	B09	4	620	217762	BZ008	217762	20191120-20191115-LoDensity	DMSO
217762	B09	5	508	217762	BZ008	217762	20191120-20191115-LoDensity	DMSO
217762	B09	6	572	217762	BZ008	217762	20191120-20191115-LoDensity	DMSO
217762	B09	7	579	217762	BZ008	217762	20191120-20191115-LoDensity	DMSO
217762	B09	8	577	217762	BZ008	217762	20191120-20191115-LoDensity	DMSO
217762	B09	9	595	217762	BZ008	217762	20191120-20191115-LoDensity	DMSO
217762	B09	10	587	217762	BZ008	217762	20191120-20191115-LoDensity	DMSO
217762	B09	11	830	217762	BZ008	217762	20191120-20191115-LoDensity	DMSO
217762	B09	12	569	217762	BZ008	217762	20191120-20191115-LoDensity	DMSO
217762	B09	13	493	217762	BZ008	217762	20191120-20191115-LoDensity	DMSO
217762	B09	14	683	217762	BZ008	217762	20191120-20191115-LoDensity	DMSO
217762	B09	15	524	217762	BZ008	217762	20191120-20191115-LoDensity	DMSO
217762	B09	16	324	217762	BZ008	217762	20191120-20191115-LoDensity	DMSO
217762	B09	17	534	217762	BZ008	217762	20191120-20191115-LoDensity	DMSO
217762	B10	1	1458	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	B10	2	1281	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	B10	3	1061	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	B10	4	1042	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	B10	5	1212	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	B10	6	1168	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
217762	B10	7	844	217762	WT_parental	217762	20191120-20191115-LoDensity	DMSO
