Metadata_Plate	Metadata_Well	cell_count	Metadata_plate_map_name	Metadata_CellLine	Metadata_Dosage
207106_exposure320	B02	7616	PlateMap_207106_exposure320	WT	0.0
207106_exposure320	B03	7316	PlateMap_207106_exposure320	WT	0.0
207106_exposure320	B04	7082	PlateMap_207106_exposure320	WT	0.0
207106_exposure320	B05	11872	PlateMap_207106_exposure320	CloneA	0.0
207106_exposure320	B06	7898	PlateMap_207106_exposure320	CloneA	0.0
207106_exposure320	B07	10906	PlateMap_207106_exposure320	CloneA	0.0
207106_exposure320	B08	10459	PlateMap_207106_exposure320	CloneE	0.0
207106_exposure320	B09	10570	PlateMap_207106_exposure320	CloneE	0.0
207106_exposure320	B10	8280	PlateMap_207106_exposure320	CloneE	0.0
207106_exposure320	C02	6735	PlateMap_207106_exposure320	WT	0.7
207106_exposure320	C03	7666	PlateMap_207106_exposure320	WT	0.7
207106_exposure320	C04	6455	PlateMap_207106_exposure320	WT	0.7
207106_exposure320	C05	11871	PlateMap_207106_exposure320	CloneA	0.7
207106_exposure320	C06	12063	PlateMap_207106_exposure320	CloneA	0.7
207106_exposure320	C07	11777	PlateMap_207106_exposure320	CloneA	0.7
207106_exposure320	C08	10456	PlateMap_207106_exposure320	CloneE	0.7
207106_exposure320	C09	9431	PlateMap_207106_exposure320	CloneE	0.7
207106_exposure320	C10	8992	PlateMap_207106_exposure320	CloneE	0.7
207106_exposure320	D02	3791	PlateMap_207106_exposure320	WT	7.0
207106_exposure320	D03	3975	PlateMap_207106_exposure320	WT	7.0
207106_exposure320	D04	3616	PlateMap_207106_exposure320	WT	7.0
207106_exposure320	D05	7619	PlateMap_207106_exposure320	CloneA	7.0
207106_exposure320	D06	7946	PlateMap_207106_exposure320	CloneA	7.0
207106_exposure320	D07	7510	PlateMap_207106_exposure320	CloneA	7.0
207106_exposure320	D08	6576	PlateMap_207106_exposure320	CloneE	7.0
207106_exposure320	D09	5650	PlateMap_207106_exposure320	CloneE	7.0
207106_exposure320	D10	5704	PlateMap_207106_exposure320	CloneE	7.0
207106_exposure320	E02	3463	PlateMap_207106_exposure320	WT	70.0
207106_exposure320	E03	3323	PlateMap_207106_exposure320	WT	70.0
207106_exposure320	E04	2483	PlateMap_207106_exposure320	WT	70.0
207106_exposure320	E05	5402	PlateMap_207106_exposure320	CloneA	70.0
207106_exposure320	E06	5561	PlateMap_207106_exposure320	CloneA	70.0
207106_exposure320	E07	5231	PlateMap_207106_exposure320	CloneA	70.0
207106_exposure320	E08	4056	PlateMap_207106_exposure320	CloneE	70.0
207106_exposure320	E09	4050	PlateMap_207106_exposure320	CloneE	70.0
207106_exposure320	E10	3596	PlateMap_207106_exposure320	CloneE	70.0
