Metadata_Plate	Metadata_Well	cell_count	Metadata_plate_map_name	Metadata_clone_number	Metadata_plate_ID	Metadata_plate_filename	Metadata_treatment
217768	B02	10820	217768	BZ017	217768	20191122-20191119-LoDensity	DMSO
217768	B03	13965	217768	WT002	217768	20191122-20191119-LoDensity	DMSO
217768	B04	9852	217768	WT008	217768	20191122-20191119-LoDensity	DMSO
217768	B05	8270	217768	WT009	217768	20191122-20191119-LoDensity	DMSO
217768	B06	4481	217768	BZ018	217768	20191122-20191119-LoDensity	DMSO
217768	B07	6798	217768	WT_parental	217768	20191122-20191119-LoDensity	DMSO
217768	B08	6729	217768	WT011	217768	20191122-20191119-LoDensity	DMSO
217768	B09	6469	217768	BZ001	217768	20191122-20191119-LoDensity	DMSO
217768	B10	10836	217768	BZ008	217768	20191122-20191119-LoDensity	DMSO
217768	B11	6185	217768	WT_parental	217768	20191122-20191119-LoDensity	DMSO
217768	C02	12442	217768	BZ017	217768	20191122-20191119-LoDensity	DMSO
217768	C03	13262	217768	BZ008	217768	20191122-20191119-LoDensity	DMSO
217768	C04	8295	217768	BZ001	217768	20191122-20191119-LoDensity	DMSO
217768	C05	7922	217768	WT011	217768	20191122-20191119-LoDensity	DMSO
217768	C06	6729	217768	BZ018	217768	20191122-20191119-LoDensity	DMSO
217768	C07	10033	217768	WT_parental	217768	20191122-20191119-LoDensity	DMSO
217768	C08	8742	217768	WT009	217768	20191122-20191119-LoDensity	DMSO
217768	C09	10948	217768	WT008	217768	20191122-20191119-LoDensity	DMSO
217768	C10	12991	217768	WT002	217768	20191122-20191119-LoDensity	DMSO
217768	C11	7347	217768	WT_parental	217768	20191122-20191119-LoDensity	DMSO
217768	D02	11528	217768	BZ017	217768	20191122-20191119-LoDensity	DMSO
217768	D03	14174	217768	WT002	217768	20191122-20191119-LoDensity	DMSO
217768	D04	10291	217768	WT008	217768	20191122-20191119-LoDensity	DMSO
217768	D05	9460	217768	WT009	217768	20191122-20191119-LoDensity	DMSO
217768	D06	6295	217768	BZ018	217768	20191122-20191119-LoDensity	DMSO
217768	D07	8287	217768	WT_parental	217768	20191122-20191119-LoDensity	DMSO
217768	D08	7765	217768	WT011	217768	20191122-20191119-LoDensity	DMSO
217768	D09	9011	217768	BZ001	217768	20191122-20191119-LoDensity	DMSO
217768	D10	12851	217768	BZ008	217768	20191122-20191119-LoDensity	DMSO
217768	D11	7713	217768	WT_parental	217768	20191122-20191119-LoDensity	DMSO
217768	E02	8661	217768	WT_parental	217768	20191122-20191119-LoDensity	DMSO
217768	E03	12758	217768	BZ017	217768	20191122-20191119-LoDensity	bortezomib
217768	E04	14872	217768	WT002	217768	20191122-20191119-LoDensity	bortezomib
217768	E05	10932	217768	WT008	217768	20191122-20191119-LoDensity	bortezomib
217768	E06	9253	217768	WT009	217768	20191122-20191119-LoDensity	bortezomib
217768	E07	6423	217768	BZ018	217768	20191122-20191119-LoDensity	bortezomib
217768	E08	9654	217768	WT_parental	217768	20191122-20191119-LoDensity	bortezomib
217768	E09	7717	217768	WT011	217768	20191122-20191119-LoDensity	bortezomib
217768	E10	9233	217768	BZ001	217768	20191122-20191119-LoDensity	bortezomib
217768	E11	13604	217768	BZ008	217768	20191122-20191119-LoDensity	bortezomib
217768	F02	8892	217768	WT_parental	217768	20191122-20191119-LoDensity	DMSO
217768	F03	12794	217768	BZ017	217768	20191122-20191119-LoDensity	bortezomib
217768	F04	13751	217768	BZ008	217768	20191122-20191119-LoDensity	bortezomib
217768	F05	9598	217768	BZ001	217768	20191122-20191119-LoDensity	bortezomib
217768	F06	8262	217768	WT011	217768	20191122-20191119-LoDensity	bortezomib
217768	F07	6321	217768	BZ018	217768	20191122-20191119-LoDensity	bortezomib
217768	F08	9814	217768	WT_parental	217768	20191122-20191119-LoDensity	bortezomib
217768	F09	10428	217768	WT009	217768	20191122-20191119-LoDensity	bortezomib
217768	F10	12313	217768	WT008	217768	20191122-20191119-LoDensity	bortezomib
217768	F11	12711	217768	WT002	217768	20191122-20191119-LoDensity	bortezomib
217768	G02	8361	217768	WT_parental	217768	20191122-20191119-LoDensity	DMSO
217768	G03	11272	217768	BZ017	217768	20191122-20191119-LoDensity	bortezomib
217768	G04	16666	217768	WT002	217768	20191122-20191119-LoDensity	bortezomib
217768	G05	13204	217768	WT008	217768	20191122-20191119-LoDensity	bortezomib
217768	G06	11379	217768	WT009	217768	20191122-20191119-LoDensity	bortezomib
217768	G07	5833	217768	BZ018	217768	20191122-20191119-LoDensity	bortezomib
217768	G08	8195	217768	WT_parental	217768	20191122-20191119-LoDensity	bortezomib
217768	G09	8351	217768	WT011	217768	20191122-20191119-LoDensity	bortezomib
217768	G10	9095	217768	BZ001	217768	20191122-20191119-LoDensity	bortezomib
217768	G11	13031	217768	BZ008	217768	20191122-20191119-LoDensity	bortezomib
