Metadata_Plate	Metadata_Well	Metadata_Site	cell_count	Metadata_plate_map_name	Metadata_CellLine	Metadata_Dosage
HCT116bortezomib	B03	1	1828	PlateMap_HCT116bortezomib	WT	0.0
HCT116bortezomib	B03	2	1856	PlateMap_HCT116bortezomib	WT	0.0
HCT116bortezomib	B03	3	1815	PlateMap_HCT116bortezomib	WT	0.0
HCT116bortezomib	B03	4	1906	PlateMap_HCT116bortezomib	WT	0.0
HCT116bortezomib	B03	5	1811	PlateMap_HCT116bortezomib	WT	0.0
HCT116bortezomib	B03	6	1837	PlateMap_HCT116bortezomib	WT	0.0
HCT116bortezomib	B03	7	1820	PlateMap_HCT116bortezomib	WT	0.0
HCT116bortezomib	B03	8	1839	PlateMap_HCT116bortezomib	WT	0.0
HCT116bortezomib	B03	9	1796	PlateMap_HCT116bortezomib	WT	0.0
HCT116bortezomib	B04	1	1818	PlateMap_HCT116bortezomib	WT	0.0
HCT116bortezomib	B04	2	1541	PlateMap_HCT116bortezomib	WT	0.0
HCT116bortezomib	B04	3	1720	PlateMap_HCT116bortezomib	WT	0.0
HCT116bortezomib	B04	4	1993	PlateMap_HCT116bortezomib	WT	0.0
HCT116bortezomib	B04	5	1877	PlateMap_HCT116bortezomib	WT	0.0
HCT116bortezomib	B04	6	1641	PlateMap_HCT116bortezomib	WT	0.0
HCT116bortezomib	B04	7	1741	PlateMap_HCT116bortezomib	WT	0.0
HCT116bortezomib	B04	8	1634	PlateMap_HCT116bortezomib	WT	0.0
HCT116bortezomib	B04	9	1571	PlateMap_HCT116bortezomib	WT	0.0
HCT116bortezomib	B05	1	1555	PlateMap_HCT116bortezomib	WT	0.0
HCT116bortezomib	B05	2	1610	PlateMap_HCT116bortezomib	WT	0.0
HCT116bortezomib	B05	3	1633	PlateMap_HCT116bortezomib	WT	0.0
HCT116bortezomib	B05	4	1333	PlateMap_HCT116bortezomib	WT	0.0
HCT116bortezomib	B05	5	1455	PlateMap_HCT116bortezomib	WT	0.0
HCT116bortezomib	B05	6	1611	PlateMap_HCT116bortezomib	WT	0.0
HCT116bortezomib	B05	7	1408	PlateMap_HCT116bortezomib	WT	0.0
HCT116bortezomib	B05	8	1592	PlateMap_HCT116bortezomib	WT	0.0
HCT116bortezomib	B05	9	1772	PlateMap_HCT116bortezomib	WT	0.0
HCT116bortezomib	B06	1	1685	PlateMap_HCT116bortezomib	CloneA	0.0
HCT116bortezomib	B06	2	1612	PlateMap_HCT116bortezomib	CloneA	0.0
HCT116bortezomib	B06	3	1436	PlateMap_HCT116bortezomib	CloneA	0.0
HCT116bortezomib	B06	4	1587	PlateMap_HCT116bortezomib	CloneA	0.0
HCT116bortezomib	B06	5	1364	PlateMap_HCT116bortezomib	CloneA	0.0
HCT116bortezomib	B06	6	1329	PlateMap_HCT116bortezomib	CloneA	0.0
HCT116bortezomib	B06	7	1492	PlateMap_HCT116bortezomib	CloneA	0.0
HCT116bortezomib	B06	8	1356	PlateMap_HCT116bortezomib	CloneA	0.0
HCT116bortezomib	B06	9	1240	PlateMap_HCT116bortezomib	CloneA	0.0
HCT116bortezomib	B07	1	1603	PlateMap_HCT116bortezomib	CloneA	0.0
HCT116bortezomib	B07	2	1684	PlateMap_HCT116bortezomib	CloneA	0.0
HCT116bortezomib	B07	3	1722	PlateMap_HCT116bortezomib	CloneA	0.0
HCT116bortezomib	B07	4	1498	PlateMap_HCT116bortezomib	CloneA	0.0
HCT116bortezomib	B07	5	1611	PlateMap_HCT116bortezomib	CloneA	0.0
HCT116bortezomib	B07	6	1557	PlateMap_HCT116bortezomib	CloneA	0.0
HCT116bortezomib	B07	7	1328	PlateMap_HCT116bortezomib	CloneA	0.0
HCT116bortezomib	B07	8	1468	PlateMap_HCT116bortezomib	CloneA	0.0
HCT116bortezomib	B07	9	1396	PlateMap_HCT116bortezomib	CloneA	0.0
HCT116bortezomib	B08	1	1427	PlateMap_HCT116bortezomib	CloneA	0.0
HCT116bortezomib	B08	2	1250	PlateMap_HCT116bortezomib	CloneA	0.0
HCT116bortezomib	B08	3	1427	PlateMap_HCT116bortezomib	CloneA	0.0
HCT116bortezomib	B08	4	1361	PlateMap_HCT116bortezomib	CloneA	0.0
HCT116bortezomib	B08	5	1512	PlateMap_HCT116bortezomib	CloneA	0.0
HCT116bortezomib	B08	6	1391	PlateMap_HCT116bortezomib	CloneA	0.0
HCT116bortezomib	B08	7	1295	PlateMap_HCT116bortezomib	CloneA	0.0
HCT116bortezomib	B08	8	1413	PlateMap_HCT116bortezomib	CloneA	0.0
HCT116bortezomib	B08	9	1319	PlateMap_HCT116bortezomib	CloneA	0.0
HCT116bortezomib	B09	1	1401	PlateMap_HCT116bortezomib	CloneE	0.0
HCT116bortezomib	B09	2	1337	PlateMap_HCT116bortezomib	CloneE	0.0
