Metadata_clone_number	replicate	correlation
WT001	False	-0.040573917391370846
WT001	True	-0.030089938658283782
WT002	False	0.007006491685962584
WT002	True	0.8829241834866488
WT003	False	-0.010899837276902543
WT003	True	0.7398913942683338
WT004	False	0.026245878979776118
WT004	True	0.3363023389758449
WT005	False	0.005268251437234058
WT005	True	0.7052964294060958
WT006	False	-0.014397014960938894
WT006	True	-0.01039648128536793
WT007	False	0.28341680922731066
WT007	True	0.8556233143984543
WT008	False	-0.06531704794389101
WT008	True	0.8065295696010382
WT009	False	0.0241365941261866
WT009	True	0.6427296705369048
WT010	False	-0.028100448971538898
WT010	True	-0.06371889853372839
WT011	False	-0.07259629825250807
WT011	True	0.5869198964969877
WT012	False	-0.013174000064282486
WT012	True	0.3017226831399171
WT013	False	-0.03269037158233372
WT013	True	-0.033131921522000056
WT014	False	0.9830414456574801
WT014	True	0.9847453322365842
WT015	True	0.08753925440873762
WT_parental	False	0.04241591737133843
WT_parental	True	0.9991393241784076
