column_match_pair_a,Metadata_CellLine_pair_a,Metadata_Dosage_pair_a,row_match,pairwise_correlation,column_match_pair_b,Metadata_CellLine_pair_b,Metadata_Dosage_pair_b
1,WT,0.0,0,0.8906613202273029,0,WT,0.0
2,WT,0.0,0,0.7118062511108085,0,WT,0.0
3,CloneA,0.0,0,0.5174819712038803,0,WT,0.0
4,CloneA,0.0,0,0.4936521678950549,0,WT,0.0
5,CloneA,0.0,0,0.11230929799315914,0,WT,0.0
6,CloneE,0.0,0,0.09308363164457226,0,WT,0.0
7,CloneE,0.0,0,-0.09378559679813454,0,WT,0.0
8,CloneE,0.0,0,-0.036388313851413355,0,WT,0.0
9,WT,0.7,0,0.7597186918207087,0,WT,0.0
10,WT,0.7,0,0.7120565417125734,0,WT,0.0
11,WT,0.7,0,0.3629284035312204,0,WT,0.0
12,CloneA,0.7,0,0.736722010738112,0,WT,0.0
13,CloneA,0.7,0,0.5613073825398948,0,WT,0.0
14,CloneA,0.7,0,-0.3562421905688009,0,WT,0.0
15,CloneE,0.7,0,0.07871247910392191,0,WT,0.0
16,CloneE,0.7,0,0.40148219086272546,0,WT,0.0
17,CloneE,0.7,0,-0.05506263742174829,0,WT,0.0
18,WT,7.0,0,0.03924039730598058,0,WT,0.0
19,WT,7.0,0,-0.057821806585755406,0,WT,0.0
20,WT,7.0,0,-0.05893648202950823,0,WT,0.0
21,CloneA,7.0,0,-0.3454540300423704,0,WT,0.0
22,CloneA,7.0,0,-0.39457766129340954,0,WT,0.0
23,CloneA,7.0,0,-0.49913596407909544,0,WT,0.0
24,CloneE,7.0,0,-0.48258040760765447,0,WT,0.0
25,CloneE,7.0,0,-0.4333055668885972,0,WT,0.0
26,CloneE,7.0,0,-0.3597818409402362,0,WT,0.0
27,WT,70.0,0,-0.22470670627751374,0,WT,0.0
28,WT,70.0,0,-0.13547580586573904,0,WT,0.0
29,WT,70.0,0,-0.3374824161546773,0,WT,0.0
30,CloneA,70.0,0,-0.44416930718897424,0,WT,0.0
31,CloneA,70.0,0,-0.2811157462369672,0,WT,0.0
32,CloneA,70.0,0,-0.44480075570448513,0,WT,0.0
33,CloneE,70.0,0,-0.3940238579049508,0,WT,0.0
34,CloneE,70.0,0,-0.43898677145456955,0,WT,0.0
