Metadata_Plate	Metadata_Well	Metadata_batch	Metadata_cell_count	Metadata_cell_density	Metadata_celltype_shorthand_from_plate_graph	Metadata_clone_number	Metadata_date	Metadata_plate_map_name	Metadata_time_to_adhere	Metadata_treatment	Metadata_treatment_shorthand_from_plate_graph	Metadata_treatment_time	Metadata_dataset	Metadata_clone_type	Metadata_clone_type_indicator	Metadata_model_split	Metadata_unique_sample_name	TotalScore	TotalDispersion	UpScore	UpDispersion	DownScore	DownDispersion	Metadata_permuted_p_value	dataset	min_permuted_value	max_permuted_value
221057	B05	2021_08_02_Batch24	1814	2.5x10^3 cells/well	4	WT clone 10	20210728	221057	48 hr	0.1% DMSO	1	13 hr	WT	resistant	1	otherclone	profile_3_WT	0.29962556485106395	446.2626	0.21670386904761907	170.499	0.08292169580344488	275.7636	0.001	otherclones	-0.15444014515464277	0.15901288880890507
221057	B06	2021_08_02_Batch24	5481	2.5x10^3 cells/well	5	WT clone 12	20210728	221057	48 hr	0.1% DMSO	1	13 hr	WT	resistant	1	otherclone	profile_4_WT	-0.3962962258079856	266.12669999999997	-0.2885044642857143	135.65789999999998	-0.10779176152227132	130.4688	1	otherclones	-0.15444014515464277	0.15901288880890507
221057	B10	2021_08_02_Batch24	1925	2.5x10^3 cells/well	4	WT clone 10	20210728	221057	48 hr	0.1% DMSO	1	13 hr	WT	resistant	1	otherclone	profile_8_WT	0.13228339955967572	522.6165	0.13178943452380953	255.74849999999998	4.93965035866184e-4	266.868	0.096	otherclones	-0.15444014515464277	0.15901288880890507
221057	B11	2021_08_02_Batch24	3910	2.5x10^3 cells/well	5	WT clone 12	20210728	221057	48 hr	0.1% DMSO	1	13 hr	WT	resistant	1	otherclone	profile_9_WT	-0.21832794369412217	334.32629999999995	-0.10714285714285715	186.06629999999998	-0.11118508655126502	148.26	0.992	otherclones	-0.15444014515464277	0.15901288880890507
221057	C02	2021_08_02_Batch24	2230	2.5x10^3 cells/well	10	BZ007	20210728	221057	48 hr	0.1% DMSO	1	13 hr	WT	resistant	1	otherclone	profile_10_WT	0.280254088059239	309.1221	0.1936383928571428	166.7925	0.08661569520209622	142.3296	0.002	otherclones	-0.15444014515464277	0.15901288880890507
221057	C03	2021_08_02_Batch24	3910	2.5x10^3 cells/well	9	BZ006	20210728	221057	48 hr	0.1% DMSO	1	13 hr	WT	resistant	1	otherclone	profile_11_WT	-0.3509619063023496	325.4307	-0.150390625	175.6881	-0.20057128130234958	149.74259999999998	0.999	otherclones	-0.15444014515464277	0.15901288880890507
221057	C04	2021_08_02_Batch24	3026	2.5x10^3 cells/well	8	WT clone 15	20210728	221057	48 hr	0.1% DMSO	1	13 hr	WT	resistant	1	otherclone	profile_12_WT	0.34275103593314393	532.9947	0.23865327380952384	163.82729999999998	0.1040977621236201	369.1674	0.001	otherclones	-0.15444014515464277	0.15901288880890507
221057	C05	2021_08_02_Batch24	3129	2.5x10^3 cells/well	7	WT clone 14	20210728	221057	48 hr	0.1% DMSO	1	13 hr	WT	resistant	1	otherclone	profile_13_WT	-0.25716921249138375	392.889	-0.11179315476190471	126.02099999999999	-0.14537605772947904	266.868	0.996	otherclones	-0.15444014515464277	0.15901288880890507
221057	C06	2021_08_02_Batch24	4511	2.5x10^3 cells/well	6	WT clone 13	20210728	221057	48 hr	0.1% DMSO	1	13 hr	WT	resistant	1	otherclone	profile_14_WT	-0.47452961623365464	256.48979999999995	-0.2650669642857143	120.0906	-0.20946265194794034	136.39919999999998	1	otherclones	-0.15444014515464277	0.15901288880890507
221057	C07	2021_08_02_Batch24	2482	2.5x10^3 cells/well	10	BZ007	20210728	221057	48 hr	0.1% DMSO	1	13 hr	WT	resistant	1	otherclone	profile_15_WT	0.21665831886210107	289.8483	0.1651785714285715	120.83189999999999	0.051479747433529566	169.0164	0.014	otherclones	-0.15444014515464277	0.15901288880890507
