,Metadata_Plate,Metadata_Well,Metadata_batch,Metadata_cell_count,Metadata_cell_density,Metadata_celltype_shorthand_from_plate_graph,Metadata_clone_number,Metadata_date,Metadata_plate_map_name,Metadata_time_to_adhere,Metadata_treatment,Metadata_treatment_shorthand_from_plate_graph,Metadata_treatment_time,Metadata_dataset,Metadata_clone_type,Metadata_clone_type_indicator,Metadata_model_split,Metadata_unique_sample_name,TotalScore,TotalDispersion,UpScore,UpDispersion,DownScore,DownDispersion,Metadata_permuted_p_value,dataset,min_permuted_value,max_permuted_value
1,221057,B02,2021_08_02_Batch24,4574,2.5x10^3 cells/well,1,WT_parental,20210728,221057,48 hr,0.1% DMSO,1,13 hr,2021_08_02_Batch24,sensitive,0,otherclone,profile_0_2021_08_02_Batch24,-0.576463964,215.7183,-0.345052083,79.3191,-0.231411881,136.3992,1,otherclones,-0.156305885,0.156652933
2,221057,B03,2021_08_02_Batch24,3444,2.5x10^3 cells/well,2,CloneA,20210728,221057,48 hr,0.1% DMSO,1,13 hr,2021_08_02_Batch24,resistant,1,otherclone,profile_1_2021_08_02_Batch24,0.238275525,480.3624,0.091610863,210.5292,0.146664662,269.8332,0.005,otherclones,-0.156305885,0.156652933
3,221057,B04,2021_08_02_Batch24,3725,2.5x10^3 cells/well,3,CloneE,20210728,221057,48 hr,0.1% DMSO,1,13 hr,2021_08_02_Batch24,resistant,1,otherclone,profile_2_2021_08_02_Batch24,0.26171213,332.8437,0.09421503,166.7925,0.167497101,166.0512,0.003,otherclones,-0.156305885,0.156652933
4,221057,B05,2021_08_02_Batch24,1814,2.5x10^3 cells/well,4,WT clone 10,20210728,221057,48 hr,0.1% DMSO,1,13 hr,2021_08_02_Batch24,sensitive,0,otherclone,profile_3_2021_08_02_Batch24,0.299625565,446.2626,0.216703869,170.499,0.082921696,275.7636,0.001,otherclones,-0.156305885,0.156652933
5,221057,B06,2021_08_02_Batch24,5481,2.5x10^3 cells/well,5,WT clone 12,20210728,221057,48 hr,0.1% DMSO,1,13 hr,2021_08_02_Batch24,sensitive,0,otherclone,profile_4_2021_08_02_Batch24,-0.396296226,266.1267,-0.288504464,135.6579,-0.107791762,130.4688,1,otherclones,-0.156305885,0.156652933
6,221057,B07,2021_08_02_Batch24,3692,2.5x10^3 cells/well,1,WT_parental,20210728,221057,48 hr,0.1% DMSO,1,13 hr,2021_08_02_Batch24,sensitive,0,otherclone,profile_5_2021_08_02_Batch24,-0.193402792,542.6316,-0.114862351,302.4504,-0.078540441,240.1812,0.972,otherclones,-0.156305885,0.156652933
7,221057,B08,2021_08_02_Batch24,2971,2.5x10^3 cells/well,2,CloneA,20210728,221057,48 hr,0.1% DMSO,1,13 hr,2021_08_02_Batch24,resistant,1,otherclone,profile_6_2021_08_02_Batch24,0.310086196,350.6349,0.103329613,212.7531,0.206756583,137.8818,0.001,otherclones,-0.156305885,0.156652933
8,221057,B09,2021_08_02_Batch24,4027,2.5x10^3 cells/well,3,CloneE,20210728,221057,48 hr,0.1% DMSO,1,13 hr,2021_08_02_Batch24,resistant,1,otherclone,profile_7_2021_08_02_Batch24,0.226276419,382.5108,0.026134673,206.0814,0.200141746,176.4294,0.008,otherclones,-0.156305885,0.156652933
9,221057,B10,2021_08_02_Batch24,1925,2.5x10^3 cells/well,4,WT clone 10,20210728,221057,48 hr,0.1% DMSO,1,13 hr,2021_08_02_Batch24,sensitive,0,otherclone,profile_8_2021_08_02_Batch24,0.1322834,522.6165,0.131789435,255.7485,0.000493965,266.868,0.096,otherclones,-0.156305885,0.156652933
10,221057,B11,2021_08_02_Batch24,3910,2.5x10^3 cells/well,5,WT clone 12,20210728,221057,48 hr,0.1% DMSO,1,13 hr,2021_08_02_Batch24,sensitive,0,otherclone,profile_9_2021_08_02_Batch24,-0.218327944,334.3263,-0.107142857,186.0663,-0.111185087,148.26,0.992,otherclones,-0.156305885,0.156652933
