"","Metadata_Plate","Metadata_Well","Metadata_batch","Metadata_cell_count","Metadata_cell_density","Metadata_celltype_shorthand_from_plate_graph","Metadata_clone_number","Metadata_date","Metadata_plate_map_name","Metadata_time_to_adhere","Metadata_treatment","Metadata_treatment_shorthand_from_plate_graph","Metadata_treatment_time","Metadata_dataset","Metadata_clone_type","Metadata_clone_type_indicator","Metadata_model_split","Metadata_unique_sample_name","TotalScore","TotalDispersion","UpScore","UpDispersion","DownScore","DownDispersion","Metadata_permuted_p_value","dataset","min_permuted_value","max_permuted_value"
"1",221057,"B02","2021_08_02_Batch24",4574,"2.5x10^3 cells/well",1,"WT_parental",20210728,221057,"48 hr","0.1% DMSO",1,"13 hr","2021_08_02_Batch24","sensitive",0,"otherclone","profile_0_2021_08_02_Batch24",-0.576463964266283,215.7183,-0.345052083333333,79.3191,-0.23141188093295,136.3992,1,"otherclones",-0.156305885267736,0.15665293257863
"2",221057,"B03","2021_08_02_Batch24",3444,"2.5x10^3 cells/well",2,"CloneA",20210728,221057,"48 hr","0.1% DMSO",1,"13 hr","2021_08_02_Batch24","resistant",1,"otherclone","profile_1_2021_08_02_Batch24",0.238275525266107,480.3624,0.091610863095238,210.5292,0.146664662170869,269.8332,0.005,"otherclones",-0.156305885267736,0.15665293257863
"3",221057,"B04","2021_08_02_Batch24",3725,"2.5x10^3 cells/well",3,"CloneE",20210728,221057,"48 hr","0.1% DMSO",1,"13 hr","2021_08_02_Batch24","resistant",1,"otherclone","profile_2_2021_08_02_Batch24",0.261712130401912,332.8437,0.0942150297619048,166.7925,0.167497100640007,166.0512,0.003,"otherclones",-0.156305885267736,0.15665293257863
"4",221057,"B05","2021_08_02_Batch24",1814,"2.5x10^3 cells/well",4,"WT clone 10",20210728,221057,"48 hr","0.1% DMSO",1,"13 hr","2021_08_02_Batch24","sensitive",0,"otherclone","profile_3_2021_08_02_Batch24",0.299625564851064,446.2626,0.216703869047619,170.499,0.0829216958034449,275.7636,0.001,"otherclones",-0.156305885267736,0.15665293257863
"5",221057,"B06","2021_08_02_Batch24",5481,"2.5x10^3 cells/well",5,"WT clone 12",20210728,221057,"48 hr","0.1% DMSO",1,"13 hr","2021_08_02_Batch24","sensitive",0,"otherclone","profile_4_2021_08_02_Batch24",-0.396296225807986,266.1267,-0.288504464285714,135.6579,-0.107791761522271,130.4688,1,"otherclones",-0.156305885267736,0.15665293257863
"6",221057,"B07","2021_08_02_Batch24",3692,"2.5x10^3 cells/well",1,"WT_parental",20210728,221057,"48 hr","0.1% DMSO",1,"13 hr","2021_08_02_Batch24","sensitive",0,"otherclone","profile_5_2021_08_02_Batch24",-0.193402791893195,542.6316,-0.114862351190476,302.4504,-0.0785404407027189,240.1812,0.972,"otherclones",-0.156305885267736,0.15665293257863
"7",221057,"B08","2021_08_02_Batch24",2971,"2.5x10^3 cells/well",2,"CloneA",20210728,221057,"48 hr","0.1% DMSO",1,"13 hr","2021_08_02_Batch24","resistant",1,"otherclone","profile_6_2021_08_02_Batch24",0.310086195716259,350.6349,0.103329613095238,212.7531,0.206756582621021,137.8818,0.001,"otherclones",-0.156305885267736,0.15665293257863
"8",221057,"B09","2021_08_02_Batch24",4027,"2.5x10^3 cells/well",3,"CloneE",20210728,221057,"48 hr","0.1% DMSO",1,"13 hr","2021_08_02_Batch24","resistant",1,"otherclone","profile_7_2021_08_02_Batch24",0.2262764191076,382.5108,0.0261346726190476,206.0814,0.200141746488553,176.4294,0.008,"otherclones",-0.156305885267736,0.15665293257863
"9",221057,"B10","2021_08_02_Batch24",1925,"2.5x10^3 cells/well",4,"WT clone 10",20210728,221057,"48 hr","0.1% DMSO",1,"13 hr","2021_08_02_Batch24","sensitive",0,"otherclone","profile_8_2021_08_02_Batch24",0.132283399559676,522.6165,0.13178943452381,255.7485,0.000493965035866184,266.868,0.096,"otherclones",-0.156305885267736,0.15665293257863
"10",221057,"B11","2021_08_02_Batch24",3910,"2.5x10^3 cells/well",5,"WT clone 12",20210728,221057,"48 hr","0.1% DMSO",1,"13 hr","2021_08_02_Batch24","sensitive",0,"otherclone","profile_9_2021_08_02_Batch24",-0.218327943694122,334.3263,-0.107142857142857,186.0663,-0.111185086551265,148.26,0.992,"otherclones",-0.156305885267736,0.15665293257863
"11",221057,"C02","2021_08_02_Batch24",2230,"2.5x10^3 cells/well",10,"BZ007",20210728,221057,"48 hr","0.1% DMSO",1,"13 hr","2021_08_02_Batch24","resistant",1,"otherclone","profile_10_2021_08_02_Batch24",0.280254088059239,309.1221,0.193638392857143,166.7925,0.0866156952020962,142.3296,0.002,"otherclones",-0.156305885267736,0.15665293257863
"12",221057,"C03","2021_08_02_Batch24",3910,"2.5x10^3 cells/well",9,"BZ006",20210728,221057,"48 hr","0.1% DMSO",1,"13 hr","2021_08_02_Batch24","resistant",1,"otherclone","profile_11_2021_08_02_Batch24",-0.35096190630235,325.4307,-0.150390625,175.6881,-0.20057128130235,149.7426,0.999,"otherclones",-0.156305885267736,0.15665293257863
"13",221057,"C04","2021_08_02_Batch24",3026,"2.5x10^3 cells/well",8,"WT clone 15",20210728,221057,"48 hr","0.1% DMSO",1,"13 hr","2021_08_02_Batch24","sensitive",0,"otherclone","profile_12_2021_08_02_Batch24",0.342751035933144,532.9947,0.238653273809524,163.8273,0.10409776212362,369.1674,0.001,"otherclones",-0.156305885267736,0.15665293257863
"14",221057,"C05","2021_08_02_Batch24",3129,"2.5x10^3 cells/well",7,"WT clone 14",20210728,221057,"48 hr","0.1% DMSO",1,"13 hr","2021_08_02_Batch24","sensitive",0,"otherclone","profile_13_2021_08_02_Batch24",-0.257169212491384,392.889,-0.111793154761905,126.021,-0.145376057729479,266.868,0.996,"otherclones",-0.156305885267736,0.15665293257863
"15",221057,"C06","2021_08_02_Batch24",4511,"2.5x10^3 cells/well",6,"WT clone 13",20210728,221057,"48 hr","0.1% DMSO",1,"13 hr","2021_08_02_Batch24","sensitive",0,"otherclone","profile_14_2021_08_02_Batch24",-0.474529616233655,256.4898,-0.265066964285714,120.0906,-0.20946265194794,136.3992,1,"otherclones",-0.156305885267736,0.15665293257863
"16",221057,"C07","2021_08_02_Batch24",2482,"2.5x10^3 cells/well",10,"BZ007",20210728,221057,"48 hr","0.1% DMSO",1,"13 hr","2021_08_02_Batch24","resistant",1,"otherclone","profile_15_2021_08_02_Batch24",0.216658318862101,289.8483,0.165178571428572,120.8319,0.0514797474335296,169.0164,0.014,"otherclones",-0.156305885267736,0.15665293257863
"17",221057,"C08","2021_08_02_Batch24",3153,"2.5x10^3 cells/well",9,"BZ006",20210728,221057,"48 hr","0.1% DMSO",1,"13 hr","2021_08_02_Batch24","resistant",1,"otherclone","profile_16_2021_08_02_Batch24",-0.374726503135348,305.4156,-0.155040922619048,189.7728,-0.219685580516301,115.6428,0.999,"otherclones",-0.156305885267736,0.15665293257863
"18",221057,"C09","2021_08_02_Batch24",4373,"2.5x10^3 cells/well",8,"WT clone 15",20210728,221057,"48 hr","0.1% DMSO",1,"13 hr","2021_08_02_Batch24","sensitive",0,"otherclone","profile_17_2021_08_02_Batch24",0.285910744359543,428.4714,0.158575148809524,179.3946,0.127335595550019,249.0768,0.002,"otherclones",-0.156305885267736,0.15665293257863
"19",221057,"C10","2021_08_02_Batch24",4396,"2.5x10^3 cells/well",7,"WT clone 14",20210728,221057,"48 hr","0.1% DMSO",1,"13 hr","2021_08_02_Batch24","sensitive",0,"otherclone","profile_18_2021_08_02_Batch24",-0.420094979287729,357.3066,-0.240141369047619,126.021,-0.17995361024011,231.2856,1,"otherclones",-0.156305885267736,0.15665293257863
