column_match_pair_a,Metadata_clone_number_pair_a,Metadata_treatment_pair_a,row_match,pairwise_correlation,column_match_pair_b,Metadata_clone_number_pair_b,Metadata_treatment_pair_b
1,WT002,DMSO,0,0.5884836157701709,0,BZ017,DMSO
2,WT008,DMSO,0,0.4341179837205217,0,BZ017,DMSO
3,WT009,DMSO,0,0.326786195955442,0,BZ017,DMSO
4,BZ018,DMSO,0,0.47269828556455795,0,BZ017,DMSO
5,WT011,DMSO,0,0.19785790601279682,0,BZ017,DMSO
6,BZ001,DMSO,0,0.38760333962072696,0,BZ017,DMSO
7,BZ008,DMSO,0,0.011956484502015046,0,BZ017,DMSO
8,WT_parental,DMSO,0,0.3237432883965006,0,BZ017,DMSO
9,WT_parental,DMSO,0,0.19562682231761555,0,BZ017,DMSO
10,BZ017,DMSO,0,0.7450113697272357,0,BZ017,DMSO
11,BZ008,DMSO,0,0.012480564778894884,0,BZ017,DMSO
12,BZ001,DMSO,0,0.3024828554605192,0,BZ017,DMSO
13,WT011,DMSO,0,0.09775353106795781,0,BZ017,DMSO
14,BZ018,DMSO,0,0.23345841100526057,0,BZ017,DMSO
15,WT009,DMSO,0,-0.05990012563360867,0,BZ017,DMSO
16,WT008,DMSO,0,-0.038913358394872366,0,BZ017,DMSO
17,WT002,DMSO,0,0.09295778002313214,0,BZ017,DMSO
18,WT_parental,DMSO,0,0.09364100634653379,0,BZ017,DMSO
19,WT_parental,DMSO,0,0.19098114842971253,0,BZ017,DMSO
20,BZ017,DMSO,0,0.777991329215533,0,BZ017,DMSO
21,WT002,DMSO,0,0.45800935255453984,0,BZ017,DMSO
22,WT008,DMSO,0,0.26435588989054276,0,BZ017,DMSO
23,WT009,DMSO,0,0.10477010611234219,0,BZ017,DMSO
24,BZ018,DMSO,0,-0.05321720047647382,0,BZ017,DMSO
25,WT011,DMSO,0,-0.1422832194173267,0,BZ017,DMSO
26,BZ001,DMSO,0,-0.0009738428858549402,0,BZ017,DMSO
27,BZ008,DMSO,0,-0.26798206086839654,0,BZ017,DMSO
28,WT_parental,DMSO,0,0.15304859410436333,0,BZ017,DMSO
29,WT_parental,DMSO,0,0.17038008809812907,0,BZ017,DMSO
30,WT_parental,DMSO,0,0.5625921724051806,0,BZ017,DMSO
31,BZ017,bortezomib,0,0.1232951839005575,0,BZ017,DMSO
32,WT002,bortezomib,0,-0.0970314640793469,0,BZ017,DMSO
33,WT008,bortezomib,0,-0.4847092469480805,0,BZ017,DMSO
34,WT009,bortezomib,0,-0.39743363224940176,0,BZ017,DMSO
35,BZ018,bortezomib,0,-0.3004658632240012,0,BZ017,DMSO
36,WT011,bortezomib,0,-0.32299353207799536,0,BZ017,DMSO
37,BZ001,bortezomib,0,-0.37959688439775846,0,BZ017,DMSO
38,BZ008,bortezomib,0,-0.4447273655407103,0,BZ017,DMSO
39,WT_parental,bortezomib,0,-0.3203236506181859,0,BZ017,DMSO
40,WT_parental,DMSO,0,0.5373645092300651,0,BZ017,DMSO
41,BZ017,bortezomib,0,0.2063048889161085,0,BZ017,DMSO
42,BZ008,bortezomib,0,-0.20341063459559086,0,BZ017,DMSO
43,BZ001,bortezomib,0,-0.2459342142997308,0,BZ017,DMSO
44,WT011,bortezomib,0,-0.30942480762785557,0,BZ017,DMSO
45,BZ018,bortezomib,0,-0.2846366754918173,0,BZ017,DMSO
46,WT009,bortezomib,0,-0.4016311727744157,0,BZ017,DMSO
47,WT008,bortezomib,0,-0.39966087649179843,0,BZ017,DMSO
48,WT002,bortezomib,0,-0.2255583556106501,0,BZ017,DMSO
49,WT_parental,bortezomib,0,-0.2524528446533791,0,BZ017,DMSO
50,WT_parental,DMSO,0,0.3570349781301187,0,BZ017,DMSO
51,BZ017,bortezomib,0,0.22729699394219618,0,BZ017,DMSO
52,WT002,bortezomib,0,-0.1311841878680129,0,BZ017,DMSO
53,WT008,bortezomib,0,-0.4875208909457706,0,BZ017,DMSO
54,WT009,bortezomib,0,-0.35033667965246007,0,BZ017,DMSO
55,BZ018,bortezomib,0,-0.12321326829484974,0,BZ017,DMSO
56,WT011,bortezomib,0,-0.3773200795758362,0,BZ017,DMSO
57,BZ001,bortezomib,0,-0.2202120817508017,0,BZ017,DMSO
58,BZ008,bortezomib,0,-0.3540467657407662,0,BZ017,DMSO
59,WT_parental,bortezomib,0,-0.2556986181058601,0,BZ017,DMSO
2,WT008,DMSO,1,0.4898347371501457,1,WT002,DMSO
3,WT009,DMSO,1,0.18090955396754746,1,WT002,DMSO
4,BZ018,DMSO,1,0.41867725527293637,1,WT002,DMSO
5,WT011,DMSO,1,0.2830688417848604,1,WT002,DMSO
6,BZ001,DMSO,1,0.2826584956280177,1,WT002,DMSO
7,BZ008,DMSO,1,-0.10532404698653454,1,WT002,DMSO
8,WT_parental,DMSO,1,0.7648604466049432,1,WT002,DMSO
9,WT_parental,DMSO,1,0.5628995687211725,1,WT002,DMSO
10,BZ017,DMSO,1,0.5150473196476247,1,WT002,DMSO
11,BZ008,DMSO,1,-0.2081471032489482,1,WT002,DMSO
12,BZ001,DMSO,1,-0.09774288400983411,1,WT002,DMSO
13,WT011,DMSO,1,-0.01838470886240907,1,WT002,DMSO
14,BZ018,DMSO,1,-0.07270269969449204,1,WT002,DMSO
15,WT009,DMSO,1,-0.34826614054708593,1,WT002,DMSO
16,WT008,DMSO,1,-0.10137375416803682,1,WT002,DMSO
17,WT002,DMSO,1,0.4601729458489419,1,WT002,DMSO
18,WT_parental,DMSO,1,0.474686396126311,1,WT002,DMSO
19,WT_parental,DMSO,1,0.5500129842057009,1,WT002,DMSO
20,BZ017,DMSO,1,0.4483670219570341,1,WT002,DMSO
21,WT002,DMSO,1,0.6524595560088754,1,WT002,DMSO
22,WT008,DMSO,1,-0.04997188268063826,1,WT002,DMSO
23,WT009,DMSO,1,-0.21036676408034383,1,WT002,DMSO
24,BZ018,DMSO,1,-0.48318900254913577,1,WT002,DMSO
25,WT011,DMSO,1,-0.2922727622246237,1,WT002,DMSO
26,BZ001,DMSO,1,-0.3501338135935041,1,WT002,DMSO
27,BZ008,DMSO,1,-0.4099581220111007,1,WT002,DMSO
28,WT_parental,DMSO,1,0.35678313753243146,1,WT002,DMSO
29,WT_parental,DMSO,1,0.49755317929771214,1,WT002,DMSO
30,WT_parental,DMSO,1,0.6970082101180629,1,WT002,DMSO
