Metadata_clone_number	replicate	correlation
BZ001	False	-0.010724709647398422
BZ001	True	0.13275873810125022
BZ002	False	-0.0062642523073204075
BZ002	True	0.5622995152620935
BZ003	False	-0.02497286289623346
BZ003	True	0.7418248248786454
BZ004	False	-0.027169157129394567
BZ004	True	0.24754084394602788
BZ005	False	-0.009941723747199196
BZ005	True	0.4588143111147623
BZ006	False	-0.006147447810537376
BZ006	True	0.9999999010735373
BZ007	False	-0.00997895482424703
BZ007	True	0.9999618156251033
BZ008	False	-0.031262953504205784
BZ008	True	0.7215820242274271
BZ009	False	0.0038297103461079553
BZ009	True	0.46431770531518174
BZ010	False	0.011912864581654933
BZ010	True	0.08429408546267901
BZ011	False	-0.03789030753623509
BZ011	True	0.09809786145458925
BZ012	False	0.03135580376778629
BZ012	True	0.752963825633765
BZ013	False	0.032383803591065435
BZ013	True	0.17695297270081012
BZ014	False	0.017176387957901273
BZ014	True	0.9180197329748302
BZ015	False	0.21801688165967842
BZ015	True	0.6853222174908398
BZ016	False	0.010675759593852719
BZ016	True	0.3996271171320242
BZ017	False	0.168951878169733
BZ017	True	0.6373057924627811
BZ018	False	-0.030549331621610266
BZ018	True	0.8324389767527918
WT_parental	False	-0.026113339673647516
WT_parental	True	0.9999994795511022
