Metadata_Plate	Metadata_Well	n
MutClones	B02	9203
MutClones	B03	27543
MutClones	B04	8086
MutClones	B05	19640
MutClones	B06	20440
MutClones	B07	31643
MutClones	B08	31721
MutClones	B09	7544
MutClones	B10	14927
MutClones	B11	8916
MutClones	C02	8173
MutClones	C03	25225
MutClones	C04	6040
MutClones	C05	20051
MutClones	C06	20214
MutClones	C07	31587
MutClones	C08	37420
MutClones	C09	8879
MutClones	C10	16117
MutClones	C11	11910
MutClones	D02	8171
MutClones	D03	26721
MutClones	D04	6100
MutClones	D05	21753
MutClones	D06	22494
MutClones	D07	32617
MutClones	D08	35453
MutClones	D09	8537
MutClones	D10	15998
MutClones	D11	13297
MutClones	E02	26635
MutClones	E03	2273
MutClones	E04	13512
MutClones	E05	3872
MutClones	E06	11456
MutClones	E07	14306
MutClones	E08	6178
MutClones	E09	6070
MutClones	E10	34497
MutClones	F02	24614
MutClones	F03	2613
MutClones	F04	14386
MutClones	F05	4827
MutClones	F06	11715
MutClones	F07	17828
MutClones	F08	6538
MutClones	F09	6816
MutClones	F10	32945
MutClones	G02	23524
MutClones	G03	2334
MutClones	G04	13998
MutClones	G05	4189
MutClones	G06	12460
MutClones	G07	18145
MutClones	G08	7638
MutClones	G09	7373
MutClones	G10	38929
