features	non_status_significant_exclude	cell_count_exclude	non_specific_exclude	final_signature	dataset
Cells_AreaShape_Compactness	FALSE	FALSE	TRUE	FALSE	bortezomib
Cells_AreaShape_Eccentricity	FALSE	FALSE	TRUE	FALSE	bortezomib
Cells_AreaShape_MeanRadius	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_AreaShape_MedianRadius	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_AreaShape_Orientation	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_AreaShape_Zernike_0_0	FALSE	FALSE	TRUE	FALSE	bortezomib
Cells_AreaShape_Zernike_1_1	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_AreaShape_Zernike_2_0	FALSE	FALSE	TRUE	FALSE	bortezomib
Cells_AreaShape_Zernike_2_2	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_AreaShape_Zernike_3_1	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_AreaShape_Zernike_3_3	FALSE	FALSE	FALSE	TRUE	bortezomib
Cells_AreaShape_Zernike_4_2	FALSE	FALSE	FALSE	TRUE	bortezomib
Cells_AreaShape_Zernike_4_4	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_AreaShape_Zernike_5_1	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_AreaShape_Zernike_5_3	TRUE	FALSE	TRUE	FALSE	bortezomib
Cells_AreaShape_Zernike_5_5	FALSE	FALSE	TRUE	FALSE	bortezomib
Cells_AreaShape_Zernike_6_0	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_AreaShape_Zernike_6_2	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_AreaShape_Zernike_6_4	TRUE	FALSE	TRUE	FALSE	bortezomib
Cells_AreaShape_Zernike_6_6	TRUE	FALSE	TRUE	FALSE	bortezomib
Cells_AreaShape_Zernike_7_1	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_AreaShape_Zernike_7_3	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_AreaShape_Zernike_7_5	TRUE	FALSE	TRUE	FALSE	bortezomib
Cells_AreaShape_Zernike_8_0	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_AreaShape_Zernike_8_2	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_AreaShape_Zernike_8_4	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_AreaShape_Zernike_8_6	TRUE	FALSE	TRUE	FALSE	bortezomib
Cells_AreaShape_Zernike_8_8	TRUE	FALSE	TRUE	FALSE	bortezomib
Cells_AreaShape_Zernike_9_1	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_AreaShape_Zernike_9_3	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_AreaShape_Zernike_9_5	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_AreaShape_Zernike_9_7	TRUE	FALSE	TRUE	FALSE	bortezomib
Cells_AreaShape_Zernike_9_9	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_Correlation_Correlation_Mito_ER	TRUE	FALSE	TRUE	FALSE	bortezomib
Cells_Correlation_Costes_AGP_ER	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_Correlation_Costes_AGP_RNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_Correlation_K_AGP_DNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_Correlation_K_AGP_ER	TRUE	FALSE	TRUE	FALSE	bortezomib
Cells_Correlation_K_DNA_AGP	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_Correlation_K_DNA_Mito	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_Correlation_K_ER_AGP	TRUE	FALSE	TRUE	FALSE	bortezomib
Cells_Correlation_K_Mito_DNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_Correlation_K_RNA_DNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_Correlation_Overlap_DNA_AGP	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_Correlation_Overlap_DNA_ER	FALSE	FALSE	FALSE	TRUE	bortezomib
Cells_Correlation_Overlap_DNA_Mito	FALSE	FALSE	FALSE	TRUE	bortezomib
Cells_Correlation_Overlap_DNA_RNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_Correlation_Overlap_ER_AGP	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_Correlation_Overlap_Mito_AGP	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_Correlation_Overlap_Mito_RNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_Correlation_Overlap_RNA_AGP	TRUE	FALSE	TRUE	FALSE	bortezomib
Cells_Correlation_RWC_AGP_Mito	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_Correlation_RWC_Mito_DNA	TRUE	FALSE	FALSE	FALSE	bortezomib
Cells_Correlation_RWC_RNA_DNA	TRUE	FALSE	TRUE	FALSE	bortezomib
