column_match_pair_a,Metadata_clone_number_pair_a,Metadata_treatment_pair_a,row_match,pairwise_correlation,column_match_pair_b,Metadata_clone_number_pair_b,Metadata_treatment_pair_b
1,WT002,DMSO,0,0.2645453754733308,0,BZ017,DMSO
2,WT008,DMSO,0,0.2310732667841786,0,BZ017,DMSO
3,WT009,DMSO,0,0.37861420354745906,0,BZ017,DMSO
4,BZ018,DMSO,0,0.6573589997925732,0,BZ017,DMSO
5,WT011,DMSO,0,0.5331713985215982,0,BZ017,DMSO
6,BZ001,DMSO,0,0.3839841635466277,0,BZ017,DMSO
7,BZ008,DMSO,0,0.003641058197360515,0,BZ017,DMSO
8,WT_parental,DMSO,0,-0.3034884676405311,0,BZ017,DMSO
9,WT_parental,DMSO,0,-0.024693242705508222,0,BZ017,DMSO
10,BZ017,DMSO,0,0.8352151908853759,0,BZ017,DMSO
11,BZ008,DMSO,0,-0.2346633854714034,0,BZ017,DMSO
12,BZ001,DMSO,0,-0.20615805286512676,0,BZ017,DMSO
13,WT011,DMSO,0,0.17966203944360148,0,BZ017,DMSO
14,BZ018,DMSO,0,0.6737971533158713,0,BZ017,DMSO
15,WT009,DMSO,0,-0.14737650289036772,0,BZ017,DMSO
16,WT008,DMSO,0,0.005046203962828181,0,BZ017,DMSO
17,WT002,DMSO,0,0.0033691534730091693,0,BZ017,DMSO
18,WT_parental,DMSO,0,-0.6165133208163148,0,BZ017,DMSO
19,WT_parental,DMSO,0,-0.2472258247925698,0,BZ017,DMSO
20,BZ017,DMSO,0,0.8519442148628428,0,BZ017,DMSO
21,WT002,DMSO,0,0.08095554837962805,0,BZ017,DMSO
22,WT008,DMSO,0,0.33494376890099054,0,BZ017,DMSO
23,WT009,DMSO,0,-0.16679537148834886,0,BZ017,DMSO
24,BZ018,DMSO,0,0.6335112403190867,0,BZ017,DMSO
25,WT011,DMSO,0,-0.2761862875940319,0,BZ017,DMSO
26,BZ001,DMSO,0,-0.3171408913257113,0,BZ017,DMSO
27,BZ008,DMSO,0,-0.367656022576725,0,BZ017,DMSO
28,WT_parental,DMSO,0,-0.4681710787756601,0,BZ017,DMSO
29,WT_parental,DMSO,0,-0.25227272701199677,0,BZ017,DMSO
30,WT_parental,DMSO,0,-0.028936191108460903,0,BZ017,DMSO
31,BZ017,bortezomib,0,0.3429067289040471,0,BZ017,DMSO
32,WT002,bortezomib,0,-0.2932216416180628,0,BZ017,DMSO
33,WT008,bortezomib,0,-0.2531442382613435,0,BZ017,DMSO
34,WT009,bortezomib,0,-0.3090735762067214,0,BZ017,DMSO
35,WT011,bortezomib,0,-0.21715943743741353,0,BZ017,DMSO
36,BZ001,bortezomib,0,-0.4328677032277752,0,BZ017,DMSO
37,BZ008,bortezomib,0,-0.6113139763565799,0,BZ017,DMSO
38,BZ018,bortezomib,0,0.26717238531673987,0,BZ017,DMSO
39,WT_parental,bortezomib,0,-0.4703324604095354,0,BZ017,DMSO
40,WT_parental,DMSO,0,0.03847364475428064,0,BZ017,DMSO
41,BZ017,bortezomib,0,0.3893804285310427,0,BZ017,DMSO
42,BZ008,bortezomib,0,-0.43114133271213145,0,BZ017,DMSO
43,BZ001,bortezomib,0,-0.4364485850596767,0,BZ017,DMSO
44,WT011,bortezomib,0,-0.29227330043754185,0,BZ017,DMSO
