column_match_pair_a,Metadata_clone_number_pair_a,Metadata_treatment_pair_a,row_match,pairwise_correlation,column_match_pair_b,Metadata_clone_number_pair_b,Metadata_treatment_pair_b
1,WT002,DMSO,0,0.12635675269350286,0,BZ017,DMSO
2,WT008,DMSO,0,0.3108285488985784,0,BZ017,DMSO
3,WT009,DMSO,0,0.38544882982741324,0,BZ017,DMSO
4,BZ018,DMSO,0,0.7522972182731159,0,BZ017,DMSO
5,WT011,DMSO,0,0.6306853686654422,0,BZ017,DMSO
6,BZ001,DMSO,0,0.3473262729656988,0,BZ017,DMSO
7,BZ008,DMSO,0,0.07715857032777851,0,BZ017,DMSO
8,WT_parental,DMSO,0,-0.2914833909537769,0,BZ017,DMSO
9,WT_parental,DMSO,0,-0.1323575573670989,0,BZ017,DMSO
10,BZ017,DMSO,0,0.8659066774033682,0,BZ017,DMSO
11,BZ008,DMSO,0,-0.2129293114898026,0,BZ017,DMSO
12,BZ001,DMSO,0,-0.1937557301140817,0,BZ017,DMSO
13,WT011,DMSO,0,0.2776662587517132,0,BZ017,DMSO
14,BZ018,DMSO,0,0.737269991908192,0,BZ017,DMSO
15,WT009,DMSO,0,-0.12794145480574584,0,BZ017,DMSO
16,WT008,DMSO,0,0.16798879767711167,0,BZ017,DMSO
17,WT002,DMSO,0,0.03877887906404631,0,BZ017,DMSO
18,WT_parental,DMSO,0,-0.5235477781640271,0,BZ017,DMSO
19,WT_parental,DMSO,0,-0.23024987248329298,0,BZ017,DMSO
20,BZ017,DMSO,0,0.8559206670510853,0,BZ017,DMSO
21,WT002,DMSO,0,0.009250148524827521,0,BZ017,DMSO
22,WT008,DMSO,0,0.43249844152071476,0,BZ017,DMSO
23,WT009,DMSO,0,-0.13917548873304175,0,BZ017,DMSO
24,BZ018,DMSO,0,0.693274363200026,0,BZ017,DMSO
25,WT011,DMSO,0,-0.11255165218471219,0,BZ017,DMSO
26,BZ001,DMSO,0,-0.23947652041546613,0,BZ017,DMSO
27,BZ008,DMSO,0,-0.2986186290959608,0,BZ017,DMSO
28,WT_parental,DMSO,0,-0.3188587673803575,0,BZ017,DMSO
29,WT_parental,DMSO,0,-0.25567000737812834,0,BZ017,DMSO
30,WT_parental,DMSO,0,-0.23586443953373532,0,BZ017,DMSO
31,BZ017,bortezomib,0,0.5554309826307279,0,BZ017,DMSO
32,WT002,bortezomib,0,-0.19491894579653157,0,BZ017,DMSO
33,WT008,bortezomib,0,-0.04371147736123635,0,BZ017,DMSO
34,WT009,bortezomib,0,-0.05765712204983379,0,BZ017,DMSO
35,WT011,bortezomib,0,0.06984946532769958,0,BZ017,DMSO
36,BZ001,bortezomib,0,-0.23733614100954867,0,BZ017,DMSO
37,BZ008,bortezomib,0,-0.4896323469112903,0,BZ017,DMSO
38,BZ018,bortezomib,0,0.5592891401901197,0,BZ017,DMSO
39,WT_parental,bortezomib,0,-0.27071531967943036,0,BZ017,DMSO
40,WT_parental,DMSO,0,-0.15521962072470036,0,BZ017,DMSO
41,BZ017,bortezomib,0,0.5307314544515588,0,BZ017,DMSO
42,BZ008,bortezomib,0,-0.3410567719567667,0,BZ017,DMSO
43,BZ001,bortezomib,0,-0.34730311635802935,0,BZ017,DMSO
44,WT011,bortezomib,0,-0.06776619415405843,0,BZ017,DMSO
45,WT009,bortezomib,0,-0.38329185609138805,0,BZ017,DMSO
46,WT008,bortezomib,0,-0.031248186551057433,0,BZ017,DMSO
47,WT002,bortezomib,0,-0.26310455635885144,0,BZ017,DMSO
48,BZ018,bortezomib,0,0.4196365788471361,0,BZ017,DMSO
49,WT_parental,bortezomib,0,-0.5304499148197119,0,BZ017,DMSO
50,WT_parental,DMSO,0,0.022460177694112255,0,BZ017,DMSO
51,BZ017,bortezomib,0,0.6201901376903252,0,BZ017,DMSO
52,WT002,bortezomib,0,-0.24535916403133226,0,BZ017,DMSO
53,WT008,bortezomib,0,-0.23944373316295076,0,BZ017,DMSO
54,WT009,bortezomib,0,-0.31038653964233354,0,BZ017,DMSO
55,WT011,bortezomib,0,-0.05126287186289888,0,BZ017,DMSO
56,BZ001,bortezomib,0,-0.3669749388298491,0,BZ017,DMSO
57,BZ008,bortezomib,0,-0.4456459949956657,0,BZ017,DMSO
58,BZ018,bortezomib,0,0.6014295273410475,0,BZ017,DMSO
59,WT_parental,bortezomib,0,-0.36737553531800465,0,BZ017,DMSO
