column_match_pair_a,Metadata_CellLine_pair_a,Metadata_Dosage_pair_a,row_match,pairwise_correlation,column_match_pair_b,Metadata_CellLine_pair_b,Metadata_Dosage_pair_b
1,WT,0.0,0,0.8551513279262364,0,WT,0.0
2,WT,0.0,0,0.7210331196099034,0,WT,0.0
3,CloneA,0.0,0,0.3610204944051856,0,WT,0.0
4,CloneA,0.0,0,0.17296371557110476,0,WT,0.0
5,CloneA,0.0,0,0.03023578186387396,0,WT,0.0
6,CloneE,0.0,0,-0.037625674705043674,0,WT,0.0
7,CloneE,0.0,0,-0.24148254375123013,0,WT,0.0
8,CloneE,0.0,0,-0.25450668665560283,0,WT,0.0
9,WT,0.7,0,0.8346088095250658,0,WT,0.0
10,WT,0.7,0,0.6224521160425334,0,WT,0.0
11,WT,0.7,0,0.42288052288069033,0,WT,0.0
12,CloneA,0.7,0,0.6394142264695535,0,WT,0.0
13,CloneA,0.7,0,0.31615038225000314,0,WT,0.0
14,CloneE,0.7,0,-0.12155034349861242,0,WT,0.0
15,CloneE,0.7,0,0.23852835712593687,0,WT,0.0
16,CloneE,0.7,0,-0.07697662108603293,0,WT,0.0
17,WT,7.0,0,0.13458119550309072,0,WT,0.0
18,WT,7.0,0,-0.13323376637428452,0,WT,0.0
19,WT,7.0,0,-0.07204779019678893,0,WT,0.0
20,CloneA,7.0,0,-0.12308214319088287,0,WT,0.0
21,CloneA,7.0,0,-0.23324798040974087,0,WT,0.0
22,CloneA,7.0,0,-0.4645805712303078,0,WT,0.0
23,CloneE,7.0,0,-0.43036223972142085,0,WT,0.0
24,CloneE,7.0,0,-0.40955954357131424,0,WT,0.0
25,CloneE,7.0,0,-0.27906706384785807,0,WT,0.0
26,WT,70.0,0,-0.12003070610630383,0,WT,0.0
27,WT,70.0,0,-0.04415847848236639,0,WT,0.0
28,WT,70.0,0,-0.1976192771652721,0,WT,0.0
29,CloneA,70.0,0,-0.1398140608214655,0,WT,0.0
30,CloneA,70.0,0,-0.09866276182091056,0,WT,0.0
31,CloneA,70.0,0,-0.2502590384353738,0,WT,0.0
32,CloneE,70.0,0,-0.32209817185179845,0,WT,0.0
33,CloneE,70.0,0,-0.3793819273767724,0,WT,0.0
34,CloneE,70.0,0,-0.3763951973145417,0,WT,0.0
35,CloneA,0.7,0,-0.28400678675576596,0,WT,0.0
2,WT,0.0,1,0.711822170903858,1,WT,0.0
3,CloneA,0.0,1,0.2836820725020387,1,WT,0.0
4,CloneA,0.0,1,0.09198322170969214,1,WT,0.0
5,CloneA,0.0,1,-0.029393080646713244,1,WT,0.0
6,CloneE,0.0,1,0.039756013544813465,1,WT,0.0
7,CloneE,0.0,1,-0.20993814834364605,1,WT,0.0
8,CloneE,0.0,1,-0.2638812144811932,1,WT,0.0
9,WT,0.7,1,0.7792410216350318,1,WT,0.0
10,WT,0.7,1,0.6341128930197784,1,WT,0.0
11,WT,0.7,1,0.3974878086465777,1,WT,0.0
12,CloneA,0.7,1,0.631599666615646,1,WT,0.0
13,CloneA,0.7,1,0.3107305259746327,1,WT,0.0
14,CloneE,0.7,1,-0.11349579407261924,1,WT,0.0
15,CloneE,0.7,1,0.2546792798613581,1,WT,0.0
16,CloneE,0.7,1,-0.06253177432182545,1,WT,0.0
17,WT,7.0,1,0.14654601002850923,1,WT,0.0
18,WT,7.0,1,-0.09835940078668452,1,WT,0.0
19,WT,7.0,1,-0.04747300702304549,1,WT,0.0
20,CloneA,7.0,1,-0.13801876054175147,1,WT,0.0
21,CloneA,7.0,1,-0.22936788783009265,1,WT,0.0
22,CloneA,7.0,1,-0.3704725070377545,1,WT,0.0
23,CloneE,7.0,1,-0.33960064060611783,1,WT,0.0
24,CloneE,7.0,1,-0.33726871157762106,1,WT,0.0
25,CloneE,7.0,1,-0.22797158404170834,1,WT,0.0
26,WT,70.0,1,-0.0870607086720623,1,WT,0.0
27,WT,70.0,1,0.0053562710502397595,1,WT,0.0
28,WT,70.0,1,-0.2124190967617078,1,WT,0.0
29,CloneA,70.0,1,-0.21726718556008287,1,WT,0.0
30,CloneA,70.0,1,-0.09256240884603147,1,WT,0.0
31,CloneA,70.0,1,-0.25179290540132077,1,WT,0.0
32,CloneE,70.0,1,-0.30160922603733276,1,WT,0.0
33,CloneE,70.0,1,-0.44094732774391476,1,WT,0.0
34,CloneE,70.0,1,-0.39036113190928307,1,WT,0.0
35,CloneA,0.7,1,-0.333979987003495,1,WT,0.0
3,CloneA,0.0,2,0.39366440374669337,2,WT,0.0
4,CloneA,0.0,2,0.1993472264030488,2,WT,0.0
5,CloneA,0.0,2,0.10763014527035333,2,WT,0.0
6,CloneE,0.0,2,0.01421420098896361,2,WT,0.0
7,CloneE,0.0,2,-0.05496263382341313,2,WT,0.0
8,CloneE,0.0,2,-0.15703935779256029,2,WT,0.0
9,WT,0.7,2,0.6436646040736528,2,WT,0.0
10,WT,0.7,2,0.5805426323925116,2,WT,0.0
11,WT,0.7,2,0.6362617485353506,2,WT,0.0
12,CloneA,0.7,2,0.49352051724876134,2,WT,0.0
13,CloneA,0.7,2,0.29927055956383886,2,WT,0.0
14,CloneE,0.7,2,-0.0026730608607560013,2,WT,0.0
15,CloneE,0.7,2,0.19354222505772206,2,WT,0.0
16,CloneE,0.7,2,-0.06124425738116936,2,WT,0.0
17,WT,7.0,2,0.053108992261328716,2,WT,0.0
18,WT,7.0,2,-0.16289796102057605,2,WT,0.0
19,WT,7.0,2,-0.005427725794583886,2,WT,0.0
20,CloneA,7.0,2,-0.1679471081578451,2,WT,0.0
21,CloneA,7.0,2,-0.24816816468871677,2,WT,0.0
22,CloneA,7.0,2,-0.40487966197978503,2,WT,0.0
23,CloneE,7.0,2,-0.39272436137488914,2,WT,0.0
24,CloneE,7.0,2,-0.46129034283613884,2,WT,0.0
25,CloneE,7.0,2,-0.3180240977048109,2,WT,0.0
26,WT,70.0,2,-0.09775673679581957,2,WT,0.0
27,WT,70.0,2,0.03193355324842549,2,WT,0.0
28,WT,70.0,2,-0.22528599206130054,2,WT,0.0
29,CloneA,70.0,2,-0.18032139947227696,2,WT,0.0
30,CloneA,70.0,2,-0.2029078971647188,2,WT,0.0
31,CloneA,70.0,2,-0.28177039781127605,2,WT,0.0
32,CloneE,70.0,2,-0.2992165296980616,2,WT,0.0
33,CloneE,70.0,2,-0.2794343275482223,2,WT,0.0
34,CloneE,70.0,2,-0.3199326141561841,2,WT,0.0
35,CloneA,0.7,2,-0.21449011331304516,2,WT,0.0
4,CloneA,0.0,3,0.5147295140421327,3,CloneA,0.0
5,CloneA,0.0,3,0.568875762348819,3,CloneA,0.0
6,CloneE,0.0,3,0.2199307920836892,3,CloneA,0.0
7,CloneE,0.0,3,0.19186495501236148,3,CloneA,0.0
8,CloneE,0.0,3,0.11808146852977851,3,CloneA,0.0
9,WT,0.7,3,0.18519897311216457,3,CloneA,0.0
10,WT,0.7,3,-0.09025738479480833,3,CloneA,0.0
11,WT,0.7,3,0.11781738039508446,3,CloneA,0.0
12,CloneA,0.7,3,0.41073991548427913,3,CloneA,0.0
13,CloneA,0.7,3,0.23852404874874256,3,CloneA,0.0
14,CloneE,0.7,3,0.18196570890308356,3,CloneA,0.0
15,CloneE,0.7,3,0.1922332201388243,3,CloneA,0.0
16,CloneE,0.7,3,0.18302406806281596,3,CloneA,0.0
17,WT,7.0,3,-0.29250556917309134,3,CloneA,0.0
18,WT,7.0,3,-0.32246388955000177,3,CloneA,0.0
19,WT,7.0,3,-0.21665841625095478,3,CloneA,0.0
20,CloneA,7.0,3,-0.16617914853164995,3,CloneA,0.0
21,CloneA,7.0,3,-0.23801586943275732,3,CloneA,0.0
22,CloneA,7.0,3,-0.21981951189780452,3,CloneA,0.0
23,CloneE,7.0,3,-0.41070922311864233,3,CloneA,0.0
24,CloneE,7.0,3,-0.3495338730344212,3,CloneA,0.0
25,CloneE,7.0,3,-0.2259975634792123,3,CloneA,0.0
26,WT,70.0,3,-0.22793580952148487,3,CloneA,0.0
27,WT,70.0,3,-0.14562024776226115,3,CloneA,0.0
28,WT,70.0,3,-0.20236769362632678,3,CloneA,0.0
29,CloneA,70.0,3,0.3033438507348376,3,CloneA,0.0
30,CloneA,70.0,3,-0.1972520454279619,3,CloneA,0.0
31,CloneA,70.0,3,-0.08840385217714918,3,CloneA,0.0
32,CloneE,70.0,3,-0.14197319902541086,3,CloneA,0.0
33,CloneE,70.0,3,-0.0329148398968614,3,CloneA,0.0
34,CloneE,70.0,3,-0.12055778339859853,3,CloneA,0.0
35,CloneA,0.7,3,0.31423572948965106,3,CloneA,0.0
5,CloneA,0.0,4,0.6742229380790349,4,CloneA,0.0
6,CloneE,0.0,4,0.2689688133569536,4,CloneA,0.0
7,CloneE,0.0,4,0.29162182188083635,4,CloneA,0.0
8,CloneE,0.0,4,0.20604460757250043,4,CloneA,0.0
9,WT,0.7,4,0.053816233718262094,4,CloneA,0.0
10,WT,0.7,4,0.027967578513633035,4,CloneA,0.0
11,WT,0.7,4,0.2648410775528531,4,CloneA,0.0
12,CloneA,0.7,4,0.45053085462006137,4,CloneA,0.0
13,CloneA,0.7,4,0.41584770157544715,4,CloneA,0.0
14,CloneE,0.7,4,0.15823906478986688,4,CloneA,0.0
15,CloneE,0.7,4,0.2915031251274572,4,CloneA,0.0
16,CloneE,0.7,4,0.19803461838848574,4,CloneA,0.0
17,WT,7.0,4,-0.485478662023036,4,CloneA,0.0
18,WT,7.0,4,-0.3882280800771959,4,CloneA,0.0
19,WT,7.0,4,-0.4357904095914883,4,CloneA,0.0
20,CloneA,7.0,4,-0.27677721672847044,4,CloneA,0.0
21,CloneA,7.0,4,0.1270318016780722,4,CloneA,0.0
22,CloneA,7.0,4,-0.06478221744740123,4,CloneA,0.0
23,CloneE,7.0,4,-0.2168294189180842,4,CloneA,0.0
24,CloneE,7.0,4,-0.3741341428775174,4,CloneA,0.0
25,CloneE,7.0,4,-0.3198789531571053,4,CloneA,0.0
26,WT,70.0,4,-0.3660395279558446,4,CloneA,0.0
27,WT,70.0,4,-0.24953889303118124,4,CloneA,0.0
28,WT,70.0,4,-0.2852961732875819,4,CloneA,0.0
29,CloneA,70.0,4,-0.10097165019406246,4,CloneA,0.0
30,CloneA,70.0,4,0.019808799590238277,4,CloneA,0.0
31,CloneA,70.0,4,-0.08178731330825373,4,CloneA,0.0
32,CloneE,70.0,4,-0.268567744637596,4,CloneA,0.0
