column_match_pair_a,Metadata_clone_number_pair_a,row_match,pairwise_correlation,column_match_pair_b,Metadata_clone_number_pair_b
1,BZ002,0,0.048429936275599536,0,BZ001
2,BZ003,0,0.40647732812049875,0,BZ001
3,BZ004,0,0.05045556012854947,0,BZ001
4,BZ005,0,0.22237194318941741,0,BZ001
5,BZ006,0,0.2569177189052229,0,BZ001
6,BZ007,0,0.19429486447424588,0,BZ001
7,BZ008,0,0.34138372377120524,0,BZ001
8,BZ009,0,-0.12850050750250389,0,BZ001
9,BZ010,0,0.14760002713412762,0,BZ001
10,BZ001,0,0.6803217968645534,0,BZ001
11,BZ002,0,0.05487409363852692,0,BZ001
12,BZ003,0,0.29189464259147424,0,BZ001
13,BZ004,0,-0.181828808721351,0,BZ001
14,BZ005,0,-0.16994701175212568,0,BZ001
15,BZ006,0,0.23313944032237385,0,BZ001
16,BZ007,0,0.06964011566506081,0,BZ001
17,BZ008,0,0.1674956572026738,0,BZ001
18,BZ009,0,-0.018273651320300937,0,BZ001
19,BZ010,0,-0.018273651320300937,0,BZ001
20,BZ001,0,0.46079834119589114,0,BZ001
21,BZ002,0,-0.02399471480845498,0,BZ001
22,BZ003,0,0.28869309228288437,0,BZ001
23,BZ004,0,-0.2205888190414626,0,BZ001
24,BZ005,0,-0.40026928278979157,0,BZ001
25,BZ006,0,0.11895477740732979,0,BZ001
26,BZ007,0,-0.06732229364274608,0,BZ001
27,BZ008,0,0.17268854279788126,0,BZ001
28,BZ009,0,-0.40380712948447306,0,BZ001
29,BZ010,0,-0.40380712948447306,0,BZ001
30,BZ011,0,0.0917473842931469,0,BZ001
31,BZ012,0,0.0028636738130710195,0,BZ001
32,BZ013,0,-0.13792885663275298,0,BZ001
33,BZ014,0,0.1962372091088525,0,BZ001
34,BZ015,0,-0.19760456460080708,0,BZ001
35,BZ016,0,-0.2066645463761264,0,BZ001
36,BZ017,0,-0.03735007791066434,0,BZ001
37,BZ018,0,0.09568492306367306,0,BZ001
38,WT_parental,0,-0.02260128195256453,0,BZ001
39,BZ011,0,0.04617960834176382,0,BZ001
40,BZ012,0,0.2622220749439858,0,BZ001
41,BZ013,0,0.09967181366609094,0,BZ001
42,BZ014,0,0.18581561126472382,0,BZ001
43,BZ015,0,-0.387998794029386,0,BZ001
44,BZ016,0,-0.40486636384558955,0,BZ001
45,BZ017,0,-0.047953944120793915,0,BZ001
46,BZ018,0,-0.05520625393426049,0,BZ001
47,WT_parental,0,0.033538393241204195,0,BZ001
48,BZ011,0,0.22114194962819897,0,BZ001
49,BZ012,0,0.1539436835116876,0,BZ001
50,BZ013,0,0.029116956862203457,0,BZ001
51,BZ014,0,0.23490685814589046,0,BZ001
52,BZ015,0,-0.20198036977481978,0,BZ001
53,BZ016,0,-0.43967160366871266,0,BZ001
54,BZ017,0,-0.026017567586655188,0,BZ001
55,BZ018,0,-0.1672328257261143,0,BZ001
56,WT_parental,0,0.021322415679655114,0,BZ001
2,BZ003,1,0.11780594202829785,1,BZ002
3,BZ004,1,0.4080050631969235,1,BZ002
4,BZ005,1,0.28604552746782724,1,BZ002
5,BZ006,1,0.04488694959056249,1,BZ002
6,BZ007,1,0.05711790185313078,1,BZ002
7,BZ008,1,-0.39135922706821824,1,BZ002
8,BZ009,1,0.045817848358611385,1,BZ002
9,BZ010,1,0.28770117054432387,1,BZ002
10,BZ001,1,-0.14892220799160047,1,BZ002
11,BZ002,1,0.9712898617146911,1,BZ002
12,BZ003,1,0.12823409780596765,1,BZ002
13,BZ004,1,0.42002221583925187,1,BZ002
14,BZ005,1,0.4884934309663691,1,BZ002
15,BZ006,1,0.07885785122763471,1,BZ002
16,BZ007,1,-0.06159945986010105,1,BZ002
17,BZ008,1,-0.5837826741399229,1,BZ002
18,BZ009,1,-0.2716996469924086,1,BZ002
19,BZ010,1,-0.2716996469924086,1,BZ002
20,BZ001,1,-0.2635710501533893,1,BZ002
21,BZ002,1,0.9396557982377988,1,BZ002
22,BZ003,1,0.1796469484917256,1,BZ002
23,BZ004,1,0.31206135582249256,1,BZ002
24,BZ005,1,0.4670578544396631,1,BZ002
25,BZ006,1,0.08103871998458191,1,BZ002
26,BZ007,1,0.11475178863217395,1,BZ002
27,BZ008,1,-0.5485352480482367,1,BZ002
28,BZ009,1,0.15742986927750693,1,BZ002
29,BZ010,1,0.15742986927750693,1,BZ002
30,BZ011,1,0.12028780162007073,1,BZ002
31,BZ012,1,-0.15263137277629463,1,BZ002
32,BZ013,1,0.035037743208880236,1,BZ002
33,BZ014,1,0.06651414825138835,1,BZ002
34,BZ015,1,-0.1986159090942119,1,BZ002
35,BZ016,1,-0.21896207895966896,1,BZ002
36,BZ017,1,-0.3679716158877666,1,BZ002
37,BZ018,1,-0.43998793834501354,1,BZ002
38,WT_parental,1,0.4363081294582613,1,BZ002
39,BZ011,1,0.12455915049535689,1,BZ002
40,BZ012,1,-0.07236155728174687,1,BZ002
41,BZ013,1,-0.009724133048696171,1,BZ002
42,BZ014,1,-0.024418476868315747,1,BZ002
43,BZ015,1,-0.15376552393798973,1,BZ002
44,BZ016,1,-0.12153571145698286,1,BZ002
45,BZ017,1,-0.554335527456987,1,BZ002
46,BZ018,1,-0.4447419944400372,1,BZ002
47,WT_parental,1,0.38126431983740705,1,BZ002
48,BZ011,1,0.13637590176221684,1,BZ002
49,BZ012,1,-0.12532204306869485,1,BZ002
50,BZ013,1,-0.24898893544206477,1,BZ002
51,BZ014,1,0.04840463887668639,1,BZ002
52,BZ015,1,-0.2676163724182933,1,BZ002
53,BZ016,1,0.008196933345987516,1,BZ002
54,BZ017,1,-0.28517474181872055,1,BZ002
55,BZ018,1,-0.5108952869063227,1,BZ002
56,WT_parental,1,0.11427975277589941,1,BZ002
3,BZ004,2,0.16105619889772263,2,BZ003
4,BZ005,2,0.3435870104252784,2,BZ003
5,BZ006,2,0.004397899811012212,2,BZ003
6,BZ007,2,-0.11204048880702215,2,BZ003
7,BZ008,2,0.3841704338512858,2,BZ003
8,BZ009,2,0.022486546842698175,2,BZ003
9,BZ010,2,0.489292150974703,2,BZ003
10,BZ001,2,0.4285009625082366,2,BZ003
11,BZ002,2,0.20723207908096897,2,BZ003
12,BZ003,2,0.7459917762445869,2,BZ003
13,BZ004,2,-0.01717116979322506,2,BZ003
14,BZ005,2,-0.04961016154797818,2,BZ003
15,BZ006,2,0.007863305278488227,2,BZ003
16,BZ007,2,-0.30404006715477494,2,BZ003
17,BZ008,2,0.08412071722269984,2,BZ003
18,BZ009,2,-0.3860361680504496,2,BZ003
19,BZ010,2,-0.3860361680504496,2,BZ003
20,BZ001,2,0.29407596317588475,2,BZ003
21,BZ002,2,0.1311406227040127,2,BZ003
22,BZ003,2,0.7212951501386242,2,BZ003
23,BZ004,2,-0.11834015564418063,2,BZ003
24,BZ005,2,-0.20122902816278973,2,BZ003
25,BZ006,2,-0.012880230638231648,2,BZ003
26,BZ007,2,-0.37068849824975536,2,BZ003
27,BZ008,2,0.0368380590575166,2,BZ003
28,BZ009,2,-0.062272103575818576,2,BZ003
29,BZ010,2,-0.062272103575818576,2,BZ003
30,BZ011,2,-0.37305458061272123,2,BZ003
31,BZ012,2,-0.0005875413221346296,2,BZ003
32,BZ013,2,0.009604771779937585,2,BZ003
33,BZ014,2,0.4099626285500938,2,BZ003
34,BZ015,2,-0.02618512601922539,2,BZ003
35,BZ016,2,-0.1757882838243998,2,BZ003
36,BZ017,2,-0.09518721802881056,2,BZ003
37,BZ018,2,-0.2330384551213168,2,BZ003
38,WT_parental,2,-0.2771999982027221,2,BZ003
39,BZ011,2,-0.30676104712000907,2,BZ003
40,BZ012,2,0.2561189600739542,2,BZ003
41,BZ013,2,-0.10496586890041495,2,BZ003
42,BZ014,2,0.3805483944012455,2,BZ003
43,BZ015,2,-0.19020067851356434,2,BZ003
44,BZ016,2,-0.38704010804440675,2,BZ003
