column_match_pair_a,Metadata_clone_number_pair_a,Metadata_treatment_pair_a,row_match,pairwise_correlation,column_match_pair_b,Metadata_clone_number_pair_b,Metadata_treatment_pair_b
1,WT002,DMSO,0,0.5364735471384593,0,BZ017,DMSO
2,WT008,DMSO,0,0.4827577717870018,0,BZ017,DMSO
3,WT009,DMSO,0,0.1232194914491436,0,BZ017,DMSO
4,BZ018,DMSO,0,0.5445303350849483,0,BZ017,DMSO
5,WT011,DMSO,0,0.44471651151380426,0,BZ017,DMSO
6,BZ001,DMSO,0,0.42916530426409577,0,BZ017,DMSO
7,BZ008,DMSO,0,0.04118775678472415,0,BZ017,DMSO
8,WT_parental,DMSO,0,0.43029088242352936,0,BZ017,DMSO
9,WT_parental,DMSO,0,0.3593557743735335,0,BZ017,DMSO
10,BZ017,DMSO,0,0.7938874517536889,0,BZ017,DMSO
11,BZ008,DMSO,0,-0.23214543028416126,0,BZ017,DMSO
12,BZ001,DMSO,0,0.267981134996436,0,BZ017,DMSO
13,WT011,DMSO,0,0.05278876894896208,0,BZ017,DMSO
14,BZ018,DMSO,0,0.13201235668695804,0,BZ017,DMSO
15,WT009,DMSO,0,0.04569672224541593,0,BZ017,DMSO
16,WT008,DMSO,0,-0.017838311718862913,0,BZ017,DMSO
17,WT002,DMSO,0,-0.048042464006518536,0,BZ017,DMSO
18,WT_parental,DMSO,0,0.08386257235373616,0,BZ017,DMSO
19,WT_parental,DMSO,0,0.24469994421043934,0,BZ017,DMSO
20,BZ017,DMSO,0,0.818259288455036,0,BZ017,DMSO
21,WT002,DMSO,0,0.07353744373975708,0,BZ017,DMSO
22,WT008,DMSO,0,0.07997556099926792,0,BZ017,DMSO
23,WT009,DMSO,0,-0.18343383886335649,0,BZ017,DMSO
24,BZ018,DMSO,0,-0.08944607647365954,0,BZ017,DMSO
25,WT011,DMSO,0,0.1031373518545124,0,BZ017,DMSO
26,BZ001,DMSO,0,-0.04998820113152153,0,BZ017,DMSO
27,BZ008,DMSO,0,-0.20958425629178568,0,BZ017,DMSO
