column_match_pair_a,Metadata_clone_number_pair_a,row_match,pairwise_correlation,column_match_pair_b,Metadata_clone_number_pair_b
1,WT001,0,0.8107266920243752,0,WT001
2,WT001,0,0.8621109602009526,0,WT001
3,WT002,0,0.369096727250712,0,WT001
4,WT002,0,0.2345780570481216,0,WT001
5,WT002,0,0.23638007314845666,0,WT001
6,WT003,0,-0.38198934453641376,0,WT001
7,WT003,0,-0.3856994575448283,0,WT001
8,WT003,0,-0.24790962704254807,0,WT001
9,WT_parental,0,0.46850555626606866,0,WT001
10,WT004,0,0.3964086283171556,0,WT001
11,WT004,0,0.3154754485573964,0,WT001
12,WT004,0,-0.16937906516337556,0,WT001
13,WT005,0,-0.19441096470997088,0,WT001
14,WT005,0,-0.24426381213522316,0,WT001
15,WT005,0,0.01159573896545831,0,WT001
16,WT006,0,-0.6350401445787006,0,WT001
17,WT006,0,-0.62936924982466,0,WT001
18,WT006,0,-0.5742684386570946,0,WT001
19,WT_parental,0,0.3527233212277104,0,WT001
20,WT007,0,0.07344088405002447,0,WT001
21,WT007,0,0.13942993428559838,0,WT001
22,WT007,0,-0.0258179788361866,0,WT001
23,WT008,0,-0.18611711964521102,0,WT001
24,WT008,0,-0.03665167000343418,0,WT001
25,WT008,0,-0.0344227216156049,0,WT001
26,WT009,0,-0.5694964484740553,0,WT001
27,WT009,0,-0.47273585362786685,0,WT001
28,WT009,0,-0.4381587217109787,0,WT001
29,WT_parental,0,0.101095417712178,0,WT001
30,WT010,0,-0.04232426599395215,0,WT001
31,WT010,0,-0.38806230847496753,0,WT001
32,WT010,0,-0.3332681984763564,0,WT001
33,WT011,0,0.022193790826636663,0,WT001
34,WT011,0,0.20217352541453273,0,WT001
35,WT011,0,0.23701192812935484,0,WT001
36,WT012,0,-0.18972654958193508,0,WT001
37,WT012,0,-0.0059384658443529924,0,WT001
38,WT012,0,-0.32624618697555785,0,WT001
39,WT013,0,-0.16220488545949843,0,WT001
40,WT013,0,-0.011195376513854913,0,WT001
41,WT013,0,-0.21260899047786036,0,WT001
42,WT014,0,0.42347822479676644,0,WT001
43,WT014,0,0.5408623600023235,0,WT001
44,WT014,0,0.5320013286073763,0,WT001
45,WT015,0,-0.2694167159642189,0,WT001
46,WT015,0,-0.4222592560872832,0,WT001
47,WT015,0,-0.11086840350528022,0,WT001
2,WT001,1,0.8489967223367003,1,WT001
3,WT002,1,0.43155308241234186,1,WT001
4,WT002,1,0.29302360528001964,1,WT001
5,WT002,1,0.27551488179155914,1,WT001
6,WT003,1,-0.37162829936219804,1,WT001
7,WT003,1,-0.3330181443400789,1,WT001
8,WT003,1,-0.33210403629555985,1,WT001
9,WT_parental,1,0.2663621364337948,1,WT001
10,WT004,1,0.5355331255926796,1,WT001
11,WT004,1,0.5585547718542629,1,WT001
12,WT004,1,0.07377395472142785,1,WT001
13,WT005,1,0.0234278930324321,1,WT001
14,WT005,1,-0.07574848118239719,1,WT001
15,WT005,1,0.12126689720080276,1,WT001
16,WT006,1,-0.6855792112366361,1,WT001
17,WT006,1,-0.6699125891952645,1,WT001
18,WT006,1,-0.6357138787771932,1,WT001
19,WT_parental,1,0.18685393205186887,1,WT001
20,WT007,1,0.09741318763531574,1,WT001
21,WT007,1,0.167919148321198,1,WT001
22,WT007,1,0.01803247110580623,1,WT001
23,WT008,1,-0.15368275861674932,1,WT001
24,WT008,1,-0.0581044252681338,1,WT001
25,WT008,1,-0.04789121929499175,1,WT001
26,WT009,1,-0.4668965493716424,1,WT001
27,WT009,1,-0.473338343895399,1,WT001
28,WT009,1,-0.4838429606139863,1,WT001
29,WT_parental,1,-0.07694785299675289,1,WT001
30,WT010,1,-0.19768713306369665,1,WT001
31,WT010,1,-0.32679402769381594,1,WT001
32,WT010,1,-0.34131819919391554,1,WT001
33,WT011,1,0.18355372683060825,1,WT001
34,WT011,1,0.39919471973893633,1,WT001
35,WT011,1,0.28930085583698983,1,WT001
36,WT012,1,-0.1938358516703827,1,WT001
37,WT012,1,-0.11421981126190384,1,WT001
38,WT012,1,-0.40129480187988054,1,WT001
39,WT013,1,-0.14390778989459418,1,WT001
40,WT013,1,0.016927387802606053,1,WT001
41,WT013,1,-0.24597792313592814,1,WT001
42,WT014,1,0.38146641736673853,1,WT001
43,WT014,1,0.497236393750521,1,WT001
44,WT014,1,0.49109342692611363,1,WT001
45,WT015,1,-0.2473365617482865,1,WT001
46,WT015,1,-0.4195582117172195,1,WT001
47,WT015,1,-0.1617092212149086,1,WT001
3,WT002,2,0.4616340082497703,2,WT001
4,WT002,2,0.33187618506877975,2,WT001
5,WT002,2,0.3160045247255032,2,WT001
6,WT003,2,-0.4754402561843828,2,WT001
7,WT003,2,-0.4071078694084143,2,WT001
8,WT003,2,-0.3672873389515582,2,WT001
9,WT_parental,2,0.44129821902190924,2,WT001
10,WT004,2,0.4338294616202299,2,WT001
11,WT004,2,0.39410917617281294,2,WT001
12,WT004,2,-0.06258423929199479,2,WT001
13,WT005,2,0.024202849897803018,2,WT001
14,WT005,2,-0.11114292648697323,2,WT001
15,WT005,2,0.07149393218898391,2,WT001
16,WT006,2,-0.7041864728386983,2,WT001
17,WT006,2,-0.6604147120904968,2,WT001
18,WT006,2,-0.5460179032923776,2,WT001
19,WT_parental,2,0.29337017175899976,2,WT001
20,WT007,2,0.11394526689959035,2,WT001
21,WT007,2,0.1519774942556222,2,WT001
