Metadata_dataset	metric	metric_value	dataset	shuffle	permutation
cb5083	accuracy	0.5166666666666667	otherclones	True	0
ixazomib	accuracy	0.5277777777777778	otherclones	True	0
cb5083	avg_precision	0.5085978835978836	otherclones	True	0
ixazomib	avg_precision	0.5146356033452808	otherclones	True	0
cb5083	accuracy	0.5166666666666667	otherclones	True	1
ixazomib	accuracy	0.48333333333333334	otherclones	True	1
cb5083	avg_precision	0.5085897435897435	otherclones	True	1
ixazomib	avg_precision	0.4919475655430712	otherclones	True	1
cb5083	accuracy	0.4666666666666667	otherclones	True	2
ixazomib	accuracy	0.49444444444444446	otherclones	True	2
cb5083	avg_precision	0.4844827586206897	otherclones	True	2
ixazomib	avg_precision	0.49724919093851133	otherclones	True	2
cb5083	accuracy	0.5375	otherclones	True	3
ixazomib	accuracy	0.5	otherclones	True	3
cb5083	avg_precision	0.5201923076923076	otherclones	True	3
ixazomib	avg_precision	0.5	otherclones	True	3
cb5083	accuracy	0.44166666666666665	otherclones	True	4
ixazomib	accuracy	0.5722222222222222	otherclones	True	4
cb5083	avg_precision	0.4742361111111111	otherclones	True	4
ixazomib	avg_precision	0.5408529741863075	otherclones	True	4
cb5083	accuracy	0.5125	otherclones	True	5
ixazomib	accuracy	0.4666666666666667	otherclones	True	5
cb5083	avg_precision	0.5063976377952756	otherclones	True	5
ixazomib	avg_precision	0.48442028985507246	otherclones	True	5
cb5083	accuracy	0.4708333333333333	otherclones	True	6
ixazomib	accuracy	0.5222222222222223	otherclones	True	6
cb5083	avg_precision	0.4862333333333333	otherclones	True	6
ixazomib	avg_precision	0.5115839243498819	otherclones	True	6
cb5083	accuracy	0.5333333333333333	otherclones	True	7
ixazomib	accuracy	0.4722222222222222	otherclones	True	7
cb5083	avg_precision	0.5177777777777778	otherclones	True	7
ixazomib	avg_precision	0.4868125701459035	otherclones	True	7
cb5083	accuracy	0.4708333333333333	otherclones	True	8
ixazomib	accuracy	0.5333333333333333	otherclones	True	8
cb5083	avg_precision	0.48627450980392156	otherclones	True	8
ixazomib	avg_precision	0.5176666666666667	otherclones	True	8
cb5083	accuracy	0.5	otherclones	True	9
ixazomib	accuracy	0.46111111111111114	otherclones	True	9
cb5083	avg_precision	0.5	otherclones	True	9
ixazomib	avg_precision	0.4821200510855683	otherclones	True	9
cb5083	accuracy	0.4583333333333333	otherclones	True	10
ixazomib	accuracy	0.49444444444444446	otherclones	True	10
cb5083	avg_precision	0.48072139303482586	otherclones	True	10
ixazomib	avg_precision	0.4972549019607843	otherclones	True	10
cb5083	accuracy	0.4625	otherclones	True	11
ixazomib	accuracy	0.5555555555555556	otherclones	True	11
cb5083	avg_precision	0.4826446280991735	otherclones	True	11
ixazomib	avg_precision	0.5306122448979591	otherclones	True	11
cb5083	accuracy	0.5125	otherclones	True	12
ixazomib	accuracy	0.45555555555555555	otherclones	True	12
cb5083	avg_precision	0.5063888888888889	otherclones	True	12
ixazomib	avg_precision	0.4798941798941799	otherclones	True	12
cb5083	accuracy	0.525	otherclones	True	13
ixazomib	accuracy	0.49444444444444446	otherclones	True	13
cb5083	avg_precision	0.5131147540983607	otherclones	True	13
ixazomib	avg_precision	0.4972508591065292	otherclones	True	13
cb5083	accuracy	0.49583333333333335	otherclones	True	14
ixazomib	accuracy	0.4666666666666667	otherclones	True	14
cb5083	avg_precision	0.49793307086614175	otherclones	True	14
ixazomib	avg_precision	0.48442028985507246	otherclones	True	14
cb5083	accuracy	0.4583333333333333	otherclones	True	15
ixazomib	accuracy	0.4388888888888889	otherclones	True	15
cb5083	avg_precision	0.48096264367816094	otherclones	True	15
ixazomib	avg_precision	0.4727076591154261	otherclones	True	15
cb5083	accuracy	0.5166666666666667	otherclones	True	16
ixazomib	accuracy	0.49444444444444446	otherclones	True	16
cb5083	avg_precision	0.5086309523809524	otherclones	True	16
ixazomib	avg_precision	0.49724818276220145	otherclones	True	16
cb5083	accuracy	0.49166666666666664	otherclones	True	17
ixazomib	accuracy	0.5055555555555555	otherclones	True	17
cb5083	avg_precision	0.4959005376344086	otherclones	True	17
ixazomib	avg_precision	0.5028070175438597	otherclones	True	17
cb5083	accuracy	0.5	otherclones	True	18
ixazomib	accuracy	0.45	otherclones	True	18
cb5083	avg_precision	0.5	otherclones	True	18
ixazomib	avg_precision	0.47758620689655173	otherclones	True	18
cb5083	accuracy	0.43333333333333335	otherclones	True	19
ixazomib	accuracy	0.42777777777777776	otherclones	True	19
cb5083	avg_precision	0.4707692307692308	otherclones	True	19
ixazomib	avg_precision	0.4691635455680399	otherclones	True	19
cb5083	accuracy	0.5041666666666667	otherclones	True	20
ixazomib	accuracy	0.4888888888888889	otherclones	True	20
cb5083	avg_precision	0.5021008403361344	otherclones	True	20
ixazomib	avg_precision	0.4945555555555555	otherclones	True	20
cb5083	accuracy	0.4875	otherclones	True	21
ixazomib	accuracy	0.4666666666666667	otherclones	True	21
cb5083	avg_precision	0.49389312977099237	otherclones	True	21
ixazomib	avg_precision	0.484469696969697	otherclones	True	21
cb5083	accuracy	0.4625	otherclones	True	22
ixazomib	accuracy	0.45555555555555555	otherclones	True	22
cb5083	avg_precision	0.4826680672268908	otherclones	True	22
ixazomib	avg_precision	0.47955555555555557	otherclones	True	22
cb5083	accuracy	0.49166666666666664	otherclones	True	23
ixazomib	accuracy	0.48333333333333334	otherclones	True	23
cb5083	avg_precision	0.4959005376344086	otherclones	True	23
ixazomib	avg_precision	0.49192982456140355	otherclones	True	23
cb5083	accuracy	0.5083333333333333	otherclones	True	24
ixazomib	accuracy	0.4166666666666667	otherclones	True	24
cb5083	avg_precision	0.5042317708333333	otherclones	True	24
ixazomib	avg_precision	0.4652014652014652	otherclones	True	24
cb5083	accuracy	0.4583333333333333	otherclones	True	25
ixazomib	accuracy	0.4388888888888889	otherclones	True	25
cb5083	avg_precision	0.48072139303482586	otherclones	True	25
ixazomib	avg_precision	0.47339869281045754	otherclones	True	25
cb5083	accuracy	0.5333333333333333	otherclones	True	26
ixazomib	accuracy	0.5055555555555555	otherclones	True	26
cb5083	avg_precision	0.5177777777777778	otherclones	True	26
ixazomib	avg_precision	0.5028058361391695	otherclones	True	26
cb5083	accuracy	0.5416666666666666	otherclones	True	27
ixazomib	accuracy	0.5055555555555555	otherclones	True	27
cb5083	avg_precision	0.5224358974358974	otherclones	True	27
ixazomib	avg_precision	0.502808988764045	otherclones	True	27
cb5083	accuracy	0.4791666666666667	otherclones	True	28
ixazomib	accuracy	0.5222222222222223	otherclones	True	28
cb5083	avg_precision	0.49	otherclones	True	28
ixazomib	avg_precision	0.5115839243498819	otherclones	True	28
cb5083	accuracy	0.5541666666666667	otherclones	True	29
ixazomib	accuracy	0.4888888888888889	otherclones	True	29
cb5083	avg_precision	0.5299457994579946	otherclones	True	29
ixazomib	avg_precision	0.4945601851851852	otherclones	True	29
cb5083	accuracy	0.49583333333333335	otherclones	True	30
ixazomib	accuracy	0.4777777777777778	otherclones	True	30
cb5083	avg_precision	0.49793360433604333	otherclones	True	30
ixazomib	avg_precision	0.48935185185185187	otherclones	True	30
cb5083	accuracy	0.525	otherclones	True	31
ixazomib	accuracy	0.5277777777777778	otherclones	True	31
cb5083	avg_precision	0.5131147540983607	otherclones	True	31
ixazomib	avg_precision	0.5146048109965635	otherclones	True	31
cb5083	accuracy	0.5375	otherclones	True	32
ixazomib	accuracy	0.5	otherclones	True	32
cb5083	avg_precision	0.5201	otherclones	True	32
ixazomib	avg_precision	0.5	otherclones	True	32
cb5083	accuracy	0.5333333333333333	otherclones	True	33
ixazomib	accuracy	0.46111111111111114	otherclones	True	33
cb5083	avg_precision	0.5177777777777778	otherclones	True	33
ixazomib	avg_precision	0.4819304152637486	otherclones	True	33
cb5083	accuracy	0.5375	otherclones	True	34
ixazomib	accuracy	0.5	otherclones	True	34
cb5083	avg_precision	0.5200787401574803	otherclones	True	34
ixazomib	avg_precision	0.5	otherclones	True	34
cb5083	accuracy	0.4625	otherclones	True	35
ixazomib	accuracy	0.5555555555555556	otherclones	True	35
cb5083	avg_precision	0.4825581395348837	otherclones	True	35
ixazomib	avg_precision	0.5308641975308642	otherclones	True	35
cb5083	accuracy	0.5125	otherclones	True	36
ixazomib	accuracy	0.5555555555555556	otherclones	True	36
cb5083	avg_precision	0.5064075630252101	otherclones	True	36
ixazomib	avg_precision	0.5305555555555556	otherclones	True	36
cb5083	accuracy	0.5041666666666667	otherclones	True	37
ixazomib	accuracy	0.45555555555555555	otherclones	True	37
cb5083	avg_precision	0.5020997375328085	otherclones	True	37
ixazomib	avg_precision	0.4797101449275362	otherclones	True	37
cb5083	accuracy	0.4625	otherclones	True	38
ixazomib	accuracy	0.4666666666666667	otherclones	True	38
cb5083	avg_precision	0.48257874015748026	otherclones	True	38
ixazomib	avg_precision	0.48442028985507246	otherclones	True	38
cb5083	accuracy	0.5	otherclones	True	39
ixazomib	accuracy	0.5388888888888889	otherclones	True	39
cb5083	avg_precision	0.5	otherclones	True	39
ixazomib	avg_precision	0.5208771929824562	otherclones	True	39
cb5083	accuracy	0.45416666666666666	otherclones	True	40
ixazomib	accuracy	0.4777777777777778	otherclones	True	40
cb5083	avg_precision	0.4791327913279133	otherclones	True	40
ixazomib	avg_precision	0.48935185185185187	otherclones	True	40
cb5083	accuracy	0.45416666666666666	otherclones	True	41
ixazomib	accuracy	0.5111111111111111	otherclones	True	41
cb5083	avg_precision	0.4789506172839506	otherclones	True	41
ixazomib	avg_precision	0.5056878306878306	otherclones	True	41
cb5083	accuracy	0.5208333333333334	otherclones	True	42
ixazomib	accuracy	0.4666666666666667	otherclones	True	42
cb5083	avg_precision	0.5108333333333334	otherclones	True	42
ixazomib	avg_precision	0.48439716312056735	otherclones	True	42
cb5083	accuracy	0.5708333333333333	otherclones	True	43
ixazomib	accuracy	0.4444444444444444	otherclones	True	43
cb5083	avg_precision	0.5401574803149607	otherclones	True	43
ixazomib	avg_precision	0.4752415458937198	otherclones	True	43
cb5083	accuracy	0.5291666666666667	otherclones	True	44
ixazomib	accuracy	0.43333333333333335	otherclones	True	44
cb5083	avg_precision	0.5153508771929824	otherclones	True	44
ixazomib	avg_precision	0.47131782945736433	otherclones	True	44
cb5083	accuracy	0.4625	otherclones	True	45
ixazomib	accuracy	0.4666666666666667	otherclones	True	45
cb5083	avg_precision	0.4826	otherclones	True	45
ixazomib	avg_precision	0.48439716312056735	otherclones	True	45
cb5083	accuracy	0.45	otherclones	True	46
ixazomib	accuracy	0.48333333333333334	otherclones	True	46
cb5083	avg_precision	0.47734374999999996	otherclones	True	46
ixazomib	avg_precision	0.4919413919413919	otherclones	True	46
cb5083	accuracy	0.5625	otherclones	True	47
ixazomib	accuracy	0.4777777777777778	otherclones	True	47
cb5083	avg_precision	0.5350609756097562	otherclones	True	47
ixazomib	avg_precision	0.48935185185185187	otherclones	True	47
cb5083	accuracy	0.5125	otherclones	True	48
ixazomib	accuracy	0.4777777777777778	otherclones	True	48
cb5083	avg_precision	0.5064	otherclones	True	48
ixazomib	avg_precision	0.4893617021276596	otherclones	True	48
cb5083	accuracy	0.48333333333333334	otherclones	True	49
ixazomib	accuracy	0.5277777777777778	otherclones	True	49
cb5083	avg_precision	0.4919444444444444	otherclones	True	49
ixazomib	avg_precision	0.5145903479236813	otherclones	True	49
cb5083	accuracy	0.5333333333333333	otherclones	True	50
ixazomib	accuracy	0.5055555555555555	otherclones	True	50
cb5083	avg_precision	0.5177419354838709	otherclones	True	50
ixazomib	avg_precision	0.5028070175438597	otherclones	True	50
cb5083	accuracy	0.49583333333333335	otherclones	True	51
ixazomib	accuracy	0.4444444444444444	otherclones	True	51
cb5083	avg_precision	0.49793478260869567	otherclones	True	51
ixazomib	avg_precision	0.47489316239316237	otherclones	True	51
cb5083	accuracy	0.525	otherclones	True	52
ixazomib	accuracy	0.5388888888888889	otherclones	True	52
cb5083	avg_precision	0.5130859375	otherclones	True	52
ixazomib	avg_precision	0.5209401709401709	otherclones	True	52
cb5083	accuracy	0.5416666666666666	otherclones	True	53
ixazomib	accuracy	0.5388888888888889	otherclones	True	53
cb5083	avg_precision	0.5225694444444444	otherclones	True	53
ixazomib	avg_precision	0.5208193041526374	otherclones	True	53
cb5083	accuracy	0.5041666666666667	otherclones	True	54
ixazomib	accuracy	0.4888888888888889	otherclones	True	54
cb5083	avg_precision	0.5021008403361344	otherclones	True	54
ixazomib	avg_precision	0.4945555555555555	otherclones	True	54
