Metadata_model_split	Metadata_Plate	metric	metric_value	dataset	shuffle	permutation
holdout	219907	accuracy	0.45	bortezomib	True	0
holdout	219956	accuracy	0.65	bortezomib	True	0
holdout	219973	accuracy	0.6	bortezomib	True	0
holdout	220039	accuracy	0.5	bortezomib	True	0
holdout	220040	accuracy	0.4	bortezomib	True	0
holdout	220055	accuracy	0.55	bortezomib	True	0
inference	MutClones	accuracy	0.38596491228070173	bortezomib	True	0
inference	WTClones	accuracy	0.6666666666666666	bortezomib	True	0
test	219907	accuracy	0.4	bortezomib	True	0
test	219956	accuracy	0.5	bortezomib	True	0
test	219973	accuracy	0.5714285714285714	bortezomib	True	0
test	220039	accuracy	0.42857142857142855	bortezomib	True	0
test	220040	accuracy	0.4	bortezomib	True	0
test	220055	accuracy	0.6666666666666666	bortezomib	True	0
training	219907	accuracy	0.5428571428571428	bortezomib	True	0
training	219956	accuracy	0.5294117647058824	bortezomib	True	0
training	219973	accuracy	0.3939393939393939	bortezomib	True	0
training	220039	accuracy	0.3939393939393939	bortezomib	True	0
training	220040	accuracy	0.4857142857142857	bortezomib	True	0
training	220055	accuracy	0.4411764705882353	bortezomib	True	0
validation	219901	accuracy	0.5166666666666667	bortezomib	True	0
holdout	219907	avg_precision	0.375	bortezomib	True	0
holdout	219956	avg_precision	0.49722222222222223	bortezomib	True	0
holdout	219973	avg_precision	0.45	bortezomib	True	0
holdout	220039	avg_precision	0.4	bortezomib	True	0
holdout	220040	avg_precision	0.3625	bortezomib	True	0
holdout	220055	avg_precision	0.4461538461538461	bortezomib	True	0
inference	MutClones	avg_precision	0.96588693957115	bortezomib	True	0
inference	WTClones	avg_precision		bortezomib	True	0
test	219907	avg_precision	0.5333333333333333	bortezomib	True	0
test	219956	avg_precision	0.6666666666666666	bortezomib	True	0
test	219973	avg_precision	0.30952380952380953	bortezomib	True	0
test	220039	avg_precision	0.42857142857142855	bortezomib	True	0
test	220040	avg_precision	0.4	bortezomib	True	0
test	220055	avg_precision	0.6666666666666666	bortezomib	True	0
training	219907	avg_precision	0.5088482451804252	bortezomib	True	0
training	219956	avg_precision	0.4834558823529412	bortezomib	True	0
training	219973	avg_precision	0.5096801346801347	bortezomib	True	0
training	220039	avg_precision	0.4745098039215686	bortezomib	True	0
training	220040	avg_precision	0.5087301587301587	bortezomib	True	0
training	220055	avg_precision	0.44411764705882356	bortezomib	True	0
validation	219901	avg_precision	0.47122153209109735	bortezomib	True	0
holdout	219907	accuracy	0.4	bortezomib	True	1
holdout	219956	accuracy	0.7	bortezomib	True	1
holdout	219973	accuracy	0.4	bortezomib	True	1
holdout	220039	accuracy	0.45	bortezomib	True	1
holdout	220040	accuracy	0.45	bortezomib	True	1
holdout	220055	accuracy	0.55	bortezomib	True	1
inference	MutClones	accuracy	0.45614035087719296	bortezomib	True	1
inference	WTClones	accuracy	0.6666666666666666	bortezomib	True	1
test	219907	accuracy	0.6	bortezomib	True	1
test	219956	accuracy	0.16666666666666666	bortezomib	True	1
test	219973	accuracy	0.5714285714285714	bortezomib	True	1
test	220039	accuracy	0.8571428571428571	bortezomib	True	1
test	220040	accuracy	0.6	bortezomib	True	1
test	220055	accuracy	0.6666666666666666	bortezomib	True	1
training	219907	accuracy	0.5714285714285714	bortezomib	True	1
training	219956	accuracy	0.4411764705882353	bortezomib	True	1
training	219973	accuracy	0.45454545454545453	bortezomib	True	1
training	220039	accuracy	0.45454545454545453	bortezomib	True	1
training	220040	accuracy	0.4857142857142857	bortezomib	True	1
training	220055	accuracy	0.35294117647058826	bortezomib	True	1
validation	219901	accuracy	0.5833333333333334	bortezomib	True	1
holdout	219907	avg_precision	0.3625	bortezomib	True	1
holdout	219956	avg_precision	0.5333333333333333	bortezomib	True	1
holdout	219973	avg_precision	0.37083333333333335	bortezomib	True	1
holdout	220039	avg_precision	0.375	bortezomib	True	1
holdout	220040	avg_precision	0.38181818181818183	bortezomib	True	1
holdout	220055	avg_precision	0.4340909090909091	bortezomib	True	1
inference	MutClones	avg_precision	0.937441339975453	bortezomib	True	1
inference	WTClones	avg_precision		bortezomib	True	1
test	219907	avg_precision	0.7333333333333334	bortezomib	True	1
test	219956	avg_precision	0.5833333333333334	bortezomib	True	1
test	219973	avg_precision	0.30952380952380953	bortezomib	True	1
test	220039	avg_precision	0.8095238095238095	bortezomib	True	1
test	220040	avg_precision	0.45	bortezomib	True	1
test	220055	avg_precision	0.8333333333333333	bortezomib	True	1
training	219907	avg_precision	0.5263655462184874	bortezomib	True	1
training	219956	avg_precision	0.44411764705882356	bortezomib	True	1
training	219973	avg_precision	0.5303030303030303	bortezomib	True	1
training	220039	avg_precision	0.49418055992450455	bortezomib	True	1
training	220040	avg_precision	0.5071428571428571	bortezomib	True	1
training	220055	avg_precision	0.43676470588235294	bortezomib	True	1
validation	219901	avg_precision	0.5133333333333334	bortezomib	True	1
holdout	219907	accuracy	0.45	bortezomib	True	2
holdout	219956	accuracy	0.65	bortezomib	True	2
holdout	219973	accuracy	0.45	bortezomib	True	2
holdout	220039	accuracy	0.65	bortezomib	True	2
holdout	220040	accuracy	0.4	bortezomib	True	2
holdout	220055	accuracy	0.6	bortezomib	True	2
inference	MutClones	accuracy	0.42105263157894735	bortezomib	True	2
inference	WTClones	accuracy	0.5625	bortezomib	True	2
test	219907	accuracy	0.2	bortezomib	True	2
test	219956	accuracy	0.3333333333333333	bortezomib	True	2
test	219973	accuracy	0.7142857142857143	bortezomib	True	2
test	220039	accuracy	0.14285714285714285	bortezomib	True	2
test	220040	accuracy	0.4	bortezomib	True	2
test	220055	accuracy	0.3333333333333333	bortezomib	True	2
training	219907	accuracy	0.5142857142857142	bortezomib	True	2
training	219956	accuracy	0.6470588235294118	bortezomib	True	2
training	219973	accuracy	0.5151515151515151	bortezomib	True	2
training	220039	accuracy	0.5454545454545454	bortezomib	True	2
training	220040	accuracy	0.34285714285714286	bortezomib	True	2
training	220055	accuracy	0.5	bortezomib	True	2
validation	219901	accuracy	0.55	bortezomib	True	2
holdout	219907	avg_precision	0.38181818181818183	bortezomib	True	2
holdout	219956	avg_precision	0.49722222222222223	bortezomib	True	2
holdout	219973	avg_precision	0.37500000000000006	bortezomib	True	2
holdout	220039	avg_precision	0.475	bortezomib	True	2
holdout	220040	avg_precision	0.37083333333333335	bortezomib	True	2
holdout	220055	avg_precision	0.45	bortezomib	True	2
inference	MutClones	avg_precision	0.9357115009746588	bortezomib	True	2
inference	WTClones	avg_precision		bortezomib	True	2
test	219907	avg_precision	0.5111111111111111	bortezomib	True	2
test	219956	avg_precision	0.625	bortezomib	True	2
test	219973	avg_precision	0.5	bortezomib	True	2
test	220039	avg_precision	0.42857142857142855	bortezomib	True	2
test	220040	avg_precision	0.4	bortezomib	True	2
test	220055	avg_precision	0.625	bortezomib	True	2
training	219907	avg_precision	0.49243697478991594	bortezomib	True	2
training	219956	avg_precision	0.5671977124183007	bortezomib	True	2
training	219973	avg_precision	0.5569985569985569	bortezomib	True	2
training	220039	avg_precision	0.5402183600713012	bortezomib	True	2
training	220040	avg_precision	0.4683760683760684	bortezomib	True	2
training	220055	avg_precision	0.46887254901960784	bortezomib	True	2
validation	219901	avg_precision	0.49142857142857144	bortezomib	True	2
holdout	219907	accuracy	0.5	bortezomib	True	3
holdout	219956	accuracy	0.55	bortezomib	True	3
holdout	219973	accuracy	0.5	bortezomib	True	3
holdout	220039	accuracy	0.35	bortezomib	True	3
holdout	220040	accuracy	0.4	bortezomib	True	3
holdout	220055	accuracy	0.35	bortezomib	True	3
inference	MutClones	accuracy	0.47368421052631576	bortezomib	True	3
inference	WTClones	accuracy	0.7083333333333334	bortezomib	True	3
test	219907	accuracy	0.8	bortezomib	True	3
test	219956	accuracy	0.5	bortezomib	True	3
test	219973	accuracy	1.0	bortezomib	True	3
test	220039	accuracy	0.42857142857142855	bortezomib	True	3
test	220040	accuracy	0.4	bortezomib	True	3
test	220055	accuracy	0.0	bortezomib	True	3
training	219907	accuracy	0.5714285714285714	bortezomib	True	3
training	219956	accuracy	0.47058823529411764	bortezomib	True	3
training	219973	accuracy	0.48484848484848486	bortezomib	True	3
training	220039	accuracy	0.5757575757575758	bortezomib	True	3
training	220040	accuracy	0.5142857142857142	bortezomib	True	3
training	220055	accuracy	0.5294117647058824	bortezomib	True	3
validation	219901	accuracy	0.55	bortezomib	True	3
holdout	219907	avg_precision	0.390625	bortezomib	True	3
holdout	219956	avg_precision	0.4107142857142857	bortezomib	True	3
