fpr,tpr,threshold,model_split,shuffled
0,0,1.515219407,ixazomib,TRUE
0.011111111,0,0.515219407,ixazomib,TRUE
0.022222222,0,0.4893855,ixazomib,TRUE
0.033333333,0,0.464371657,ixazomib,TRUE
0.033333333,0.011111111,0.462710853,ixazomib,TRUE
0.044444444,0.011111111,0.414641509,ixazomib,TRUE
0.055555556,0.011111111,0.393564921,ixazomib,TRUE
0.066666667,0.011111111,0.38927469,ixazomib,TRUE
0.077777778,0.011111111,0.386149596,ixazomib,TRUE
0.077777778,0.022222222,0.384626098,ixazomib,TRUE
0.077777778,0.033333333,0.370357281,ixazomib,TRUE
0.088888889,0.033333333,0.366097252,ixazomib,TRUE
0.088888889,0.044444444,0.362135464,ixazomib,TRUE
0.1,0.044444444,0.360709103,ixazomib,TRUE
0.1,0.055555556,0.353167267,ixazomib,TRUE
0.1,0.066666667,0.350281023,ixazomib,TRUE
0.1,0.077777778,0.347474313,ixazomib,TRUE
0.1,0.088888889,0.346828381,ixazomib,TRUE
0.111111111,0.088888889,0.346522865,ixazomib,TRUE
0.111111111,0.1,0.34304722,ixazomib,TRUE
0.111111111,0.111111111,0.335254495,ixazomib,TRUE
0.111111111,0.122222222,0.328603353,ixazomib,TRUE
0.111111111,0.133333333,0.320685263,ixazomib,TRUE
0.122222222,0.133333333,0.31558711,ixazomib,TRUE
0.133333333,0.133333333,0.313432604,ixazomib,TRUE
0.144444444,0.133333333,0.312936754,ixazomib,TRUE
0.144444444,0.144444444,0.304107736,ixazomib,TRUE
0.155555556,0.144444444,0.291629042,ixazomib,TRUE
0.155555556,0.155555556,0.289437963,ixazomib,TRUE
0.166666667,0.155555556,0.281484922,ixazomib,TRUE
0.166666667,0.166666667,0.276159769,ixazomib,TRUE
0.177777778,0.166666667,0.267419542,ixazomib,TRUE
0.188888889,0.166666667,0.264831363,ixazomib,TRUE
0.2,0.166666667,0.264290502,ixazomib,TRUE
0.211111111,0.166666667,0.254419287,ixazomib,TRUE
0.222222222,0.166666667,0.250662024,ixazomib,TRUE
0.222222222,0.177777778,0.238186558,ixazomib,TRUE
0.233333333,0.177777778,0.237944106,ixazomib,TRUE
0.244444444,0.177777778,0.224640308,ixazomib,TRUE
0.244444444,0.188888889,0.211201713,ixazomib,TRUE
0.255555556,0.188888889,0.202910245,ixazomib,TRUE
0.266666667,0.188888889,0.189961763,ixazomib,TRUE
0.266666667,0.2,0.175814783,ixazomib,TRUE
0.277777778,0.2,0.160961408,ixazomib,TRUE
0.288888889,0.2,0.16066846,ixazomib,TRUE
0.288888889,0.211111111,0.158113826,ixazomib,TRUE
0.288888889,0.222222222,0.155650645,ixazomib,TRUE
0.3,0.222222222,0.154704941,ixazomib,TRUE
0.311111111,0.222222222,0.154394567,ixazomib,TRUE
0.322222222,0.222222222,0.148655148,ixazomib,TRUE
0.333333333,0.222222222,0.145463303,ixazomib,TRUE
0.344444444,0.222222222,0.145301548,ixazomib,TRUE
0.344444444,0.233333333,0.14177065,ixazomib,TRUE
0.355555556,0.233333333,0.133163331,ixazomib,TRUE
