Metadata_model_split	Metadata_Plate	metric	metric_value	dataset	shuffle
inference	MutClones	accuracy	0.8596491228070176	bortezomib	False
inference	WTClones	accuracy	0.9166666666666666	bortezomib	False
test	219907	accuracy	0.5555555555555556	bortezomib	False
test	219956	accuracy	0.7142857142857143	bortezomib	False
test	219973	accuracy	0.9	bortezomib	False
test	220039	accuracy	0.9	bortezomib	False
training	219907	accuracy	0.6274509803921569	bortezomib	False
training	219956	accuracy	0.8490566037735849	bortezomib	False
training	219973	accuracy	0.86	bortezomib	False
training	220039	accuracy	0.76	bortezomib	False
validation	219901	accuracy	0.5833333333333334	bortezomib	False
inference	MutClones	avg_precision	0.9585964912280701	bortezomib	False
inference	WTClones	avg_precision		bortezomib	False
test	219907	avg_precision	0.4861111111111111	bortezomib	False
test	219956	avg_precision	0.2857142857142857	bortezomib	False
test	219973	avg_precision	0.8571428571428571	bortezomib	False
test	220039	avg_precision	0.9	bortezomib	False
training	219907	avg_precision	0.5514705882352942	bortezomib	False
training	219956	avg_precision	0.7832521252332573	bortezomib	False
training	219973	avg_precision	0.7624242424242424	bortezomib	False
training	220039	avg_precision	0.6613204508856683	bortezomib	False
validation	219901	avg_precision	0.5173160173160173	bortezomib	False
