Metadata_model_split	Metadata_clone_number	metric	metric_value	dataset	shuffle	permutation
holdout	BZ001	accuracy	0.5	bortezomib	True	0
holdout	BZ002	accuracy	0.5	bortezomib	True	0
holdout	BZ003	accuracy	0.5	bortezomib	True	0
holdout	BZ004	accuracy	0.5	bortezomib	True	0
holdout	BZ005	accuracy	0.5	bortezomib	True	0
holdout	CloneA	accuracy	0.75	bortezomib	True	0
holdout	CloneE	accuracy	0.25	bortezomib	True	0
holdout	WT clone 01	accuracy	0.25	bortezomib	True	0
holdout	WT clone 02	accuracy	0.5	bortezomib	True	0
holdout	WT clone 03	accuracy	0.75	bortezomib	True	0
holdout	WT clone 04	accuracy	0.5	bortezomib	True	0
holdout	WT clone 05	accuracy	0.5	bortezomib	True	0
holdout	WT_parental	accuracy	0.5	bortezomib	True	0
inference	BZ001	accuracy	0.6666666666666666	bortezomib	True	0
inference	BZ002	accuracy	0.6666666666666666	bortezomib	True	0
inference	BZ003	accuracy	0.6666666666666666	bortezomib	True	0
inference	BZ004	accuracy	0.0	bortezomib	True	0
inference	BZ005	accuracy	0.6666666666666666	bortezomib	True	0
inference	BZ006	accuracy	0.6666666666666666	bortezomib	True	0
inference	BZ007	accuracy	0.3333333333333333	bortezomib	True	0
inference	BZ008	accuracy	0.3333333333333333	bortezomib	True	0
inference	BZ009	accuracy	0.3333333333333333	bortezomib	True	0
inference	BZ010	accuracy	0.3333333333333333	bortezomib	True	0
inference	BZ011	accuracy	1.0	bortezomib	True	0
inference	BZ012	accuracy	0.3333333333333333	bortezomib	True	0
inference	BZ013	accuracy	0.0	bortezomib	True	0
inference	BZ014	accuracy	0.3333333333333333	bortezomib	True	0
inference	BZ015	accuracy	0.6666666666666666	bortezomib	True	0
inference	BZ016	accuracy	0.3333333333333333	bortezomib	True	0
inference	BZ017	accuracy	0.3333333333333333	bortezomib	True	0
inference	BZ018	accuracy	0.3333333333333333	bortezomib	True	0
inference	WT001	accuracy	0.3333333333333333	bortezomib	True	0
inference	WT002	accuracy	0.6666666666666666	bortezomib	True	0
inference	WT003	accuracy	0.6666666666666666	bortezomib	True	0
inference	WT004	accuracy	1.0	bortezomib	True	0
inference	WT005	accuracy	0.6666666666666666	bortezomib	True	0
inference	WT006	accuracy	0.3333333333333333	bortezomib	True	0
inference	WT007	accuracy	0.3333333333333333	bortezomib	True	0
inference	WT008	accuracy	0.6666666666666666	bortezomib	True	0
inference	WT009	accuracy	0.3333333333333333	bortezomib	True	0
inference	WT010	accuracy	0.3333333333333333	bortezomib	True	0
inference	WT011	accuracy	0.6666666666666666	bortezomib	True	0
