Metadata_model_split	Metadata_clone_number	metric	metric_value	dataset	shuffle
training	WT clone 02	avg_precision		bortezomib	False
training	WT clone 03	avg_precision		bortezomib	False
training	WT clone 04	avg_precision		bortezomib	False
training	WT clone 05	avg_precision		bortezomib	False
validation	BZ001	avg_precision	1.0	bortezomib	False
validation	BZ002	avg_precision	1.0	bortezomib	False
validation	BZ003	avg_precision	1.0	bortezomib	False
validation	BZ004	avg_precision	1.0	bortezomib	False
validation	BZ005	avg_precision	1.0	bortezomib	False
validation	WT clone 01	avg_precision		bortezomib	False
validation	WT clone 02	avg_precision		bortezomib	False
validation	WT clone 03	avg_precision		bortezomib	False
validation	WT clone 04	avg_precision		bortezomib	False
validation	WT clone 05	avg_precision		bortezomib	False
