Metadata_model_split	metric	metric_value	dataset	shuffle	permutation
holdout	accuracy	0.6166666666666667	bortezomib	True	0
inference	accuracy	0.42857142857142855	bortezomib	True	0
test	accuracy	0.4583333333333333	bortezomib	True	0
training	accuracy	0.4950980392156863	bortezomib	True	0
validation	accuracy	0.4722222222222222	bortezomib	True	0
holdout	avg_precision	0.5406926406926408	bortezomib	True	0
inference	avg_precision	0.484021164021164	bortezomib	True	0
test	avg_precision	0.37953216374269005	bortezomib	True	0
training	avg_precision	0.49757481940144477	bortezomib	True	0
validation	avg_precision	0.4869281045751634	bortezomib	True	0
holdout	accuracy	0.55	bortezomib	True	1
inference	accuracy	0.5142857142857142	bortezomib	True	1
test	accuracy	0.4	bortezomib	True	1
training	accuracy	0.5	bortezomib	True	1
validation	accuracy	0.4444444444444444	bortezomib	True	1
holdout	avg_precision	0.49026915113871633	bortezomib	True	1
inference	avg_precision	0.5218487394957982	bortezomib	True	1
test	avg_precision	0.36297043010752694	bortezomib	True	1
training	avg_precision	0.5	bortezomib	True	1
validation	avg_precision	0.4756944444444445	bortezomib	True	1
holdout	accuracy	0.45	bortezomib	True	2
inference	accuracy	0.5428571428571428	bortezomib	True	2
test	accuracy	0.43333333333333335	bortezomib	True	2
training	accuracy	0.5441176470588235	bortezomib	True	2
validation	accuracy	0.5555555555555556	bortezomib	True	2
holdout	avg_precision	0.4440065681444991	bortezomib	True	2
inference	avg_precision	0.5368386243386243	bortezomib	True	2
test	avg_precision	0.36923076923076925	bortezomib	True	2
training	avg_precision	0.5240244612696564	bortezomib	True	2
validation	avg_precision	0.5317460317460317	bortezomib	True	2
holdout	accuracy	0.55	bortezomib	True	3
inference	accuracy	0.5333333333333333	bortezomib	True	3
test	accuracy	0.5	bortezomib	True	3
training	accuracy	0.44607843137254904	bortezomib	True	3
validation	accuracy	0.4722222222222222	bortezomib	True	3
holdout	avg_precision	0.49376026272578	bortezomib	True	3
inference	avg_precision	0.5319456923230508	bortezomib	True	3
test	avg_precision	0.3935897435897436	bortezomib	True	3
training	avg_precision	0.47609662421669696	bortezomib	True	3
validation	avg_precision	0.48677248677248675	bortezomib	True	3
holdout	accuracy	0.5166666666666667	bortezomib	True	4
inference	accuracy	0.5142857142857142	bortezomib	True	4
test	accuracy	0.43333333333333335	bortezomib	True	4
training	accuracy	0.4803921568627451	bortezomib	True	4
validation	accuracy	0.5	bortezomib	True	4
holdout	avg_precision	0.47588325652841784	bortezomib	True	4
inference	avg_precision	0.5212602212602212	bortezomib	True	4
test	avg_precision	0.3705357142857143	bortezomib	True	4
training	avg_precision	0.490613266583229	bortezomib	True	4
validation	avg_precision	0.5	bortezomib	True	4
holdout	accuracy	0.5333333333333333	bortezomib	True	5
inference	accuracy	0.5142857142857142	bortezomib	True	5
test	accuracy	0.49166666666666664	bortezomib	True	5
training	accuracy	0.4950980392156863	bortezomib	True	5
validation	accuracy	0.4166666666666667	bortezomib	True	5
holdout	avg_precision	0.4869047619047619	bortezomib	True	5
inference	avg_precision	0.5224473713835416	bortezomib	True	5
test	avg_precision	0.3951271186440678	bortezomib	True	5
training	avg_precision	0.49757537423571585	bortezomib	True	5
validation	avg_precision	0.4649122807017544	bortezomib	True	5
holdout	accuracy	0.4666666666666667	bortezomib	True	6
inference	accuracy	0.5142857142857142	bortezomib	True	6
test	accuracy	0.55	bortezomib	True	6
training	accuracy	0.45588235294117646	bortezomib	True	6
validation	accuracy	0.6111111111111112	bortezomib	True	6
holdout	avg_precision	0.45396825396825397	bortezomib	True	6
inference	avg_precision	0.5212602212602212	bortezomib	True	6
test	avg_precision	0.41833333333333333	bortezomib	True	6
training	avg_precision	0.48007590132827327	bortezomib	True	6
validation	avg_precision	0.5679012345679013	bortezomib	True	6
holdout	accuracy	0.48333333333333334	bortezomib	True	7
inference	accuracy	0.45714285714285713	bortezomib	True	7
test	accuracy	0.55	bortezomib	True	7
training	accuracy	0.4215686274509804	bortezomib	True	7
validation	accuracy	0.5555555555555556	bortezomib	True	7
holdout	avg_precision	0.45714285714285713	bortezomib	True	7
inference	avg_precision	0.49427609427609426	bortezomib	True	7
test	avg_precision	0.4222222222222222	bortezomib	True	7
training	avg_precision	0.46718687474989995	bortezomib	True	7
validation	avg_precision	0.5308641975308642	bortezomib	True	7
holdout	accuracy	0.4	bortezomib	True	8
inference	accuracy	0.5047619047619047	bortezomib	True	8
test	accuracy	0.5166666666666667	bortezomib	True	8
training	accuracy	0.47549019607843135	bortezomib	True	8
validation	accuracy	0.3611111111111111	bortezomib	True	8
holdout	avg_precision	0.42793040293040296	bortezomib	True	8
inference	avg_precision	0.5162037037037037	bortezomib	True	8
test	avg_precision	0.4086805555555556	bortezomib	True	8
training	avg_precision	0.48840396373603207	bortezomib	True	8
validation	avg_precision	0.4509803921568628	bortezomib	True	8
