column_match_pair_a,Metadata_CellLine_pair_a,Metadata_Dosage_pair_a,row_match,pairwise_correlation,column_match_pair_b,Metadata_CellLine_pair_b,Metadata_Dosage_pair_b
6,CloneE,0.0,3,0.437946640262406,3,CloneA,0.0
7,CloneE,0.0,3,0.6063211739286266,3,CloneA,0.0
8,CloneE,0.0,3,-0.052579812674914274,3,CloneA,0.0
9,WT,0.7,3,-0.16670138973446075,3,CloneA,0.0
10,WT,0.7,3,0.1451884689721304,3,CloneA,0.0
11,WT,0.7,3,-0.20844527080791053,3,CloneA,0.0
12,CloneA,0.7,3,0.22271414298759926,3,CloneA,0.0
13,CloneA,0.7,3,0.248516403901747,3,CloneA,0.0
14,CloneA,0.7,3,0.8228614640318009,3,CloneA,0.0
15,CloneE,0.7,3,0.5107419605689278,3,CloneA,0.0
16,CloneE,0.7,3,-0.0873900923733131,3,CloneA,0.0
17,CloneE,0.7,3,-0.28570390766936116,3,CloneA,0.0
18,WT,7.0,3,-0.2217259727432087,3,CloneA,0.0
19,WT,7.0,3,-0.198052551006215,3,CloneA,0.0
20,WT,7.0,3,-0.11868285161602152,3,CloneA,0.0
21,CloneA,7.0,3,-0.09070805013621,3,CloneA,0.0
22,CloneA,7.0,3,-0.26850479272656586,3,CloneA,0.0
23,CloneA,7.0,3,-0.22094032366791866,3,CloneA,0.0
24,CloneE,7.0,3,-0.3210083758484685,3,CloneA,0.0
25,CloneE,7.0,3,-0.5646531848513381,3,CloneA,0.0
26,CloneE,7.0,3,-0.6212197128122099,3,CloneA,0.0
27,WT,70.0,3,-0.13441015803266013,3,CloneA,0.0
28,WT,70.0,3,-0.12984901340478555,3,CloneA,0.0
29,WT,70.0,3,-0.19152720560391764,3,CloneA,0.0
30,CloneA,70.0,3,-0.05118877014961682,3,CloneA,0.0
31,CloneA,70.0,3,-0.31471705915822407,3,CloneA,0.0
32,CloneA,70.0,3,-0.33110853744367735,3,CloneA,0.0
33,CloneE,70.0,3,-0.300588673211541,3,CloneA,0.0
34,CloneE,70.0,3,-0.28830408964085225,3,CloneA,0.0
35,CloneE,70.0,3,-0.393754768617967,3,CloneA,0.0
5,CloneA,0.0,4,0.8616328612439176,4,CloneA,0.0
6,CloneE,0.0,4,0.5791734173856583,4,CloneA,0.0
7,CloneE,0.0,4,0.6834092065549419,4,CloneA,0.0
8,CloneE,0.0,4,0.22312523811271168,4,CloneA,0.0
9,WT,0.7,4,-0.14845607012611944,4,CloneA,0.0
10,WT,0.7,4,0.12480170346071734,4,CloneA,0.0
11,WT,0.7,4,-0.2077273078279658,4,CloneA,0.0
12,CloneA,0.7,4,0.2721713774392916,4,CloneA,0.0
13,CloneA,0.7,4,0.33530343950869634,4,CloneA,0.0
14,CloneA,0.7,4,0.8167289346610758,4,CloneA,0.0
15,CloneE,0.7,4,0.6675310525801288,4,CloneA,0.0
16,CloneE,0.7,4,0.003453217752515368,4,CloneA,0.0
17,CloneE,0.7,4,-0.041665664241906326,4,CloneA,0.0
18,WT,7.0,4,-0.4335792946831342,4,CloneA,0.0
19,WT,7.0,4,-0.4338606233677448,4,CloneA,0.0
20,WT,7.0,4,-0.32489327468829016,4,CloneA,0.0
21,CloneA,7.0,4,-0.026780178379842704,4,CloneA,0.0
22,CloneA,7.0,4,-0.15449144406278212,4,CloneA,0.0
23,CloneA,7.0,4,-0.07498566853894643,4,CloneA,0.0
24,CloneE,7.0,4,-0.1952692702173043,4,CloneA,0.0
25,CloneE,7.0,4,-0.4693901799232223,4,CloneA,0.0
26,CloneE,7.0,4,-0.4202098387706901,4,CloneA,0.0
27,WT,70.0,4,-0.3294683284272789,4,CloneA,0.0
28,WT,70.0,4,-0.3449901339394892,4,CloneA,0.0
29,WT,70.0,4,-0.4107573417798284,4,CloneA,0.0
30,CloneA,70.0,4,-0.2006406910539267,4,CloneA,0.0
31,CloneA,70.0,4,-0.45911899962243385,4,CloneA,0.0
32,CloneA,70.0,4,-0.44948169125056947,4,CloneA,0.0
33,CloneE,70.0,4,-0.42786791272581065,4,CloneA,0.0
34,CloneE,70.0,4,-0.3487534882730607,4,CloneA,0.0
35,CloneE,70.0,4,-0.42432609365593604,4,CloneA,0.0
6,CloneE,0.0,5,0.7234973500822496,5,CloneA,0.0
7,CloneE,0.0,5,0.7657789935213722,5,CloneA,0.0
8,CloneE,0.0,5,0.3878582762033904,5,CloneA,0.0
9,WT,0.7,5,-0.29851090294730653,5,CloneA,0.0
