features	dataset
Cytoplasm_AreaShape_Zernike_3_1	bortezomib
Cytoplasm_AreaShape_Zernike_3_3	bortezomib
Cytoplasm_AreaShape_Zernike_4_0	bortezomib
Cytoplasm_AreaShape_Zernike_4_2	bortezomib
Cytoplasm_AreaShape_Zernike_4_4	bortezomib
Cytoplasm_AreaShape_Zernike_5_1	bortezomib
Cytoplasm_AreaShape_Zernike_5_3	bortezomib
Cytoplasm_AreaShape_Zernike_5_5	bortezomib
Cytoplasm_AreaShape_Zernike_6_0	bortezomib
Cytoplasm_AreaShape_Zernike_6_2	bortezomib
Cytoplasm_AreaShape_Zernike_6_4	bortezomib
Cytoplasm_AreaShape_Zernike_6_6	bortezomib
Cytoplasm_AreaShape_Zernike_7_1	bortezomib
Cytoplasm_AreaShape_Zernike_7_3	bortezomib
Cytoplasm_AreaShape_Zernike_7_5	bortezomib
Cytoplasm_AreaShape_Zernike_7_7	bortezomib
Cytoplasm_AreaShape_Zernike_8_0	bortezomib
Cytoplasm_AreaShape_Zernike_8_2	bortezomib
Cytoplasm_AreaShape_Zernike_8_4	bortezomib
Cytoplasm_AreaShape_Zernike_8_6	bortezomib
Cytoplasm_AreaShape_Zernike_8_8	bortezomib
Cytoplasm_AreaShape_Zernike_9_1	bortezomib
Cytoplasm_AreaShape_Zernike_9_3	bortezomib
Cytoplasm_AreaShape_Zernike_9_5	bortezomib
Cytoplasm_AreaShape_Zernike_9_7	bortezomib
Cytoplasm_AreaShape_Zernike_9_9	bortezomib
Cytoplasm_Correlation_Correlation_DNA_AGP	bortezomib
Cytoplasm_Correlation_Correlation_DNA_ER	bortezomib
Cytoplasm_Correlation_Correlation_DNA_Mito	bortezomib
Cytoplasm_Correlation_Correlation_DNA_RNA	bortezomib
Cytoplasm_Correlation_Correlation_ER_AGP	bortezomib
Cytoplasm_Correlation_Correlation_ER_RNA	bortezomib
Cytoplasm_Correlation_Correlation_RNA_AGP	bortezomib
Cytoplasm_Correlation_K_AGP_DNA	bortezomib
Cytoplasm_Correlation_K_AGP_Mito	bortezomib
Cytoplasm_Correlation_K_DNA_AGP	bortezomib
Cytoplasm_Correlation_K_DNA_ER	bortezomib
Cytoplasm_Correlation_K_DNA_Mito	bortezomib
Cytoplasm_Correlation_K_DNA_RNA	bortezomib
Cytoplasm_Correlation_K_ER_DNA	bortezomib
Cytoplasm_Correlation_K_ER_Mito	bortezomib
Cytoplasm_Correlation_K_Mito_AGP	bortezomib
Cytoplasm_Correlation_K_Mito_DNA	bortezomib
Cytoplasm_Correlation_K_Mito_ER	bortezomib
Cytoplasm_Correlation_K_Mito_RNA	bortezomib
Cytoplasm_Correlation_K_RNA_DNA	bortezomib
Cytoplasm_Correlation_K_RNA_Mito	bortezomib
Cytoplasm_Correlation_Manders_AGP_RNA	bortezomib
Cytoplasm_Correlation_Manders_DNA_AGP	bortezomib
Cytoplasm_Correlation_Manders_DNA_ER	bortezomib
Cytoplasm_Correlation_Manders_DNA_Mito	bortezomib
Cytoplasm_Correlation_Manders_DNA_RNA	bortezomib
Cytoplasm_Correlation_Manders_ER_AGP	bortezomib
Cytoplasm_Correlation_Manders_ER_DNA	bortezomib
Cytoplasm_Correlation_Manders_ER_RNA	bortezomib
Cytoplasm_Correlation_Manders_Mito_AGP	bortezomib
Cytoplasm_Correlation_Manders_Mito_DNA	bortezomib
Cytoplasm_Correlation_Manders_RNA_AGP	bortezomib
Cytoplasm_Correlation_Manders_RNA_DNA	bortezomib
Cytoplasm_Correlation_Overlap_DNA_AGP	bortezomib
Cytoplasm_Correlation_Overlap_DNA_ER	bortezomib
Cytoplasm_Correlation_Overlap_DNA_Mito	bortezomib
Cytoplasm_Correlation_Overlap_DNA_RNA	bortezomib
Cytoplasm_Correlation_Overlap_ER_AGP	bortezomib
Cytoplasm_Correlation_Overlap_ER_RNA	bortezomib
Cytoplasm_Correlation_Overlap_Mito_RNA	bortezomib
Cytoplasm_Correlation_Overlap_RNA_AGP	bortezomib
Cytoplasm_Correlation_RWC_AGP_DNA	bortezomib
Cytoplasm_Correlation_RWC_AGP_ER	bortezomib
Cytoplasm_Correlation_RWC_AGP_Mito	bortezomib
Cytoplasm_Correlation_RWC_AGP_RNA	bortezomib
Cytoplasm_Correlation_RWC_DNA_AGP	bortezomib
Cytoplasm_Correlation_RWC_DNA_ER	bortezomib
Cytoplasm_Correlation_RWC_DNA_Mito	bortezomib
Cytoplasm_Correlation_RWC_DNA_RNA	bortezomib
Cytoplasm_Correlation_RWC_ER_AGP	bortezomib
Cytoplasm_Correlation_RWC_ER_DNA	bortezomib
Cytoplasm_Correlation_RWC_ER_Mito	bortezomib
Cytoplasm_Correlation_RWC_ER_RNA	bortezomib
Cytoplasm_Correlation_RWC_Mito_AGP	bortezomib
Cytoplasm_Correlation_RWC_Mito_DNA	bortezomib
Cytoplasm_Correlation_RWC_Mito_ER	bortezomib
Cytoplasm_Correlation_RWC_Mito_RNA	bortezomib
Cytoplasm_Correlation_RWC_RNA_AGP	bortezomib
Cytoplasm_Correlation_RWC_RNA_DNA	bortezomib
Cytoplasm_Correlation_RWC_RNA_ER	bortezomib
Cytoplasm_Correlation_RWC_RNA_Mito	bortezomib
Cytoplasm_Granularity_10_Mito	bortezomib
Cytoplasm_Granularity_11_ER	bortezomib
Cytoplasm_Granularity_11_Mito	bortezomib
Cytoplasm_Granularity_12_ER	bortezomib
Cytoplasm_Granularity_12_Mito	bortezomib
Cytoplasm_Granularity_12_RNA	bortezomib
Cytoplasm_Granularity_13_ER	bortezomib
Cytoplasm_Granularity_13_Mito	bortezomib
Cytoplasm_Granularity_13_RNA	bortezomib
Cytoplasm_Granularity_1_ER	bortezomib
Cytoplasm_Granularity_1_Mito	bortezomib
Cytoplasm_Granularity_2_AGP	bortezomib
Cytoplasm_Granularity_2_ER	bortezomib
Cytoplasm_Granularity_2_Mito	bortezomib
Cytoplasm_Granularity_2_RNA	bortezomib
Cytoplasm_Granularity_3_AGP	bortezomib
Cytoplasm_Granularity_3_ER	bortezomib
Cytoplasm_Granularity_3_Mito	bortezomib
Cytoplasm_Granularity_3_RNA	bortezomib
Cytoplasm_Granularity_4_AGP	bortezomib
Cytoplasm_Granularity_4_ER	bortezomib
Cytoplasm_Granularity_4_Mito	bortezomib
Cytoplasm_Granularity_4_RNA	bortezomib
Cytoplasm_Intensity_IntegratedIntensityEdge_AGP	bortezomib
Cytoplasm_Intensity_IntegratedIntensityEdge_DNA	bortezomib
Cytoplasm_Intensity_IntegratedIntensityEdge_Mito	bortezomib
Cytoplasm_Intensity_IntegratedIntensityEdge_RNA	bortezomib
Cytoplasm_Intensity_IntegratedIntensity_AGP	bortezomib
Cytoplasm_Intensity_IntegratedIntensity_DNA	bortezomib
Cytoplasm_Intensity_IntegratedIntensity_ER	bortezomib
Cytoplasm_Intensity_IntegratedIntensity_Mito	bortezomib
Cytoplasm_Intensity_IntegratedIntensity_RNA	bortezomib
Cytoplasm_Intensity_LowerQuartileIntensity_AGP	bortezomib
Cytoplasm_Intensity_LowerQuartileIntensity_Mito	bortezomib
Cytoplasm_Intensity_MADIntensity_DNA	bortezomib
Cytoplasm_Intensity_MADIntensity_ER	bortezomib
Cytoplasm_Intensity_MADIntensity_Mito	bortezomib
Cytoplasm_Intensity_MassDisplacement_AGP	bortezomib
Cytoplasm_Intensity_MassDisplacement_DNA	bortezomib
Cytoplasm_Intensity_MassDisplacement_ER	bortezomib
Cytoplasm_Intensity_MassDisplacement_Mito	bortezomib
Cytoplasm_Intensity_MassDisplacement_RNA	bortezomib
Cytoplasm_Intensity_MaxIntensity_Mito	bortezomib
Cytoplasm_Intensity_MeanIntensityEdge_AGP	bortezomib
Cytoplasm_Intensity_MeanIntensityEdge_ER	bortezomib
Cytoplasm_Intensity_MedianIntensity_AGP	bortezomib
Cytoplasm_Intensity_MedianIntensity_Mito	bortezomib
Cytoplasm_Intensity_MinIntensityEdge_Mito	bortezomib
Cytoplasm_Intensity_MinIntensity_AGP	bortezomib
Cytoplasm_Intensity_MinIntensity_ER	bortezomib
Cytoplasm_Intensity_MinIntensity_RNA	bortezomib
Cytoplasm_Intensity_UpperQuartileIntensity_DNA	bortezomib
Cytoplasm_Location_MaxIntensity_X_Mito	bortezomib
Cytoplasm_Location_MaxIntensity_Y_DNA	bortezomib
Cytoplasm_RadialDistribution_FracAtD_AGP_1of4	bortezomib
Cytoplasm_RadialDistribution_FracAtD_AGP_4of4	bortezomib
Cytoplasm_RadialDistribution_FracAtD_DNA_1of4	bortezomib
Cytoplasm_RadialDistribution_FracAtD_DNA_4of4	bortezomib
Cytoplasm_RadialDistribution_FracAtD_Mito_1of4	bortezomib
Cytoplasm_RadialDistribution_FracAtD_Mito_3of4	bortezomib
Cytoplasm_RadialDistribution_FracAtD_Mito_4of4	bortezomib
Cytoplasm_RadialDistribution_FracAtD_RNA_1of4	bortezomib
Cytoplasm_RadialDistribution_MeanFrac_AGP_1of4	bortezomib
Cytoplasm_RadialDistribution_MeanFrac_AGP_3of4	bortezomib
Cytoplasm_RadialDistribution_MeanFrac_AGP_4of4	bortezomib
Cytoplasm_RadialDistribution_MeanFrac_DNA_2of4	bortezomib
Cytoplasm_RadialDistribution_MeanFrac_DNA_4of4	bortezomib
Cytoplasm_RadialDistribution_MeanFrac_ER_1of4	bortezomib
Cytoplasm_RadialDistribution_MeanFrac_ER_3of4	bortezomib
Cytoplasm_RadialDistribution_MeanFrac_ER_4of4	bortezomib
Cytoplasm_RadialDistribution_MeanFrac_Mito_1of4	bortezomib
Cytoplasm_RadialDistribution_MeanFrac_Mito_3of4	bortezomib
Cytoplasm_RadialDistribution_MeanFrac_Mito_4of4	bortezomib
Cytoplasm_RadialDistribution_MeanFrac_RNA_1of4	bortezomib
Cytoplasm_RadialDistribution_MeanFrac_RNA_4of4	bortezomib
Cytoplasm_RadialDistribution_RadialCV_AGP_1of4	bortezomib
Cytoplasm_RadialDistribution_RadialCV_DNA_1of4	bortezomib
Cytoplasm_RadialDistribution_RadialCV_DNA_4of4	bortezomib
Cytoplasm_RadialDistribution_RadialCV_ER_1of4	bortezomib
Cytoplasm_RadialDistribution_RadialCV_ER_4of4	bortezomib
Cytoplasm_RadialDistribution_RadialCV_Mito_1of4	bortezomib
Cytoplasm_RadialDistribution_RadialCV_Mito_4of4	bortezomib
Cytoplasm_RadialDistribution_RadialCV_RNA_1of4	bortezomib
Cytoplasm_RadialDistribution_RadialCV_RNA_4of4	bortezomib
Cytoplasm_Texture_AngularSecondMoment_AGP_20_01	bortezomib
Cytoplasm_Texture_AngularSecondMoment_DNA_5_00	bortezomib
Cytoplasm_Texture_AngularSecondMoment_ER_20_00	bortezomib
Cytoplasm_Texture_AngularSecondMoment_ER_5_00	bortezomib
Cytoplasm_Texture_AngularSecondMoment_Mito_20_00	bortezomib
Cytoplasm_Texture_AngularSecondMoment_Mito_5_02	bortezomib
Cytoplasm_Texture_AngularSecondMoment_RNA_20_00	bortezomib
Cytoplasm_Texture_Contrast_DNA_20_03	bortezomib
Cytoplasm_Texture_Correlation_AGP_10_01	bortezomib
Cytoplasm_Texture_Correlation_AGP_10_02	bortezomib
Cytoplasm_Texture_Correlation_AGP_10_03	bortezomib
Cytoplasm_Texture_Correlation_AGP_20_00	bortezomib
Cytoplasm_Texture_Correlation_AGP_20_01	bortezomib
Cytoplasm_Texture_Correlation_AGP_20_02	bortezomib
Cytoplasm_Texture_Correlation_AGP_20_03	bortezomib
Cytoplasm_Texture_Correlation_AGP_5_02	bortezomib
Cytoplasm_Texture_Correlation_DNA_10_00	bortezomib
Cytoplasm_Texture_Correlation_DNA_10_01	bortezomib
Cytoplasm_Texture_Correlation_DNA_10_02	bortezomib
Cytoplasm_Texture_Correlation_DNA_10_03	bortezomib
Cytoplasm_Texture_Correlation_DNA_20_00	bortezomib
Cytoplasm_Texture_Correlation_DNA_20_01	bortezomib
Cytoplasm_Texture_Correlation_DNA_20_02	bortezomib
Cytoplasm_Texture_Correlation_DNA_20_03	bortezomib
Cytoplasm_Texture_Correlation_DNA_5_00	bortezomib
Cytoplasm_Texture_Correlation_ER_20_00	bortezomib
Cytoplasm_Texture_Correlation_ER_20_01	bortezomib
Cytoplasm_Texture_Correlation_ER_20_02	bortezomib
Cytoplasm_Texture_Correlation_ER_20_03	bortezomib
Cytoplasm_Texture_Correlation_Mito_10_01	bortezomib
Cytoplasm_Texture_Correlation_Mito_10_03	bortezomib
Cytoplasm_Texture_Correlation_Mito_20_00	bortezomib
Cytoplasm_Texture_Correlation_Mito_20_01	bortezomib
Cytoplasm_Texture_Correlation_Mito_20_02	bortezomib
Cytoplasm_Texture_Correlation_Mito_20_03	bortezomib
Cytoplasm_Texture_Correlation_Mito_5_02	bortezomib
Cytoplasm_Texture_Correlation_RNA_20_00	bortezomib
Cytoplasm_Texture_Correlation_RNA_20_01	bortezomib
Cytoplasm_Texture_Correlation_RNA_20_02	bortezomib
Cytoplasm_Texture_Correlation_RNA_20_03	bortezomib
Cytoplasm_Texture_DifferenceEntropy_ER_20_03	bortezomib
Cytoplasm_Texture_DifferenceVariance_DNA_20_03	bortezomib
Cytoplasm_Texture_DifferenceVariance_ER_20_03	bortezomib
Cytoplasm_Texture_DifferenceVariance_Mito_20_01	bortezomib
Cytoplasm_Texture_Entropy_AGP_20_01	bortezomib
Cytoplasm_Texture_Entropy_ER_20_00	bortezomib
Cytoplasm_Texture_Entropy_ER_20_01	bortezomib
Cytoplasm_Texture_Entropy_Mito_20_00	bortezomib
Cytoplasm_Texture_Entropy_RNA_20_03	bortezomib
Cytoplasm_Texture_InfoMeas1_AGP_10_00	bortezomib
Cytoplasm_Texture_InfoMeas1_AGP_5_00	bortezomib
Cytoplasm_Texture_InfoMeas1_AGP_5_01	bortezomib
Cytoplasm_Texture_InfoMeas1_DNA_10_00	bortezomib
Cytoplasm_Texture_InfoMeas1_DNA_20_02	bortezomib
Cytoplasm_Texture_InfoMeas1_DNA_5_02	bortezomib
Cytoplasm_Texture_InfoMeas1_DNA_5_03	bortezomib
