column_match_pair_a,Metadata_clone_number_pair_a,Metadata_treatment_pair_a,row_match,pairwise_correlation,column_match_pair_b,Metadata_clone_number_pair_b,Metadata_treatment_pair_b
1,WT002,DMSO,0,0.4778670137137259,0,BZ017,DMSO
2,WT008,DMSO,0,-0.08928215870861828,0,BZ017,DMSO
3,WT009,DMSO,0,0.16043587000355253,0,BZ017,DMSO
4,BZ018,DMSO,0,-0.07866629069939389,0,BZ017,DMSO
5,WT_parental,DMSO,0,0.003016739745878198,0,BZ017,DMSO
6,WT011,DMSO,0,0.004934316193901199,0,BZ017,DMSO
7,BZ001,DMSO,0,-0.09238509681947493,0,BZ017,DMSO
8,BZ008,DMSO,0,0.217435106830719,0,BZ017,DMSO
9,WT_parental,DMSO,0,-0.034927227058883355,0,BZ017,DMSO
10,BZ017,DMSO,0,0.5734165142389324,0,BZ017,DMSO
11,BZ008,DMSO,0,0.4410434281247219,0,BZ017,DMSO
12,BZ001,DMSO,0,0.10465411742507709,0,BZ017,DMSO
13,WT011,DMSO,0,0.15493185242001734,0,BZ017,DMSO
14,BZ018,DMSO,0,-0.21695403655490939,0,BZ017,DMSO
15,WT_parental,DMSO,0,0.018662097915725796,0,BZ017,DMSO
16,WT009,DMSO,0,-0.10514267490498641,0,BZ017,DMSO
17,WT008,DMSO,0,-0.2789406348674946,0,BZ017,DMSO
18,WT002,DMSO,0,0.20940303559636134,0,BZ017,DMSO
19,WT_parental,DMSO,0,-0.149477086986915,0,BZ017,DMSO
20,BZ017,DMSO,0,0.5875785925646022,0,BZ017,DMSO
21,WT002,DMSO,0,0.37691600061427316,0,BZ017,DMSO
22,WT008,DMSO,0,-0.14805549331139717,0,BZ017,DMSO
23,WT009,DMSO,0,-0.019914828404040394,0,BZ017,DMSO
24,BZ018,DMSO,0,-0.27989353506665887,0,BZ017,DMSO
25,WT_parental,DMSO,0,-0.12754102074425755,0,BZ017,DMSO
26,WT011,DMSO,0,-0.054004167249923365,0,BZ017,DMSO
27,BZ001,DMSO,0,-0.4109759197604822,0,BZ017,DMSO
28,BZ008,DMSO,0,-0.016038693832049613,0,BZ017,DMSO
29,WT_parental,DMSO,0,-0.1260485036319484,0,BZ017,DMSO
30,WT_parental,DMSO,0,0.44387573647419737,0,BZ017,DMSO
31,BZ017,bortezomib,0,0.20249591214957433,0,BZ017,DMSO
32,WT002,bortezomib,0,0.16378655506245027,0,BZ017,DMSO
33,WT008,bortezomib,0,-0.298131102048491,0,BZ017,DMSO
34,WT009,bortezomib,0,-0.1305386519135559,0,BZ017,DMSO
35,BZ018,bortezomib,0,-0.26453241442551817,0,BZ017,DMSO
36,WT_parental,bortezomib,0,-0.2785653596425847,0,BZ017,DMSO
37,WT011,bortezomib,0,-0.2759267944038916,0,BZ017,DMSO
38,BZ001,bortezomib,0,-0.28517992196152475,0,BZ017,DMSO
39,BZ008,bortezomib,0,-0.029129570364360764,0,BZ017,DMSO
40,WT_parental,DMSO,0,0.4800099980261396,0,BZ017,DMSO
41,BZ017,bortezomib,0,0.06341922561303052,0,BZ017,DMSO
42,BZ008,bortezomib,0,0.011309956822271677,0,BZ017,DMSO
43,BZ001,bortezomib,0,-0.1595622323410939,0,BZ017,DMSO
44,WT011,bortezomib,0,-0.06900197109260804,0,BZ017,DMSO
45,BZ018,bortezomib,0,-0.10366173580349174,0,BZ017,DMSO
46,WT_parental,bortezomib,0,0.08247493895908824,0,BZ017,DMSO
47,WT009,bortezomib,0,-0.28952392215442274,0,BZ017,DMSO
48,WT008,bortezomib,0,-0.4170967035517262,0,BZ017,DMSO
49,WT002,bortezomib,0,-0.07734971556155798,0,BZ017,DMSO
50,WT_parental,DMSO,0,0.4888903762934986,0,BZ017,DMSO
51,BZ017,bortezomib,0,0.09149296567257728,0,BZ017,DMSO
52,WT002,bortezomib,0,0.1682800308731629,0,BZ017,DMSO
53,WT008,bortezomib,0,-0.38467046203918226,0,BZ017,DMSO
54,WT009,bortezomib,0,-0.14738916460248822,0,BZ017,DMSO
55,BZ018,bortezomib,0,-0.2800535969059632,0,BZ017,DMSO
56,WT_parental,bortezomib,0,-0.17951997982353593,0,BZ017,DMSO
57,WT011,bortezomib,0,-0.26115786756512543,0,BZ017,DMSO
58,BZ001,bortezomib,0,-0.2761612696213409,0,BZ017,DMSO
59,BZ008,bortezomib,0,-0.03489055453373086,0,BZ017,DMSO
2,WT008,DMSO,1,0.1212021428497944,1,WT002,DMSO
3,WT009,DMSO,1,0.2553718918067068,1,WT002,DMSO
4,BZ018,DMSO,1,-0.5141116626086862,1,WT002,DMSO
5,WT_parental,DMSO,1,0.17593642858676567,1,WT002,DMSO
6,WT011,DMSO,1,0.16950570216462388,1,WT002,DMSO
7,BZ001,DMSO,1,-0.19590315071320205,1,WT002,DMSO
8,BZ008,DMSO,1,0.2627254648471174,1,WT002,DMSO
9,WT_parental,DMSO,1,-0.011310715435102094,1,WT002,DMSO
10,BZ017,DMSO,1,0.34225473796646405,1,WT002,DMSO
11,BZ008,DMSO,1,0.46739330805192225,1,WT002,DMSO
12,BZ001,DMSO,1,-0.24269949730626575,1,WT002,DMSO
13,WT011,DMSO,1,0.279665421221145,1,WT002,DMSO
14,BZ018,DMSO,1,-0.49699971387859443,1,WT002,DMSO
15,WT_parental,DMSO,1,0.5621212020230139,1,WT002,DMSO
16,WT009,DMSO,1,-0.03570606895328959,1,WT002,DMSO
17,WT008,DMSO,1,0.16324331164263264,1,WT002,DMSO
18,WT002,DMSO,1,0.8051587547712711,1,WT002,DMSO
19,WT_parental,DMSO,1,-0.15907371684432003,1,WT002,DMSO
20,BZ017,DMSO,1,0.07766132253038535,1,WT002,DMSO
21,WT002,DMSO,1,0.8595000517303795,1,WT002,DMSO
22,WT008,DMSO,1,0.11822098219414756,1,WT002,DMSO
23,WT009,DMSO,1,0.01722829853493927,1,WT002,DMSO
24,BZ018,DMSO,1,-0.5833400173229805,1,WT002,DMSO
25,WT_parental,DMSO,1,0.18341473174477027,1,WT002,DMSO
26,WT011,DMSO,1,0.1884515054308743,1,WT002,DMSO
27,BZ001,DMSO,1,-0.4138970427308127,1,WT002,DMSO
28,BZ008,DMSO,1,0.08893494043749259,1,WT002,DMSO
29,WT_parental,DMSO,1,0.034893707770720164,1,WT002,DMSO
30,WT_parental,DMSO,1,0.39493732487305,1,WT002,DMSO
31,BZ017,bortezomib,1,0.05948470745289042,1,WT002,DMSO
32,WT002,bortezomib,1,0.47766534409133415,1,WT002,DMSO
33,WT008,bortezomib,1,-0.07501761171852725,1,WT002,DMSO
34,WT009,bortezomib,1,-0.21068779210952718,1,WT002,DMSO
35,BZ018,bortezomib,1,-0.6448725234030954,1,WT002,DMSO
36,WT_parental,bortezomib,1,-0.25272562902226053,1,WT002,DMSO
37,WT011,bortezomib,1,-0.24991489806361455,1,WT002,DMSO
38,BZ001,bortezomib,1,-0.5283109232862488,1,WT002,DMSO
39,BZ008,bortezomib,1,-0.10022612237228752,1,WT002,DMSO
40,WT_parental,DMSO,1,0.18596893830875577,1,WT002,DMSO
41,BZ017,bortezomib,1,0.03485267917061279,1,WT002,DMSO
42,BZ008,bortezomib,1,-0.16283038850731457,1,WT002,DMSO
43,BZ001,bortezomib,1,-0.5046221181611537,1,WT002,DMSO
44,WT011,bortezomib,1,-0.2543381041981285,1,WT002,DMSO
45,BZ018,bortezomib,1,-0.5230021320641,1,WT002,DMSO
46,WT_parental,bortezomib,1,0.12800538318000773,1,WT002,DMSO
47,WT009,bortezomib,1,-0.27770162051363007,1,WT002,DMSO
48,WT008,bortezomib,1,-0.23783872991118182,1,WT002,DMSO
49,WT002,bortezomib,1,0.22739596774313,1,WT002,DMSO
50,WT_parental,DMSO,1,0.18302170873672213,1,WT002,DMSO
51,BZ017,bortezomib,1,-0.2834236392677164,1,WT002,DMSO
52,WT002,bortezomib,1,0.3769041735582637,1,WT002,DMSO
53,WT008,bortezomib,1,-0.07081876298204486,1,WT002,DMSO
54,WT009,bortezomib,1,-0.23943090740168707,1,WT002,DMSO
55,BZ018,bortezomib,1,-0.7107791829178186,1,WT002,DMSO
56,WT_parental,bortezomib,1,-0.426121480820017,1,WT002,DMSO
57,WT011,bortezomib,1,-0.3690385778486441,1,WT002,DMSO
58,BZ001,bortezomib,1,-0.5896110652300571,1,WT002,DMSO
59,BZ008,bortezomib,1,-0.10152866813932697,1,WT002,DMSO
3,WT009,DMSO,2,0.006687210521260464,2,WT008,DMSO
4,BZ018,DMSO,2,0.05646581192577191,2,WT008,DMSO
5,WT_parental,DMSO,2,0.2303058504167983,2,WT008,DMSO
6,WT011,DMSO,2,0.21707982622919647,2,WT008,DMSO
7,BZ001,DMSO,2,0.3006267585517161,2,WT008,DMSO
8,BZ008,DMSO,2,-0.11934945611977207,2,WT008,DMSO
9,WT_parental,DMSO,2,-0.10832241107427688,2,WT008,DMSO
10,BZ017,DMSO,2,-0.1209228481399452,2,WT008,DMSO
11,BZ008,DMSO,2,0.18506966612869433,2,WT008,DMSO
12,BZ001,DMSO,2,0.21459550272270445,2,WT008,DMSO
13,WT011,DMSO,2,0.06928602573311256,2,WT008,DMSO
14,BZ018,DMSO,2,0.23284235156045405,2,WT008,DMSO
15,WT_parental,DMSO,2,0.3936383823985858,2,WT008,DMSO
16,WT009,DMSO,2,-0.07316209747052597,2,WT008,DMSO
17,WT008,DMSO,2,0.8361394395223356,2,WT008,DMSO
18,WT002,DMSO,2,0.10486813255359922,2,WT008,DMSO
19,WT_parental,DMSO,2,-0.2269803878359642,2,WT008,DMSO
20,BZ017,DMSO,2,0.007195269266732311,2,WT008,DMSO
21,WT002,DMSO,2,0.09644888669876077,2,WT008,DMSO
22,WT008,DMSO,2,0.8549576171077907,2,WT008,DMSO
23,WT009,DMSO,2,0.01102030237015493,2,WT008,DMSO
24,BZ018,DMSO,2,0.18035818613762514,2,WT008,DMSO
25,WT_parental,DMSO,2,0.339249519142588,2,WT008,DMSO
26,WT011,DMSO,2,0.06641017343969993,2,WT008,DMSO
27,BZ001,DMSO,2,0.310458111224067,2,WT008,DMSO
28,BZ008,DMSO,2,-0.1362420938928124,2,WT008,DMSO
29,WT_parental,DMSO,2,0.026257607312541544,2,WT008,DMSO
30,WT_parental,DMSO,2,0.19085298740696252,2,WT008,DMSO
31,BZ017,bortezomib,2,-0.021470997947655168,2,WT008,DMSO
32,WT002,bortezomib,2,-0.2690379189564808,2,WT008,DMSO
33,WT008,bortezomib,2,0.6330593839040686,2,WT008,DMSO
34,WT009,bortezomib,2,-0.5580054263438552,2,WT008,DMSO
35,BZ018,bortezomib,2,0.1050007936079473,2,WT008,DMSO
36,WT_parental,bortezomib,2,-0.34524801887224194,2,WT008,DMSO
37,WT011,bortezomib,2,-0.18814037952766227,2,WT008,DMSO
38,BZ001,bortezomib,2,-0.17488899267626024,2,WT008,DMSO
39,BZ008,bortezomib,2,-0.34324842082359475,2,WT008,DMSO
40,WT_parental,DMSO,2,-0.04620402412501554,2,WT008,DMSO
41,BZ017,bortezomib,2,-0.03297306369582928,2,WT008,DMSO
42,BZ008,bortezomib,2,-0.25692155936984257,2,WT008,DMSO
43,BZ001,bortezomib,2,-0.052929179386552665,2,WT008,DMSO
44,WT011,bortezomib,2,-0.39691648271777813,2,WT008,DMSO
45,BZ018,bortezomib,2,-0.07396081710091298,2,WT008,DMSO
46,WT_parental,bortezomib,2,-0.37586261314949154,2,WT008,DMSO
47,WT009,bortezomib,2,-0.5646278709184903,2,WT008,DMSO
48,WT008,bortezomib,2,0.415400325772186,2,WT008,DMSO
49,WT002,bortezomib,2,-0.41176112122879527,2,WT008,DMSO
50,WT_parental,DMSO,2,-0.18074363993776485,2,WT008,DMSO
51,BZ017,bortezomib,2,-0.44758591464127845,2,WT008,DMSO
52,WT002,bortezomib,2,-0.3463519201016688,2,WT008,DMSO
53,WT008,bortezomib,2,0.5625717257813526,2,WT008,DMSO
54,WT009,bortezomib,2,-0.6008347024157602,2,WT008,DMSO
55,BZ018,bortezomib,2,-0.15806845979766782,2,WT008,DMSO
56,WT_parental,bortezomib,2,-0.5953021449506303,2,WT008,DMSO
57,WT011,bortezomib,2,-0.5222729455857361,2,WT008,DMSO
58,BZ001,bortezomib,2,-0.5173510751277225,2,WT008,DMSO
59,BZ008,bortezomib,2,-0.44845556280523086,2,WT008,DMSO
4,BZ018,DMSO,3,0.13014414270623711,3,WT009,DMSO
5,WT_parental,DMSO,3,0.5302151079531916,3,WT009,DMSO
6,WT011,DMSO,3,0.4499446526499282,3,WT009,DMSO
7,BZ001,DMSO,3,0.397526625400905,3,WT009,DMSO
8,BZ008,DMSO,3,0.349773001804965,3,WT009,DMSO
9,WT_parental,DMSO,3,0.43164469882882667,3,WT009,DMSO
10,BZ017,DMSO,3,-0.05415927807709556,3,WT009,DMSO
11,BZ008,DMSO,3,0.29749077064812873,3,WT009,DMSO
12,BZ001,DMSO,3,0.3411881151671163,3,WT009,DMSO
13,WT011,DMSO,3,0.4690274095362635,3,WT009,DMSO
14,BZ018,DMSO,3,0.07916444183601488,3,WT009,DMSO
15,WT_parental,DMSO,3,0.2801605375700198,3,WT009,DMSO
16,WT009,DMSO,3,0.36643962129608515,3,WT009,DMSO
17,WT008,DMSO,3,-0.09295088963949588,3,WT009,DMSO
18,WT002,DMSO,3,0.18088878493684085,3,WT009,DMSO
19,WT_parental,DMSO,3,0.18334136161497594,3,WT009,DMSO
20,BZ017,DMSO,3,-0.2061592374648921,3,WT009,DMSO
21,WT002,DMSO,3,0.017435242826937373,3,WT009,DMSO
22,WT008,DMSO,3,-0.19183659548256576,3,WT009,DMSO
23,WT009,DMSO,3,0.15892084705983928,3,WT009,DMSO
24,BZ018,DMSO,3,-0.035584365316665555,3,WT009,DMSO
25,WT_parental,DMSO,3,0.24035228545260082,3,WT009,DMSO
26,WT011,DMSO,3,0.24093364057955952,3,WT009,DMSO
27,BZ001,DMSO,3,0.016975878924059443,3,WT009,DMSO
28,BZ008,DMSO,3,-0.07130317215873003,3,WT009,DMSO
29,WT_parental,DMSO,3,0.2818018241448878,3,WT009,DMSO
30,WT_parental,DMSO,3,0.08282190150323823,3,WT009,DMSO
31,BZ017,bortezomib,3,-0.30169618545771143,3,WT009,DMSO
32,WT002,bortezomib,3,-0.10910776077934248,3,WT009,DMSO
33,WT008,bortezomib,3,-0.35161237490699737,3,WT009,DMSO
34,WT009,bortezomib,3,0.20380627857646635,3,WT009,DMSO
35,BZ018,bortezomib,3,-0.04620652846398383,3,WT009,DMSO
36,WT_parental,bortezomib,3,-0.3116116430767717,3,WT009,DMSO
37,WT011,bortezomib,3,-0.07182146275488671,3,WT009,DMSO
38,BZ001,bortezomib,3,-0.004389098979312726,3,WT009,DMSO
39,BZ008,bortezomib,3,-0.36126222517066,3,WT009,DMSO
40,WT_parental,DMSO,3,-0.007331462477632873,3,WT009,DMSO
41,BZ017,bortezomib,3,-0.3047382965326102,3,WT009,DMSO
42,BZ008,bortezomib,3,-0.2726490678284834,3,WT009,DMSO
43,BZ001,bortezomib,3,0.009443608381932435,3,WT009,DMSO
44,WT011,bortezomib,3,-0.0033575192649736045,3,WT009,DMSO
45,BZ018,bortezomib,3,-0.15605244392918555,3,WT009,DMSO
46,WT_parental,bortezomib,3,-0.05574749578369969,3,WT009,DMSO
47,WT009,bortezomib,3,-0.10678102335957315,3,WT009,DMSO
48,WT008,bortezomib,3,-0.5555618794220271,3,WT009,DMSO
49,WT002,bortezomib,3,-0.2581799536024412,3,WT009,DMSO
50,WT_parental,DMSO,3,-0.009211638451500739,3,WT009,DMSO
51,BZ017,bortezomib,3,-0.39409163291463273,3,WT009,DMSO
52,WT002,bortezomib,3,-0.2944955653362409,3,WT009,DMSO
53,WT008,bortezomib,3,-0.3957885899473785,3,WT009,DMSO
54,WT009,bortezomib,3,-0.28286494087453645,3,WT009,DMSO
55,BZ018,bortezomib,3,-0.12226870633361382,3,WT009,DMSO
56,WT_parental,bortezomib,3,-0.168842173091685,3,WT009,DMSO
57,WT011,bortezomib,3,-0.08079749155678398,3,WT009,DMSO
58,BZ001,bortezomib,3,-0.24422275657955353,3,WT009,DMSO
59,BZ008,bortezomib,3,-0.32107659695326324,3,WT009,DMSO
5,WT_parental,DMSO,4,0.11319137335294624,4,BZ018,DMSO
6,WT011,DMSO,4,0.10595211193169833,4,BZ018,DMSO
7,BZ001,DMSO,4,0.5238174012270458,4,BZ018,DMSO
8,BZ008,DMSO,4,-0.017995152652517447,4,BZ018,DMSO
9,WT_parental,DMSO,4,0.19465266664637396,4,BZ018,DMSO
10,BZ017,DMSO,4,-0.3518872029299783,4,BZ018,DMSO
11,BZ008,DMSO,4,-0.1414465279076157,4,BZ018,DMSO
12,BZ001,DMSO,4,0.42773230180903704,4,BZ018,DMSO
13,WT011,DMSO,4,-0.08329537737001032,4,BZ018,DMSO
14,BZ018,DMSO,4,0.704433374248837,4,BZ018,DMSO
15,WT_parental,DMSO,4,-0.3163353642481001,4,BZ018,DMSO
16,WT009,DMSO,4,-0.08830656174113247,4,BZ018,DMSO
17,WT008,DMSO,4,-0.11337314562669007,4,BZ018,DMSO
18,WT002,DMSO,4,-0.4454782278839067,4,BZ018,DMSO
19,WT_parental,DMSO,4,0.11240064396678245,4,BZ018,DMSO
20,BZ017,DMSO,4,-0.11759410305575535,4,BZ018,DMSO
21,WT002,DMSO,4,-0.6282656858256906,4,BZ018,DMSO
22,WT008,DMSO,4,-0.0751228029380639,4,BZ018,DMSO
