column_match_pair_a,Metadata_clone_number_pair_a,Metadata_treatment_pair_a,row_match,pairwise_correlation,column_match_pair_b,Metadata_clone_number_pair_b,Metadata_treatment_pair_b
1,WT002,DMSO,0,0.7122311358443593,0,BZ017,DMSO
2,WT008,DMSO,0,0.7029903013457636,0,BZ017,DMSO
3,WT009,DMSO,0,0.5186192690314465,0,BZ017,DMSO
4,BZ018,DMSO,0,0.48016335649857544,0,BZ017,DMSO
5,WT011,DMSO,0,0.4977460336249737,0,BZ017,DMSO
6,BZ001,DMSO,0,0.43838530953461874,0,BZ017,DMSO
7,BZ008,DMSO,0,0.29751999672049256,0,BZ017,DMSO
8,WT_parental,DMSO,0,0.4367718191395116,0,BZ017,DMSO
9,WT_parental,DMSO,0,0.3654301398363846,0,BZ017,DMSO
10,BZ017,DMSO,0,0.7115464459551598,0,BZ017,DMSO
11,BZ008,DMSO,0,0.136687416866364,0,BZ017,DMSO
12,BZ001,DMSO,0,0.2817156367646247,0,BZ017,DMSO
13,WT011,DMSO,0,0.5355873395826397,0,BZ017,DMSO
14,BZ018,DMSO,0,0.09581115100151263,0,BZ017,DMSO
15,WT009,DMSO,0,0.2354666401890741,0,BZ017,DMSO
16,WT008,DMSO,0,0.20169759831574438,0,BZ017,DMSO
17,WT002,DMSO,0,0.3445459685772209,0,BZ017,DMSO
18,WT_parental,DMSO,0,-0.057808670332574544,0,BZ017,DMSO
19,WT_parental,DMSO,0,0.24892922583771554,0,BZ017,DMSO
20,BZ017,DMSO,0,0.4682804463590448,0,BZ017,DMSO
21,WT002,DMSO,0,0.3914564143976658,0,BZ017,DMSO
22,WT008,DMSO,0,0.2634939381124561,0,BZ017,DMSO
23,WT009,DMSO,0,0.11623638560459983,0,BZ017,DMSO
24,BZ018,DMSO,0,-0.16333336201741283,0,BZ017,DMSO
25,WT011,DMSO,0,0.15484450348670278,0,BZ017,DMSO
26,BZ001,DMSO,0,-0.02455464936820568,0,BZ017,DMSO
27,BZ008,DMSO,0,-0.12140837498195449,0,BZ017,DMSO
28,WT_parental,DMSO,0,-0.15017516795206784,0,BZ017,DMSO
29,WT_parental,DMSO,0,-0.013949379865729658,0,BZ017,DMSO
30,WT_parental,DMSO,0,0.5244000340068056,0,BZ017,DMSO
31,BZ017,bortezomib,0,-0.040510706180005206,0,BZ017,DMSO
32,WT002,bortezomib,0,-0.2275606417331758,0,BZ017,DMSO
33,WT008,bortezomib,0,-0.5300529254901235,0,BZ017,DMSO
34,WT009,bortezomib,0,-0.519769913418953,0,BZ017,DMSO
35,BZ018,bortezomib,0,-0.4408118684305092,0,BZ017,DMSO
36,WT011,bortezomib,0,-0.38368663609860326,0,BZ017,DMSO
37,BZ001,bortezomib,0,-0.356581199041368,0,BZ017,DMSO
38,BZ008,bortezomib,0,-0.4120243668033484,0,BZ017,DMSO
39,WT_parental,bortezomib,0,-0.37197556711762225,0,BZ017,DMSO
40,WT_parental,DMSO,0,0.27826350136032874,0,BZ017,DMSO
41,BZ017,bortezomib,0,-0.10361725360341402,0,BZ017,DMSO
42,BZ008,bortezomib,0,-0.2308075004876743,0,BZ017,DMSO
43,BZ001,bortezomib,0,-0.48135590543410867,0,BZ017,DMSO
44,WT011,bortezomib,0,-0.3702266052051067,0,BZ017,DMSO
45,BZ018,bortezomib,0,-0.2989556435978432,0,BZ017,DMSO
46,WT009,bortezomib,0,-0.4769773305815397,0,BZ017,DMSO
47,WT008,bortezomib,0,-0.5782208446550722,0,BZ017,DMSO
48,WT002,bortezomib,0,-0.4452623747127789,0,BZ017,DMSO
49,WT_parental,bortezomib,0,-0.5208889947097946,0,BZ017,DMSO
50,WT_parental,DMSO,0,0.36623480446736134,0,BZ017,DMSO
51,BZ017,bortezomib,0,-0.05008890451315423,0,BZ017,DMSO
52,WT002,bortezomib,0,-0.2738646001322626,0,BZ017,DMSO
53,WT008,bortezomib,0,-0.4114699620213942,0,BZ017,DMSO
54,WT009,bortezomib,0,-0.44941508550700565,0,BZ017,DMSO
55,BZ018,bortezomib,0,-0.4027354229711534,0,BZ017,DMSO
56,WT011,bortezomib,0,-0.3584865717869485,0,BZ017,DMSO
57,BZ001,bortezomib,0,-0.48021795214324486,0,BZ017,DMSO
58,BZ008,bortezomib,0,-0.5204255635615503,0,BZ017,DMSO
59,WT_parental,bortezomib,0,-0.2773307465419536,0,BZ017,DMSO
2,WT008,DMSO,1,0.6786236298536963,1,WT002,DMSO
3,WT009,DMSO,1,0.4025337631224563,1,WT002,DMSO
4,BZ018,DMSO,1,0.20252208274153105,1,WT002,DMSO
5,WT011,DMSO,1,0.3839965301726802,1,WT002,DMSO
6,BZ001,DMSO,1,0.1357828618324624,1,WT002,DMSO
7,BZ008,DMSO,1,0.052338680598646076,1,WT002,DMSO
8,WT_parental,DMSO,1,0.4850070126492878,1,WT002,DMSO
9,WT_parental,DMSO,1,0.4340160519045578,1,WT002,DMSO
10,BZ017,DMSO,1,0.5103430733297755,1,WT002,DMSO
11,BZ008,DMSO,1,-0.1220131545216804,1,WT002,DMSO
12,BZ001,DMSO,1,-0.0321689756760242,1,WT002,DMSO
13,WT011,DMSO,1,0.3707129634325368,1,WT002,DMSO
14,BZ018,DMSO,1,-0.06397643096123784,1,WT002,DMSO
15,WT009,DMSO,1,0.11179923709261355,1,WT002,DMSO
16,WT008,DMSO,1,0.2477256659738413,1,WT002,DMSO
17,WT002,DMSO,1,0.46671872624307603,1,WT002,DMSO
18,WT_parental,DMSO,1,0.09575706420917857,1,WT002,DMSO
19,WT_parental,DMSO,1,0.36521155474439615,1,WT002,DMSO
20,BZ017,DMSO,1,0.3836816267877135,1,WT002,DMSO
21,WT002,DMSO,1,0.7472308050987232,1,WT002,DMSO
22,WT008,DMSO,1,0.2259547538594815,1,WT002,DMSO
23,WT009,DMSO,1,0.07724405907185614,1,WT002,DMSO
24,BZ018,DMSO,1,-0.21777568393521632,1,WT002,DMSO
25,WT011,DMSO,1,0.016940424091174137,1,WT002,DMSO
26,BZ001,DMSO,1,-0.2471039879401783,1,WT002,DMSO
27,BZ008,DMSO,1,-0.3362901605018244,1,WT002,DMSO
28,WT_parental,DMSO,1,-0.08662609624594898,1,WT002,DMSO
29,WT_parental,DMSO,1,0.15287821987223676,1,WT002,DMSO
30,WT_parental,DMSO,1,0.5963656399219136,1,WT002,DMSO
31,BZ017,bortezomib,1,-0.016704059724617304,1,WT002,DMSO
32,WT002,bortezomib,1,-0.055544025340944596,1,WT002,DMSO
33,WT008,bortezomib,1,-0.33739213832915,1,WT002,DMSO
34,WT009,bortezomib,1,-0.4019164662906312,1,WT002,DMSO
35,BZ018,bortezomib,1,-0.49953218455226434,1,WT002,DMSO
36,WT011,bortezomib,1,-0.3360872017504941,1,WT002,DMSO
37,BZ001,bortezomib,1,-0.4599099357523341,1,WT002,DMSO
38,BZ008,bortezomib,1,-0.4869106866155604,1,WT002,DMSO
39,WT_parental,bortezomib,1,-0.17829474778334906,1,WT002,DMSO
40,WT_parental,DMSO,1,0.37042358389757,1,WT002,DMSO
41,BZ017,bortezomib,1,-0.08884143491225366,1,WT002,DMSO
