Metadata_model_split	Metadata_Plate	metric	metric_value	dataset	shuffle
test	207106_exposure320	accuracy	1.0	cloneAE	False
test	218361	accuracy	1.0	cloneAE	False
test	HCT116bortezomib	accuracy	1.0	cloneAE	False
training	207106_exposure320	accuracy	1.0	cloneAE	False
training	218361	accuracy	1.0	cloneAE	False
training	HCT116bortezomib	accuracy	0.875	cloneAE	False
validation	218360	accuracy	1.0	cloneAE	False
test	207106_exposure320	avg_precision	1.0	cloneAE	False
test	218361	avg_precision	1.0	cloneAE	False
test	HCT116bortezomib	avg_precision	1.0	cloneAE	False
training	207106_exposure320	avg_precision	1.0	cloneAE	False
training	218361	avg_precision	1.0	cloneAE	False
training	HCT116bortezomib	avg_precision	0.8333333333333334	cloneAE	False
validation	218360	avg_precision	1.0	cloneAE	False
test	218696	accuracy	0.7647058823529411	cb5083	False
test	218852	accuracy	0.9	cb5083	False
test	218856	accuracy	1.0	cb5083	False
training	218696	accuracy	0.4418604651162791	cb5083	False
training	218852	accuracy	0.825	cb5083	False
training	218856	accuracy	0.9210526315789473	cb5083	False
validation	218774	accuracy	0.6166666666666667	cb5083	False
test	218696	avg_precision	0.5796568627450981	cb5083	False
test	218852	avg_precision	0.7777777777777778	cb5083	False
test	218856	avg_precision	1.0	cb5083	False
training	218696	avg_precision	0.5266472868217054	cb5083	False
training	218852	avg_precision	0.7996376811594204	cb5083	False
training	218856	avg_precision	0.8858395989974936	cb5083	False
validation	218774	avg_precision	0.5724137931034483	cb5083	False
test	218698	accuracy	0.6666666666666666	ixazomib	False
test	218854	accuracy	0.5714285714285714	ixazomib	False
training	218698	accuracy	0.8809523809523809	ixazomib	False
training	218854	accuracy	0.5897435897435898	ixazomib	False
validation	218858	accuracy	0.21666666666666667	ixazomib	False
test	218698	avg_precision	0.4722222222222222	ixazomib	False
test	218854	avg_precision	0.45238095238095244	ixazomib	False
training	218698	avg_precision	0.9107142857142857	ixazomib	False
training	218854	avg_precision	0.5995115995115995	ixazomib	False
validation	218858	avg_precision	0.42342342342342343	ixazomib	False
