Metadata_model_split	metric	metric_value	dataset	shuffle
test	accuracy	1.0	cloneAE	False
training	accuracy	0.9583333333333334	cloneAE	False
validation	accuracy	1.0	cloneAE	False
test	avg_precision	1.0	cloneAE	False
training	avg_precision	0.9411764705882353	cloneAE	False
validation	avg_precision	1.0	cloneAE	False
test	accuracy	0.8983050847457628	cb5083	False
training	accuracy	0.71900826446281	cb5083	False
validation	accuracy	0.6166666666666667	cb5083	False
test	avg_precision	0.7963372362782827	cb5083	False
training	avg_precision	0.6923924203913503	cb5083	False
validation	avg_precision	0.5724137931034483	cb5083	False
test	accuracy	0.6153846153846154	ixazomib	False
training	accuracy	0.7407407407407407	ixazomib	False
validation	accuracy	0.21666666666666667	ixazomib	False
test	avg_precision	0.4461538461538461	ixazomib	False
training	avg_precision	0.74720406681191	ixazomib	False
validation	avg_precision	0.42342342342342343	ixazomib	False
