column_match_pair_a,Metadata_clone_number_pair_a,Metadata_treatment_pair_a,row_match,pairwise_correlation,column_match_pair_b,Metadata_clone_number_pair_b,Metadata_treatment_pair_b
1,WT002,DMSO,0,0.4233832278505486,0,BZ017,DMSO
2,WT008,DMSO,0,-0.24015800694099487,0,BZ017,DMSO
3,WT009,DMSO,0,0.0841190697228169,0,BZ017,DMSO
4,BZ018,DMSO,0,0.10286214761672426,0,BZ017,DMSO
5,WT011,DMSO,0,0.3749276499763856,0,BZ017,DMSO
6,BZ001,DMSO,0,0.35156342594954587,0,BZ017,DMSO
7,BZ008,DMSO,0,0.01693642824378875,0,BZ017,DMSO
8,WT_parental,DMSO,0,0.11221241954487952,0,BZ017,DMSO
9,WT_parental,DMSO,0,0.14518421800281106,0,BZ017,DMSO
10,BZ017,DMSO,0,0.38169835613448777,0,BZ017,DMSO
11,BZ008,DMSO,0,0.2880480591406428,0,BZ017,DMSO
12,BZ001,DMSO,0,0.13454854013909529,0,BZ017,DMSO
13,WT011,DMSO,0,0.2910627788180414,0,BZ017,DMSO
14,BZ018,DMSO,0,-0.01567338948634686,0,BZ017,DMSO
15,WT009,DMSO,0,0.1758685689162689,0,BZ017,DMSO
16,WT008,DMSO,0,-0.24511780170086436,0,BZ017,DMSO
17,WT002,DMSO,0,0.11132203738041292,0,BZ017,DMSO
18,WT_parental,DMSO,0,-0.21956554274901077,0,BZ017,DMSO
19,WT_parental,DMSO,0,0.06315365902061197,0,BZ017,DMSO
20,BZ017,DMSO,0,0.33457258574372,0,BZ017,DMSO
21,WT002,DMSO,0,0.4088497850049545,0,BZ017,DMSO
22,WT008,DMSO,0,-0.1645052486616406,0,BZ017,DMSO
23,WT009,DMSO,0,0.196996270628248,0,BZ017,DMSO
24,BZ018,DMSO,0,-0.00795076772899065,0,BZ017,DMSO
25,WT011,DMSO,0,0.2730901360082159,0,BZ017,DMSO
26,BZ001,DMSO,0,0.025704961531528826,0,BZ017,DMSO
27,BZ008,DMSO,0,-0.1738664444276521,0,BZ017,DMSO
28,WT_parental,DMSO,0,-0.17138214177979338,0,BZ017,DMSO
29,WT_parental,DMSO,0,-0.005422878507143901,0,BZ017,DMSO
30,WT_parental,DMSO,0,0.5685982941835198,0,BZ017,DMSO
31,BZ017,bortezomib,0,-0.04289481654146072,0,BZ017,DMSO
32,WT002,bortezomib,0,0.2166187180328214,0,BZ017,DMSO
33,WT008,bortezomib,0,-0.42694193417100124,0,BZ017,DMSO
34,WT009,bortezomib,0,-0.05496572202515831,0,BZ017,DMSO
35,BZ018,bortezomib,0,-0.3120988871418627,0,BZ017,DMSO
36,WT011,bortezomib,0,-0.09870499076997115,0,BZ017,DMSO
37,BZ001,bortezomib,0,-0.2991252265185611,0,BZ017,DMSO
38,BZ008,bortezomib,0,-0.46047757966990105,0,BZ017,DMSO
39,WT_parental,bortezomib,0,-0.07432537673371259,0,BZ017,DMSO
40,WT_parental,DMSO,0,0.5713524555507129,0,BZ017,DMSO
41,BZ017,bortezomib,0,-0.08380389108162262,0,BZ017,DMSO
42,BZ008,bortezomib,0,-0.1049172642642028,0,BZ017,DMSO
43,BZ001,bortezomib,0,-0.25592278057299367,0,BZ017,DMSO
44,WT011,bortezomib,0,-0.16012171803822806,0,BZ017,DMSO
45,BZ018,bortezomib,0,-0.2764649764375082,0,BZ017,DMSO
46,WT009,bortezomib,0,-0.09722876790823358,0,BZ017,DMSO
47,WT008,bortezomib,0,-0.5467461361563731,0,BZ017,DMSO
48,WT002,bortezomib,0,0.07566855634093513,0,BZ017,DMSO
49,WT_parental,bortezomib,0,-0.07065110204480886,0,BZ017,DMSO
50,WT_parental,DMSO,0,0.5580275246502719,0,BZ017,DMSO
51,BZ017,bortezomib,0,0.06489212947610817,0,BZ017,DMSO
52,WT002,bortezomib,0,0.16122209169595556,0,BZ017,DMSO
53,WT008,bortezomib,0,-0.4368705468672078,0,BZ017,DMSO
54,WT009,bortezomib,0,-0.05430405659780711,0,BZ017,DMSO
55,BZ018,bortezomib,0,-0.10590706599154677,0,BZ017,DMSO
56,WT011,bortezomib,0,-0.03132423233542061,0,BZ017,DMSO
57,BZ001,bortezomib,0,-0.30566238008980123,0,BZ017,DMSO
58,BZ008,bortezomib,0,-0.2178515098179602,0,BZ017,DMSO
59,WT_parental,bortezomib,0,0.13862126681707929,0,BZ017,DMSO
2,WT008,DMSO,1,-0.08120928677903652,1,WT002,DMSO
3,WT009,DMSO,1,0.03387647374922773,1,WT002,DMSO
4,BZ018,DMSO,1,-0.31705325585730537,1,WT002,DMSO
5,WT011,DMSO,1,0.44486606184028543,1,WT002,DMSO
6,BZ001,DMSO,1,0.4122354741476823,1,WT002,DMSO
7,BZ008,DMSO,1,-0.08918188736193934,1,WT002,DMSO
8,WT_parental,DMSO,1,0.07271561515926726,1,WT002,DMSO
9,WT_parental,DMSO,1,-0.13363150922861453,1,WT002,DMSO
10,BZ017,DMSO,1,0.18986521366498538,1,WT002,DMSO
11,BZ008,DMSO,1,0.033218871610692854,1,WT002,DMSO
12,BZ001,DMSO,1,0.43825893133095584,1,WT002,DMSO
13,WT011,DMSO,1,0.5933371282266248,1,WT002,DMSO
14,BZ018,DMSO,1,-0.37991456423486236,1,WT002,DMSO
15,WT009,DMSO,1,-0.17687548555186614,1,WT002,DMSO
16,WT008,DMSO,1,-0.09450898869636645,1,WT002,DMSO
17,WT002,DMSO,1,0.8033126780058373,1,WT002,DMSO
18,WT_parental,DMSO,1,0.18823861968392228,1,WT002,DMSO
19,WT_parental,DMSO,1,-0.06270335503790646,1,WT002,DMSO
20,BZ017,DMSO,1,0.33554969330936585,1,WT002,DMSO
21,WT002,DMSO,1,0.8581241602188113,1,WT002,DMSO
22,WT008,DMSO,1,-0.17119010887479508,1,WT002,DMSO
23,WT009,DMSO,1,0.025750914610938168,1,WT002,DMSO
24,BZ018,DMSO,1,-0.43169500855668014,1,WT002,DMSO
25,WT011,DMSO,1,0.5815176287065962,1,WT002,DMSO
26,BZ001,DMSO,1,0.5023582049573154,1,WT002,DMSO
