column_match_pair_a,Metadata_clone_number_pair_a,row_match,pairwise_correlation,column_match_pair_b,Metadata_clone_number_pair_b
1,WT001,0,0.7550744746172425,0,WT001
2,WT001,0,0.85984793430838,0,WT001
3,WT002,0,0.1835715082488778,0,WT001
4,WT002,0,0.09370633895338541,0,WT001
5,WT002,0,0.0894626409089794,0,WT001
6,WT003,0,-0.36422995468443664,0,WT001
7,WT003,0,-0.36079583142124755,0,WT001
8,WT003,0,-0.261257456118139,0,WT001
9,WT_parental,0,0.6180369226108011,0,WT001
10,WT004,0,0.5240035961282193,0,WT001
11,WT004,0,0.3666460343287177,0,WT001
12,WT004,0,-0.07146928163758133,0,WT001
13,WT005,0,-0.1154626807076374,0,WT001
14,WT005,0,-0.30103066094262826,0,WT001
15,WT005,0,-0.16835183986196203,0,WT001
16,WT006,0,-0.47956212486006683,0,WT001
17,WT006,0,-0.5891333017527054,0,WT001
18,WT006,0,-0.36975492378049735,0,WT001
19,WT_parental,0,0.5047230193587754,0,WT001
20,WT007,0,0.15818272129210179,0,WT001
21,WT007,0,0.1149638668223291,0,WT001
22,WT007,0,-0.016996591693242854,0,WT001
23,WT008,0,-0.1145633470193947,0,WT001
24,WT008,0,-0.05945510570585817,0,WT001
25,WT008,0,-0.052411169292469334,0,WT001
26,WT009,0,-0.43336594703634757,0,WT001
27,WT009,0,-0.3794245583214989,0,WT001
28,WT009,0,-0.362628945360347,0,WT001
29,WT_parental,0,0.3175269448351005,0,WT001
30,WT010,0,-0.016161502742171256,0,WT001
31,WT010,0,-0.33257467765751153,0,WT001
32,WT010,0,-0.34600875250352386,0,WT001
33,WT011,0,0.023474852485644383,0,WT001
34,WT011,0,0.1975686758216087,0,WT001
35,WT011,0,0.07260897893100011,0,WT001
36,WT012,0,-0.1909591492695821,0,WT001
37,WT012,0,-0.12237408348352687,0,WT001
38,WT012,0,-0.3266825298214653,0,WT001
39,WT013,0,-0.0356744264870011,0,WT001
40,WT013,0,-0.04070066166785054,0,WT001
41,WT013,0,-0.1799512132017652,0,WT001
42,WT014,0,0.49131937909089607,0,WT001
43,WT014,0,0.5975137319062185,0,WT001
44,WT014,0,0.6111580522486326,0,WT001
45,WT015,0,-0.03387236166303202,0,WT001
46,WT015,0,-0.26863527374350143,0,WT001
47,WT015,0,0.0012572799766979303,0,WT001
2,WT001,1,0.8400518189853765,1,WT001
3,WT002,1,0.3563502570376535,1,WT001
4,WT002,1,0.286383833083376,1,WT001
5,WT002,1,0.25091439495850365,1,WT001
6,WT003,1,-0.2770555187490391,1,WT001
7,WT003,1,-0.21137110512940765,1,WT001
8,WT003,1,-0.29715841328560555,1,WT001
9,WT_parental,1,0.31641910649255645,1,WT001
10,WT004,1,0.5430124912531294,1,WT001
11,WT004,1,0.5002855129609055,1,WT001
12,WT004,1,0.02272812235808769,1,WT001
13,WT005,1,0.018390631030435752,1,WT001
14,WT005,1,-0.06874197504111428,1,WT001
15,WT005,1,0.059667901658688405,1,WT001
16,WT006,1,-0.5621818154622512,1,WT001
17,WT006,1,-0.6035230382511085,1,WT001
18,WT006,1,-0.4772321549563744,1,WT001
19,WT_parental,1,0.20022252729319379,1,WT001
20,WT007,1,0.2176107525079032,1,WT001
21,WT007,1,0.21987727654577502,1,WT001
22,WT007,1,0.10507652084514428,1,WT001
23,WT008,1,-0.033546759512965395,1,WT001
24,WT008,1,-0.0023135888237110313,1,WT001
25,WT008,1,0.07920515141788788,1,WT001
26,WT009,1,-0.3024255991259253,1,WT001
27,WT009,1,-0.31568042598598817,1,WT001
28,WT009,1,-0.3732599094513084,1,WT001
29,WT_parental,1,-0.00032948982262011767,1,WT001
30,WT010,1,-0.16515188821340765,1,WT001
31,WT010,1,-0.3386252273028845,1,WT001
32,WT010,1,-0.3216426466114906,1,WT001
33,WT011,1,0.17336482125765246,1,WT001
34,WT011,1,0.4212282320050572,1,WT001
35,WT011,1,0.1437106016543524,1,WT001
36,WT012,1,-0.15060271024493457,1,WT001
37,WT012,1,-0.05595551875655742,1,WT001
38,WT012,1,-0.34414534277073416,1,WT001
39,WT013,1,-0.16418877280441738,1,WT001
40,WT013,1,-0.1120155651993696,1,WT001
41,WT013,1,-0.30264730587316924,1,WT001
42,WT014,1,0.31413401663402296,1,WT001
43,WT014,1,0.4512101002363105,1,WT001
44,WT014,1,0.45454670627863625,1,WT001
45,WT015,1,-0.11331440206641104,1,WT001
46,WT015,1,-0.33566060825832655,1,WT001
47,WT015,1,-0.1508734458115089,1,WT001
3,WT002,2,0.3691427040367442,2,WT001
4,WT002,2,0.2750040497240047,2,WT001
5,WT002,2,0.2579662520012259,2,WT001
6,WT003,2,-0.3810798731976809,2,WT001
7,WT003,2,-0.28309268507486385,2,WT001
8,WT003,2,-0.32605957820104425,2,WT001
9,WT_parental,2,0.5213257249547805,2,WT001
10,WT004,2,0.45405836310470865,2,WT001
11,WT004,2,0.34586107945377204,2,WT001
12,WT004,2,-0.0937420476304963,2,WT001
13,WT005,2,-0.003504608950506318,2,WT001
14,WT005,2,-0.18704115174596125,2,WT001
15,WT005,2,-0.057909757869855784,2,WT001
16,WT006,2,-0.5656218186939274,2,WT001
17,WT006,2,-0.5739857649115055,2,WT001
18,WT006,2,-0.38342832652599695,2,WT001
19,WT_parental,2,0.37973464326756184,2,WT001
20,WT007,2,0.2606237193832727,2,WT001
21,WT007,2,0.22793881267321442,2,WT001
22,WT007,2,0.11930901678351709,2,WT001
23,WT008,2,0.04468230390265405,2,WT001
24,WT008,2,0.08088942439476215,2,WT001
25,WT008,2,0.14023214330432174,2,WT001
26,WT009,2,-0.27967150118897777,2,WT001
27,WT009,2,-0.20191599572947275,2,WT001
28,WT009,2,-0.23871025457447964,2,WT001
29,WT_parental,2,0.16524560727776375,2,WT001
30,WT010,2,-0.197813268277954,2,WT001
31,WT010,2,-0.4426771959347234,2,WT001
32,WT010,2,-0.4299876555795565,2,WT001
33,WT011,2,0.1384875388673747,2,WT001
34,WT011,2,0.41916903844264114,2,WT001
35,WT011,2,0.14367428903818902,2,WT001
36,WT012,2,-0.20141641909183242,2,WT001
37,WT012,2,0.023853317144134644,2,WT001
38,WT012,2,-0.3361933951181755,2,WT001
39,WT013,2,-0.2722839567968808,2,WT001
40,WT013,2,-0.23359841872334292,2,WT001
41,WT013,2,-0.3581225230260307,2,WT001
42,WT014,2,0.4452009086478994,2,WT001
43,WT014,2,0.5852559740311326,2,WT001
44,WT014,2,0.6148487621302348,2,WT001
45,WT015,2,-0.19258785013509355,2,WT001
46,WT015,2,-0.42024200484145335,2,WT001
47,WT015,2,-0.2304332521784316,2,WT001
4,WT002,3,0.8926390131354583,3,WT002
5,WT002,3,0.882974739163161,3,WT002
6,WT003,3,-0.1999487269605239,3,WT002
7,WT003,3,-0.3036622951971727,3,WT002
8,WT003,3,-0.30105755986235744,3,WT002
9,WT_parental,3,-0.20167199120264678,3,WT002
10,WT004,3,-0.21307987133532974,3,WT002
11,WT004,3,-0.10796217805825419,3,WT002
12,WT004,3,-0.4146760993852265,3,WT002
13,WT005,3,0.16157131150263343,3,WT002
14,WT005,3,0.2575866873189694,3,WT002
15,WT005,3,0.4540592482960957,3,WT002
16,WT006,3,-0.46866895113552304,3,WT002
17,WT006,3,-0.28639171962940624,3,WT002
18,WT006,3,-0.38416018949014646,3,WT002
19,WT_parental,3,-0.3685968886738044,3,WT002
20,WT007,3,0.2643318897573009,3,WT002
21,WT007,3,0.31824750282892866,3,WT002
22,WT007,3,0.25379866033517723,3,WT002
23,WT008,3,0.37038694885154,3,WT002
24,WT008,3,0.3431284882986358,3,WT002
25,WT008,3,0.5963208448252847,3,WT002
26,WT009,3,0.2871771431130117,3,WT002
27,WT009,3,0.16303042728084471,3,WT002
28,WT009,3,0.30211469104799854,3,WT002
29,WT_parental,3,-0.4897892527015745,3,WT002
30,WT010,3,-0.12831910436497115,3,WT002
31,WT010,3,-0.5284215568344091,3,WT002
32,WT010,3,-0.3248062041472992,3,WT002
33,WT011,3,0.3607674450607091,3,WT002
34,WT011,3,0.5108195222456238,3,WT002
35,WT011,3,0.30738508501061695,3,WT002
36,WT012,3,-0.297571691079799,3,WT002
37,WT012,3,0.10354515091472263,3,WT002
38,WT012,3,0.18379362780504993,3,WT002
39,WT013,3,-0.35901119727390024,3,WT002
40,WT013,3,-0.31342026600892087,3,WT002
41,WT013,3,-0.4432565763477511,3,WT002
42,WT014,3,-0.23932265464179045,3,WT002
43,WT014,3,-0.11440082902676937,3,WT002
44,WT014,3,-0.03202114248963377,3,WT002
45,WT015,3,-0.2295125681692971,3,WT002
46,WT015,3,-0.3761264169124529,3,WT002
47,WT015,3,-0.233478859524171,3,WT002
5,WT002,4,0.928880514159502,4,WT002
6,WT003,4,-0.02081569605192396,4,WT002
7,WT003,4,-0.21566221797434934,4,WT002
8,WT003,4,-0.17519681385304894,4,WT002
9,WT_parental,4,-0.332107254023563,4,WT002
10,WT004,4,-0.2979231260829723,4,WT002
11,WT004,4,-0.08711567148581664,4,WT002
12,WT004,4,-0.3546132361715765,4,WT002
13,WT005,4,0.312934459754813,4,WT002
14,WT005,4,0.39650581699888165,4,WT002
15,WT005,4,0.5136782172778428,4,WT002
16,WT006,4,-0.40676163760109024,4,WT002
17,WT006,4,-0.251169877235377,4,WT002
18,WT006,4,-0.36547496926410306,4,WT002
19,WT_parental,4,-0.4956529831542541,4,WT002
20,WT007,4,0.13300715583122324,4,WT002
21,WT007,4,0.24270244561454735,4,WT002
22,WT007,4,0.145989333913387,4,WT002
23,WT008,4,0.2777526253315933,4,WT002
24,WT008,4,0.26156238680275373,4,WT002
25,WT008,4,0.5481015861593629,4,WT002
26,WT009,4,0.3109060068869697,4,WT002
27,WT009,4,0.12782336765410712,4,WT002
28,WT009,4,0.35263771793630294,4,WT002
29,WT_parental,4,-0.5392746545050581,4,WT002
30,WT010,4,-0.123658777304571,4,WT002
31,WT010,4,-0.3833735573550311,4,WT002
32,WT010,4,-0.23391916425776219,4,WT002
33,WT011,4,0.38825690772550925,4,WT002
34,WT011,4,0.41273277655744167,4,WT002
35,WT011,4,0.22112765760301595,4,WT002
36,WT012,4,-0.2524448841609317,4,WT002
37,WT012,4,0.19169566646077055,4,WT002
38,WT012,4,0.29022753058953,4,WT002
39,WT013,4,-0.30145813635330654,4,WT002
40,WT013,4,-0.2543545880990339,4,WT002
41,WT013,4,-0.300505468862165,4,WT002
42,WT014,4,-0.3303943834046117,4,WT002
43,WT014,4,-0.24918045159886568,4,WT002
44,WT014,4,-0.15404635097768135,4,WT002
45,WT015,4,-0.19533126009582522,4,WT002
46,WT015,4,-0.29687903535855675,4,WT002
47,WT015,4,-0.2395166532512343,4,WT002
6,WT003,5,-0.05006609302094854,5,WT002
7,WT003,5,-0.2599155385179973,5,WT002
8,WT003,5,-0.19946750716455952,5,WT002
9,WT_parental,5,-0.3488383351123152,5,WT002
10,WT004,5,-0.3087863907537987,5,WT002
11,WT004,5,-0.143706164808342,5,WT002
12,WT004,5,-0.3795277345797486,5,WT002
13,WT005,5,0.2657432094047482,5,WT002
14,WT005,5,0.41108816764953426,5,WT002
15,WT005,5,0.5148588300272356,5,WT002
16,WT006,5,-0.4085238705250702,5,WT002
17,WT006,5,-0.274247522840944,5,WT002
18,WT006,5,-0.37228130042275387,5,WT002
19,WT_parental,5,-0.5173418387993435,5,WT002
20,WT007,5,0.13536602615063326,5,WT002
21,WT007,5,0.2618137146496679,5,WT002
22,WT007,5,0.19736453507582846,5,WT002
23,WT008,5,0.2903278137284653,5,WT002
24,WT008,5,0.32957553157060926,5,WT002
25,WT008,5,0.5772353898310347,5,WT002
26,WT009,5,0.3525276680903988,5,WT002
